Comment|Tag
367|105
367|155
368|90
370|121
373|90
374|155
374|42
375|76
375|42
377|13
379|122
380|155
383|122
383|42
383|81
388|81
389|155
389|81
390|42
391|76
393|21
394|100
396|13
396|81
397|81
398|139
402|64
403|81
403|118
404|13
404|29
405|81
407|81
407|118
408|29
408|139
408|36
219|122
279|101
408|155
408|21
409|36
409|121
411|76
414|100
416|21
416|77
418|36
420|29
422|76
422|59
424|76
426|77
426|100
427|36
427|59
428|64
429|105
430|64
430|21
433|42
433|121
433|100
434|64
435|59
436|59
436|13
438|155
439|101
440|76
442|13
442|59
445|42
446|59
447|155
448|34
453|13
454|121
454|81
454|15
455|21
456|121
458|36
459|21
459|78
459|64
460|29
461|105
461|101
463|118
469|139
470|36
472|77
472|13
472|118
473|118
473|36
474|101
475|29
476|15
476|42
477|122
477|64
478|121
479|15
481|78
482|155
483|139
483|42
484|29
485|101
485|13
486|77
487|90
488|36
489|139
492|59
493|64
493|78
494|139
494|54
494|36
495|78
497|122
497|90
499|139
499|100
500|139
503|101
503|105
505|139
506|59
506|77
507|42
508|144
509|59
512|139
513|139
513|76
515|90
516|144
517|15
517|13
519|81
520|21
520|13
523|105
524|90
526|77
527|144
528|59
528|76
528|42
529|78
529|64
529|15
531|90
531|105
531|121
533|105
533|64
534|21
537|54
538|105
540|77
541|63
541|139
541|81
542|139
545|64
548|15
548|101
551|54
554|81
557|34
560|34
563|118
563|81
563|121
564|42
564|54
564|100
565|100
566|122
567|122
567|59
569|101
571|54
573|76
574|155
574|81
575|42
577|154
577|21
577|81
578|154
578|78
579|54
579|21
579|64
579|81
580|36
580|42
580|90
584|63
585|139
587|154
589|40
590|118
590|13
594|81
594|77
595|122
597|15
599|76
602|54
602|90
602|34
602|81
602|101
602|122
605|76
605|40
605|101
606|36
606|77
608|54
609|121
611|63
611|118
611|144
615|154
617|36
619|154
621|13
623|64
624|121
626|155
627|77
627|117
627|101
632|34
632|154
633|59
634|42
634|54
634|36
634|122
637|81
637|134
640|64
641|63
642|78
643|54
643|134
643|29
643|105
644|76
645|81
645|8
646|154
647|78
648|59
649|59
655|59
655|64
657|59
659|15
659|8
660|134
661|78
662|29
662|8
666|78
668|119
669|11
670|36
671|154
671|105
671|81
672|118
672|67
673|101
679|34
680|67
682|61
683|149
684|29
686|8
686|13
687|59
687|117
688|15
689|75
690|101
692|21
693|11
694|122
695|11
697|81
698|15
698|13
701|155
701|11
702|118
703|8
703|42
703|154
704|34
705|81
706|40
706|15
706|149
707|36
709|155
710|149
711|67
712|75
713|118
713|122
716|13
719|63
721|13
721|75
722|119
724|88
725|15
729|21
730|61
732|8
732|67
734|54
735|117
737|21
737|36
738|63
739|117
741|64
741|13
744|144
745|8
745|121
746|77
749|117
752|75
753|155
754|139
755|61
757|21
757|119
757|125
758|81
761|40
763|29
763|139
764|13
766|144
767|64
768|154
771|15
771|11
772|42
772|101
774|61
774|155
774|117
776|59
777|154
777|36
778|117
778|54
778|154
779|54
779|134
779|8
780|105
782|122
783|119
784|90
784|13
787|78
787|149
788|61
788|25
788|64
789|15
789|13
789|119
790|101
791|15
792|75
793|139
793|90
795|134
795|75
797|61
798|75
800|64
801|90
802|11
804|149
805|2
805|88
807|125
808|67
808|42
809|121
809|36
809|77
809|95
810|118
813|29
813|119
814|125
816|78
818|90
819|139
819|77
819|101
820|42
820|118
822|67
822|95
823|88
824|154
825|90
825|29
826|8
826|75
826|90
827|59
828|8
828|42
830|101
831|15
831|144
835|139
837|42
838|40
839|11
841|81
842|125
843|54
848|61
850|149
851|149
851|15
851|90
851|117
852|118
853|64
853|75
854|90
856|29
857|100
857|81
858|76
858|149
858|95
858|40
860|29
860|144
862|117
866|119
866|95
866|29
866|59
867|125
867|118
868|95
868|54
868|121
868|64
868|63
869|90
872|75
872|118
875|34
876|121
876|122
877|121
877|25
878|59
879|81
881|63
881|101
884|34
886|149
886|54
886|134
886|122
889|149
890|11
891|40
893|29
894|76
894|63
896|144
898|75
899|8
903|15
904|75
905|155
905|125
908|144
909|2
911|155
912|36
913|88
913|46
915|61
915|139
918|88
919|78
920|105
923|81
923|139
924|121
924|155
925|54
926|139
929|76
931|77
932|149
935|125
936|21
936|122
936|117
937|42
939|95
940|88
943|119
948|77
950|95
950|29
951|149
953|29
953|105
954|64
955|61
956|139
957|118
957|100
957|75
959|117
959|119
962|57
963|34
963|88
963|121
963|78
965|100
969|101
972|25
973|57
976|67
977|78
977|122
978|13
978|121
979|59
981|2
985|25
985|122
986|34
986|46
987|40
988|122
989|134
989|81
990|13
990|155
990|149
991|40
992|122
993|61
993|154
996|61
999|90
1000|75
1000|101
1002|63
1003|149
1004|105
1006|101
1007|119
1008|55
1009|13
1009|61
1009|67
1011|90
1011|125
1012|100
1012|143
1013|134
1018|81
1018|29
1019|61
1020|34
1021|55
1022|46
1022|66
1023|66
1025|118
1025|36
1026|125
1026|134
1027|117
1030|46
1034|125
1035|8
1036|21
1036|105
1039|25
1041|140
1041|42
1042|20
1045|8
1045|11
1046|73
1046|29
1051|101
1053|154
1054|29
1054|105
1054|34
1055|81
1055|55
1057|11
1059|40
1060|59
1062|29
1062|64
1063|77
1064|88
1064|29
1064|121
1065|100
1066|63
1068|125
1070|8
1070|105
1072|125
1074|105
1076|75
1079|57
1079|134
1080|118
1081|34
1084|15
1087|64
1087|149
1087|101
1088|100
1088|121
1089|42
1089|78
1090|73
1090|42
1092|155
1093|63
1093|64
1094|25
1094|119
1097|57
1098|140
1098|73
1099|57
1100|125
1101|117
1101|20
1102|121
1104|21
1104|63
893|40
1107|55
1107|61
1108|118
1109|61
1109|66
1115|2
1116|149
1117|21
1118|29
1118|36
1120|64
1121|105
1121|118
1123|25
1128|75
1128|121
1128|73
1129|20
1130|21
1131|21
1132|119
1134|95
1136|144
1137|75
1138|149
1142|63
1142|101
1143|149
1145|88
1145|54
1146|20
1147|46
1149|42
1150|46
1154|125
1154|55
1155|64
1155|155
1157|90
1159|73
1160|143
1162|61
1163|75
1163|90
1164|34
1164|77
1165|13
1165|55
1167|67
1168|34
1168|54
1172|77
1173|57
1173|76
1174|75
1174|154
1175|131
1175|76
1176|54
1177|1
1178|101
1178|21
1183|121
1183|101
1186|67
1186|143
1187|105
1188|149
1189|121
1191|121
1193|125
1194|77
1196|42
1196|154
1198|73
1198|66
1201|55
1202|29
1203|117
1204|117
1207|1
1208|29
1208|61
1209|88
1209|36
1210|34
1212|76
1214|140
1214|95
1215|66
1215|134
1216|118
1217|67
1218|119
1218|143
1219|73
1219|31
1220|15
1221|140
1221|64
1221|88
1224|118
1224|119
1226|57
1228|2
1228|95
1229|101
1230|142
1231|144
1231|155
1232|8
1233|154
1234|118
1236|25
1238|13
1240|29
1240|25
1243|75
1243|61
1244|1
1245|131
1245|42
1246|144
1247|78
1247|95
1248|55
1249|46
1249|34
1250|144
1253|2
1254|21
1255|1
1258|40
1260|4
1260|73
1261|105
1262|149
1263|33
1264|54
1265|54
1266|101
1268|75
1268|131
1270|142
1270|131
1271|149
1272|21
1272|1
1274|125
1274|61
1275|11
1276|100
1276|101
1276|125
1281|40
1282|34
1283|101
1283|8
1284|64
1284|140
1285|75
1286|59
1288|90
1289|125
1289|154
1289|54
1290|142
1292|101
1293|8
1294|36
1294|144
1299|1
1299|142
1301|118
1302|121
1305|134
1305|67
1306|143
1313|67
1313|134
1313|57
1314|11
1314|77
1316|73
1316|75
1319|95
1320|11
1324|119
1325|122
1328|33
1328|75
1328|11
1331|140
1332|2
1332|101
1334|61
1336|118
1336|64
1337|153
1337|54
1338|65
1339|13
1339|125
1341|61
1343|144
1344|111
1348|105
1348|73
1348|31
1348|154
1349|122
1349|46
1349|8
1351|100
1352|57
1354|88
1356|142
1356|55
1359|154
1364|134
1365|144
1366|101
1368|122
1368|34
1369|154
1371|73
1374|40
1376|33
1376|84
1376|11
1377|122
1377|57
1378|78
1379|64
1379|119
1380|131
1381|55
1384|63
1385|100
1387|134
1388|95
1388|125
1389|95
1389|36
1391|154
1392|34
1393|90
1393|65
1395|121
1396|118
1396|142
1397|11
1397|33
1398|2
1399|100
1400|140
1401|18
1401|25
1402|59
1402|40
1403|20
1404|36
1406|95
1406|78
1406|153
1411|119
1411|75
1412|111
1413|122
1413|100
1415|13
1415|119
1415|64
1416|55
1417|143
1417|65
1418|33
1419|77
1422|54
1425|81
1425|40
1426|117
1426|54
1426|33
1427|118
1429|61
1429|100
1430|15
1431|154
1432|140
1432|95
1432|63
1435|140
1436|143
1437|142
1438|4
1438|101
1440|21
1441|2
1441|90
1442|46
1444|67
1444|81
1445|42
1446|31
1446|33
1448|63
1450|55
1451|149
1453|131
1454|155
1454|105
1456|36
1457|95
1458|101
1458|33
1458|54
1458|100
1460|13
1461|67
1462|66
1462|25
1467|77
1472|67
1472|143
225|118
1473|125
1476|121
1476|2
1478|34
1480|64
1480|31
1481|105
1481|117
1483|134
1483|143
1483|90
1486|155
1486|144
1487|31
1488|63
1489|8
1489|155
1492|2
1493|117
1494|134
1498|143
1500|139
1504|139
1506|73
1506|149
1507|55
1507|1
1508|54
1508|63
1514|149
1514|11
1517|57
1517|88
1518|140
1519|153
1519|57
1520|75
1522|29
1523|122
1524|64
1525|144
1529|134
1529|76
1531|78
1532|8
1533|125
1534|139
1534|111
1536|59
1537|155
1538|121
1539|18
1540|66
1541|84
1544|121
1545|139
1545|77
1546|81
1549|101
1549|33
1551|121
1551|154
1551|73
1553|8
1554|66
1556|1
1556|100
1557|54
1559|118
1562|57
1563|81
1564|31
1564|94
1566|76
1566|88
1566|33
1567|61
1568|149
1569|94
1570|55
1570|76
1571|18
1575|81
1576|75
1579|76
1580|144
1583|2
1584|29
1584|142
1584|125
1586|149
1586|77
1587|118
1587|100
1590|94
1592|65
1592|119
1592|46
1593|46
1594|42
1594|95
1596|77
1597|8
1597|88
1598|81
1601|81
1602|15
1603|57
1605|67
1607|94
1612|67
1612|31
1612|154
1613|67
1613|78
1613|18
1614|131
1615|101
1619|55
1621|2
1622|21
1623|8
1623|11
1624|29
1624|13
1624|63
1626|46
1627|31
1628|40
1628|61
1629|31
1629|75
1629|1
1632|75
1632|61
1632|111
1633|78
1638|140
1638|143
1638|73
1642|31
1646|40
1647|40
1648|139
1648|11
1648|18
1649|34
1650|84
1651|15
1652|146
1654|70
1656|34
1657|125
1657|100
1657|81
1658|77
1658|55
1658|119
1658|140
1659|18
1661|117
1662|143
1663|65
1663|142
1664|119
1664|153
1665|144
1665|59
1665|40
1665|78
1665|76
1670|20
1670|64
1671|111
1672|146
1673|155
1674|131
1675|139
1680|77
1681|66
1687|73
1687|140
1688|143
1689|46
1691|31
1691|25
1694|111
1694|139
1694|18
1695|149
1695|31
1696|154
1697|154
1700|73
1702|34
1703|77
1704|67
1704|15
1705|42
1707|94
1707|33
1708|111
1708|119
1708|57
1709|67
1710|77
1711|75
1713|64
1714|63
1716|61
1717|90
1719|73
1719|57
1720|67
1721|46
1721|29
1723|81
1724|94
1724|105
1725|21
1725|146
1727|54
1728|11
1728|40
1730|75
1731|63
1731|101
1732|47
1732|18
1732|70
1733|61
1734|77
1737|131
1738|121
1740|108
1741|70
1741|31
1744|154
1744|94
1745|31
1746|57
1746|154
1747|155
1748|88
1749|121
1749|59
1750|2
1751|8
1752|88
1753|11
1755|36
1755|78
1755|140
1757|29
1760|101
1760|18
1761|155
1761|100
1762|65
1762|155
1765|76
1766|149
1766|61
1767|78
1767|42
1768|142
1770|154
1770|1
1770|100
1771|70
1773|145
1774|40
1776|67
1776|15
1776|149
1777|11
1778|121
1779|131
1780|76
1781|155
1782|59
1782|32
1783|29
1784|143
1784|153
1784|144
1785|15
1786|31
1787|119
1788|140
1788|65
1789|94
1789|18
1789|84
1794|47
1795|118
1797|139
1798|78
1799|70
1800|118
1800|153
1802|135
1804|33
1805|11
1806|143
1807|100
1808|143
1810|57
1811|1
1811|33
1812|63
1813|63
1813|70
1814|84
1815|20
1815|100
1816|57
1818|18
1821|142
1824|34
1824|108
1825|11
1826|44
1826|1
1826|94
1827|141
1827|65
1830|94
1832|13
1835|81
1836|31
1837|46
1837|131
1839|108
1840|84
1841|138
1842|77
1842|122
1844|33
1847|20
1848|153
1848|2
1849|76
1849|32
1851|121
1852|8
1853|84
1853|134
1856|122
1857|81
1857|33
1860|4
1860|84
1862|29
1863|63
1864|154
1865|76
1865|40
1866|125
1867|154
1867|149
1869|2
1870|142
1872|77
1872|128
1873|15
1874|77
1874|75
1879|47
1879|40
1879|117
1880|29
1880|4
1881|32
1883|25
1883|134
1883|32
1884|73
1884|119
1884|101
1888|134
1888|154
1889|95
1889|8
1889|153
1889|90
1890|18
1892|21
1892|36
1892|46
1894|78
1894|70
1896|65
1896|111
1897|25
1898|78
1898|57
1899|153
1900|11
1902|57
1905|2
1907|118
1909|73
1909|125
1909|11
1912|15
1912|100
1913|57
1913|33
1913|78
1914|4
1914|25
1914|64
1915|142
1915|154
1916|46
1918|95
1918|4
1919|122
1919|18
1920|154
1921|64
1923|34
1924|33
1925|90
1925|70
1926|134
1928|40
1928|24
1931|0
1931|94
1932|90
1933|88
1935|117
1935|122
1935|142
1936|135
1937|55
1937|18
1938|119
1939|145
1939|143
1940|122
1940|21
1941|145
1942|88
1943|135
1944|141
1946|1
1946|140
1947|101
1947|65
1947|141
1948|66
1948|121
1949|0
1949|18
173|122
1950|64
1952|70
1953|154
1954|155
1957|66
1958|18
1960|75
1961|77
1962|149
1962|46
1962|88
1962|144
1962|4
1963|0
1963|61
1963|90
1963|142
1965|21
1966|13
1967|25
1968|128
1969|125
1971|135
1972|149
1976|135
1976|119
1979|61
1979|70
1981|77
1981|18
1983|21
1985|4
1987|149
1987|100
1989|122
1990|44
1991|66
1992|42
1993|75
1994|121
1995|47
1995|93
1996|122
1996|81
1997|141
1998|24
1998|149
1998|67
1998|135
1999|44
2001|73
2004|36
2007|13
2008|25
2010|15
2010|117
2011|57
2013|47
2013|131
2014|128
2015|142
2016|88
2018|24
2019|8
2023|45
2023|1
2025|111
2025|122
2025|128
2026|122
2026|45
2028|90
2029|154
2029|61
2030|0
2030|18
2030|59
2031|108
2032|21
2032|118
2032|55
2033|47
2033|154
2034|118
2034|155
2035|78
2035|145
2035|88
2040|77
2044|119
2045|70
2045|153
2046|15
2046|29
2046|66
2046|144
2047|44
2048|128
2049|128
2050|0
2050|75
2051|155
2052|4
2054|40
2054|128
2057|13
2058|46
2059|25
2063|90
2067|36
2067|105
2069|32
2069|90
2070|78
2071|153
2071|70
1454|20
2072|32
2074|146
2075|15
2076|154
2077|46
2079|61
2080|125
2082|18
2083|154
2084|88
2084|20
2084|117
2086|29
2087|145
2090|76
2091|31
2091|61
2092|47
2095|54
2096|2
2096|155
2097|31
2097|144
2098|31
2098|57
2099|46
2099|122
2099|144
2101|8
2104|54
2104|21
2105|81
2106|111
2107|155
2109|94
2110|105
2111|90
2111|65
2111|73
2112|32
2112|4
2114|44
2115|29
2115|100
2115|141
2116|154
2117|11
2118|46
2118|131
2118|88
2120|31
2121|146
2122|90
2123|25
2125|15
2126|101
2127|134
2127|13
2128|88
2128|70
194|139
2128|154
2130|142
2131|18
2132|54
2134|114
2134|146
2134|36
2135|76
2137|154
2139|101
2139|142
2140|140
2140|11
2141|18
2142|101
2142|21
2143|155
2146|117
2147|3
2147|95
2147|111
2148|3
2148|42
2148|101
2149|128
2151|118
2154|59
2154|139
2154|135
2155|94
2157|100
2158|93
2159|20
2159|44
2159|78
2159|36
2161|33
2161|25
2162|138
2163|3
2163|154
2165|64
2166|139
2167|31
2170|36
2170|153
2172|153
2173|119
2173|131
2176|11
2177|119
2178|154
2179|63
2180|1
2181|101
2186|78
2186|45
2186|31
2187|29
2187|20
2187|93
2188|34
2188|67
2188|131
2189|108
2189|0
2190|140
2190|154
2191|76
2194|29
2195|18
2195|76
2197|149
2197|70
2197|61
2197|2
2199|81
2202|140
2203|128
2204|146
2205|149
2205|47
2208|25
2210|88
2212|67
2212|33
2212|57
2213|88
2214|128
2215|122
2216|42
2219|144
2220|134
2220|34
2221|140
2221|45
2222|45
2223|28
503|54
2223|101
2225|31
2226|138
2226|65
2227|81
2227|131
2228|70
2230|20
2230|45
2234|28
2234|135
2242|65
2242|134
2242|13
2243|138
2243|13
2243|94
2243|93
2244|155
2245|46
2245|84
2246|15
2248|55
2248|76
2249|4
2251|90
2252|4
2253|46
2255|144
2257|138
2260|144
2261|11
2262|84
2262|76
2263|63
2263|135
2265|111
2265|67
2267|44
2267|11
2269|108
2269|155
2270|119
2272|20
2272|156
2273|44
2274|70
2275|11
2277|143
2279|44
2279|91
2281|23
2283|111
2285|66
2285|90
2286|36
2287|146
2288|46
2289|138
2289|29
2289|117
2291|153
2293|101
2294|61
2298|70
2298|63
2300|18
2302|20
2302|70
2303|33
2306|31
2307|145
2308|42
2308|140
2311|11
2313|76
2314|149
2314|154
2318|139
2318|105
2322|81
2323|65
2323|101
2323|28
2323|139
2324|11
2325|135
2327|72
2328|139
2328|140
2330|117
2330|93
2332|8
2335|8
2335|31
2336|65
2337|42
2340|139
2341|34
2343|117
2345|55
2346|93
2347|140
2350|93
2354|143
2355|155
2355|66
2359|25
2360|18
2360|63
2361|149
2361|40
2362|20
2364|122
2365|93
2365|61
2372|46
2375|142
2376|119
2377|153
2381|118
2381|63
2385|34
2389|72
2390|90
2390|121
2394|154
2395|33
2396|2
2396|28
2397|73
2397|57
2399|57
2400|146
2400|87
2400|32
2401|88
2403|67
2403|66
2405|63
2405|32
2406|145
2406|138
2406|78
2406|45
2407|63
2408|93
2410|76
2412|3
2413|155
2414|32
2414|77
2419|114
2423|8
2424|36
2425|61
2427|57
2428|21
2429|101
2432|113
2433|61
2433|77
2434|2
2434|20
2435|100
2436|91
2436|4
2439|78
2440|131
2442|119
2447|155
2447|3
2447|36
2447|42
2448|108
2448|0
2450|55
2450|138
2452|153
2453|47
2454|84
2454|110
2454|128
2455|1
2458|15
2460|138
2462|40
2463|90
665|139
2463|1
2464|135
2464|128
2465|46
2466|105
2468|47
2469|59
2472|42
2472|74
2473|88
2473|114
2475|111
2475|156
2476|110
2477|91
2479|149
2480|23
2480|154
2481|74
2482|13
2483|57
2483|144
2484|105
2486|140
2486|120
2487|57
2490|66
2490|134
2492|13
2494|128
2495|93
2497|34
2497|40
2499|13
2503|113
2504|45
2504|141
2504|128
2505|11
2506|40
2506|65
2507|3
2507|138
2507|119
2507|128
2507|29
2509|78
2509|72
2510|141
2510|66
2514|24
2514|67
2515|95
2516|23
2517|64
2517|93
2518|145
2519|94
2519|24
2521|0
2522|155
2525|23
2527|149
2528|88
2529|128
2530|135
2531|145
2532|3
2534|146
2534|110
2535|146
2535|154
2536|18
2538|91
2539|144
2539|143
2539|34
2541|110
2542|125
2543|31
2544|20
2544|153
2545|11
2545|8
187|139
2548|61
2548|7
2548|36
2549|108
2549|43
2549|139
87|64
2551|64
2551|63
2552|23
2554|57
2557|11
2558|1
2559|108
2560|42
2560|21
2561|8
2562|147
2563|114
2564|128
2565|40
2567|142
2569|125
2570|29
2572|44
2573|93
2576|125
2576|61
2577|105
2577|63
2578|122
2579|94
2580|33
2582|94
2582|111
2584|33
2584|47
2584|61
2585|74
2588|128
2588|105
2589|47
2589|95
2590|1
2591|34
2593|119
2593|90
2597|140
2598|44
2598|13
2600|18
2603|139
2605|40
2605|91
2607|54
2609|33
2610|61
2611|4
2611|59
1641|11
2611|32
2612|105
2613|156
2618|131
2618|143
2619|90
2621|45
2621|18
2622|25
2623|74
2623|117
2624|31
2626|154
2626|24
2628|18
2628|134
2629|113
2631|47
2631|93
2631|11
2632|8
2632|149
2632|93
2635|66
2635|101
2637|4
2637|20
2639|67
2640|131
2640|77
2640|11
2642|125
2642|94
2645|94
2645|144
2645|87
2646|91
2648|23
2649|105
2650|121
2650|55
2652|20
2652|128
2652|3
2656|100
2656|25
2657|59
2658|29
2658|138
2659|59
2660|128
2660|0
2661|57
2661|156
2662|29
2662|155
2664|23
2665|11
2667|135
2669|32
2672|95
2673|135
2675|29
2676|145
2679|46
2682|113
2682|135
2682|24
2683|87
2683|121
2683|100
2684|155
2685|118
2685|149
2685|33
2686|2
2687|75
2687|138
2688|3
2688|24
2688|21
2689|119
2690|135
2691|119
2692|33
2693|15
2694|0
2696|76
2696|155
2700|8
2700|45
2702|142
2705|66
2705|40
2706|46
2707|155
2707|23
2707|141
2709|78
2709|18
2711|141
2714|7
2714|154
2715|139
2716|0
2717|23
2717|20
2718|135
2718|131
2719|74
2719|139
2720|70
2721|87
2721|0
2721|45
2721|42
2722|110
2725|122
2725|13
2726|118
2726|75
2728|95
2728|8
2731|138
2734|154
2734|40
2734|134
2736|3
2739|155
2739|134
2741|118
2741|1
2743|8
2744|54
2744|34
2746|45
2746|84
2747|77
2747|33
2748|78
2748|64
2751|67
2751|81
2752|31
2752|113
2754|42
2756|65
2756|101
2760|100
2762|108
2762|29
782|121
2763|32
2764|119
2765|44
2766|72
2767|1
2769|24
2772|20
2773|64
2774|28
2774|117
2774|73
2775|140
2777|147
2777|28
2777|40
2779|25
2780|125
2780|155
2781|65
2782|93
2782|2
2785|20
2785|77
2786|4
2787|25
2787|0
2788|59
2789|120
2791|2
2792|87
2793|134
2794|13
2794|138
2796|78
2800|105
2800|122
2801|146
2802|81
2803|23
2803|101
2803|72
2805|155
2808|54
2808|2
2808|64
2810|4
2811|34
2812|149
2813|142
2814|125
2815|93
2815|139
2815|66
2816|141
2817|145
2819|43
2820|141
2821|113
2821|131
2822|74
2822|42
2823|66
2824|87
2824|84
2824|32
2827|95
2829|149
2830|66
2831|74
2833|40
2834|88
2835|101
2836|19
2840|67
2840|87
2840|0
2841|135
2842|40
2842|110
2844|18
2844|149
2847|155
2848|139
2851|34
2851|55
2852|28
2853|108
2855|120
2855|8
2856|72
2856|110
2857|57
2859|42
2860|110
2860|75
2861|113
2867|145
2867|23
2869|2
2869|11
2870|67
2871|8
2872|64
2874|100
2877|2
2878|76
2879|118
2881|134
2881|59
2882|146
2884|31
2884|24
2885|111
2887|95
2887|8
2888|42
2890|29
2890|119
2890|42
2891|84
2892|7
2893|121
2895|19
2895|146
2896|57
2896|55
2897|63
2897|101
2898|8
2899|144
2899|120
2902|111
2903|120
2905|33
2906|143
2908|32
2909|95
2910|0
2912|36
2914|42
2917|143
2919|63
2923|28
2923|107
2925|65
2925|135
2927|64
2927|131
2928|87
2930|63
2932|119
2933|34
2933|1
2934|76
2934|147
2935|33
2935|144
2936|145
2936|108
2936|47
2937|77
2937|113
2937|33
2937|114
2938|13
2939|76
2940|66
2942|70
2943|156
2943|77
2944|119
2944|135
2946|70
2946|88
2949|84
2949|57
2950|59
2950|73
2950|101
1194|119
2951|34
2953|156
2954|88
2955|147
2955|33
2957|74
2959|33
2959|59
2960|105
2962|141
2963|30
2963|45
2963|146
2964|47
2967|84
2968|81
2970|145
2970|7
2970|100
2971|145
2971|93
2976|93
2977|145
2977|155
2978|120
2978|31
2979|128
2981|144
2983|140
2984|145
2984|147
2984|117
2985|67
2985|95
2986|122
2986|87
2987|67
2988|34
2988|146
2988|46
2990|155
2991|21
2992|63
2992|55
2993|76
2993|153
2995|140
2996|61
2998|54
3000|47
276|21
3000|2
3003|142
3005|67
3006|111
3006|24
3006|8
3007|74
3008|43
3008|29
3008|101
3010|100
3012|114
3012|64
3012|23
3013|54
632|105
3014|36
3015|36
3017|40
3019|84
3021|155
3024|84
3025|43
3026|73
3027|36
3027|8
3031|142
3032|155
3033|149
3034|43
3036|119
3037|95
3039|119
3039|15
3040|52
3040|107
3043|44
3045|72
3047|146
3047|47
3047|76
3048|33
3049|29
3051|146
3052|144
3052|84
3053|143
527|29
3053|30
3054|146
3055|11
3055|64
3057|21
3057|15
3058|0
3058|19
3058|117
3059|59
3060|21
3061|138
9|41
3063|142
3063|87
3064|65
3065|143
3067|78
3067|139
3069|105
3074|143
3075|131
3076|128
3078|134
3079|47
3079|154
3080|95
3080|118
3082|72
3084|47
3084|114
3084|128
3085|52
3086|110
3087|117
3088|54
3088|131
3089|25
3089|1
3091|111
3091|65
3093|30
3096|34
391|101
3097|19
3099|138
3100|110
3101|81
3101|46
3102|46
3105|13
3105|111
3107|24
3110|113
3110|101
3110|72
3111|28
3112|65
3112|20
3113|61
3114|11
3115|64
3117|25
3117|59
3119|128
3120|101
3121|25
3124|74
3125|151
3129|118
3129|11
3130|47
3131|47
3131|15
3132|95
3135|29
3136|84
3136|13
2120|34
3136|15
3143|44
3145|73
3146|131
3147|105
3147|20
3149|19
3149|54
3149|66
3150|52
3152|101
3152|142
3155|44
3156|154
3159|30
3162|24
3162|55
3162|111
3163|40
3164|31
3165|29
3166|55
3167|81
3168|122
3169|70
3169|124
3170|1
3171|90
3174|4
3174|44
3175|101
3175|144
3176|20
3178|110
3179|140
3179|154
3179|90
3180|31
3182|65
3183|87
3183|118
3184|145
3184|125
3185|90
3185|140
3185|4
3186|147
3186|24
3186|52
3187|47
3188|81
3191|24
3191|91
3192|50
3192|4
3193|135
3194|107
3195|2
3196|70
3196|55
3197|23
3199|72
3201|155
3202|131
3203|42
3203|138
3204|20
3204|122
3205|134
3205|11
3206|113
3209|44
3209|40
3210|45
3210|75
3211|32
3212|70
3212|93
3213|32
