Forum|Tag
879|78
775|124
20|125
765|52
556|115
528|138
772|109
481|77
420|57
304|132
595|103
902|79
895|138
363|139
754|28
669|19
648|31
8|110
771|149
497|135
668|113
65|89
887|156
771|47
346|45
842|47
758|138
757|133
335|84
624|128
72|114
871|35
750|34
353|156
379|6
256|54
760|85
321|39
882|122
676|22
664|29
150|116
757|61
757|140
755|10
412|62
666|113
238|146
673|22
723|77
754|26
405|9
784|72
335|3
133|18
705|20
754|139
550|96
582|52
212|145
522|8
734|0
751|117
750|88
588|44
390|104
746|46
483|83
393|96
563|5
195|54
694|55
90|18
586|111
744|144
741|118
736|130
63|0
415|57
735|68
824|131
380|43
879|145
734|88
875|88
189|137
87|154
785|63
111|18
12|39
302|10
549|129
325|78
653|25
77|42
700|139
616|74
729|9
680|142
728|109
697|18
147|22
891|46
227|103
585|51
872|130
726|36
837|62
781|79
812|142
104|22
230|76
722|102
296|114
722|6
370|134
721|1
147|12
879|59
717|5
715|72
715|30
738|4
656|27
119|109
498|84
859|153
714|20
144|118
713|112
666|90
696|42
712|150
726|146
295|121
882|106
765|88
378|45
709|63
504|112
672|3
340|69
685|72
607|51
37|78
743|75
466|30
702|147
816|41
583|62
324|46
700|60
717|4
299|30
583|41
221|17
521|66
199|72
837|7
593|22
697|151
891|121
433|122
701|137
696|73
826|51
695|101
208|134
477|50
110|79
476|141
452|14
475|144
475|101
768|130
35|11
474|27
220|30
441|122
474|19
330|0
473|0
256|52
530|126
472|59
248|61
468|103
23|146
657|64
283|89
467|126
467|90
465|14
865|142
156|120
465|91
452|141
464|0
463|84
461|50
291|97
491|26
264|144
460|74
459|67
255|24
459|113
457|10
50|155
456|41
456|17
254|117
720|138
455|23
364|46
454|6
454|127
448|71
447|123
71|70
447|104
9|141
356|102
314|3
161|63
447|86
427|123
314|17
446|6
151|33
446|18
445|158
148|18
134|1
340|62
465|126
445|2
389|83
443|137
48|158
443|39
442|25
126|11
442|84
55|88
229|13
321|132
442|95
441|123
441|136
197|132
440|132
707|87
438|72
436|44
494|127
813|9
436|11
435|103
9|22
278|59
131|118
431|135
554|29
637|95
430|150
428|146
110|154
573|154
426|79
424|4
496|116
424|128
699|90
185|48
424|34
423|136
422|105
520|99
319|158
419|91
419|132
418|43
145|54
417|14
415|124
413|88
56|52
897|8
411|138
409|53
30|99
12|57
409|141
486|106
408|19
543|51
406|65
405|137
522|86
404|19
404|144
403|16
402|14
892|140
401|90
401|36
401|73
401|84
271|71
228|129
595|86
399|156
329|77
399|80
398|44
264|159
395|137
609|125
393|123
520|136
393|49
393|61
393|139
392|48
256|42
391|128
391|94
110|82
389|36
388|144
278|15
715|120
764|87
223|96
833|64
188|156
47|6
21|35
387|100
387|5
386|122
386|56
385|124
383|143
289|46
383|26
528|147
383|155
383|43
383|124
382|31
380|25
337|135
576|158
575|19
377|156
810|2
156|6
74|116
376|55
815|143
375|24
375|145
374|119
308|119
373|34
373|56
372|78
371|26
371|86
371|93
370|3
370|8
130|97
369|65
369|143
516|129
368|83
367|111
367|123
376|67
332|36
366|136
364|37
309|67
622|105
359|108
809|126
181|24
364|49
49|104
363|77
362|116
233|97
362|40
361|119
164|109
150|102
730|71
474|100
361|134
359|36
530|145
358|16
357|117
361|43
357|13
356|155
355|1
514|96
887|24
66|77
355|122
352|41
261|97
352|148
670|31
352|122
481|80
68|97
658|57
480|149
824|133
345|2
344|13
443|95
206|76
271|30
200|82
343|9
201|92
305|134
821|126
180|92
721|31
343|94
114|18
46|50
341|62
340|49
825|28
340|58
294|21
340|8
339|142
338|49
337|112
208|11
336|49
707|54
335|157
281|121
334|5
345|135
669|1
207|118
864|84
334|100
333|73
571|25
332|129
158|86
330|36
105|145
235|58
330|30
328|100
745|27
212|36
327|83
104|145
327|114
367|8
325|95
844|132
76|112
84|40
323|1
323|40
800|8
323|158
154|72
322|75
266|137
319|92
316|155
115|109
331|148
313|95
202|98
26|102
566|116
313|109
257|34
313|16
67|105
312|33
287|38
312|92
310|28
310|145
602|117
36|13
309|96
307|36
307|66
306|14
172|134
305|60
579|41
148|16
305|157
303|128
5|98
302|116
302|137
191|141
122|103
116|1
475|114
299|40
122|11
298|72
297|37
297|120
9|53
674|62
123|111
718|25
296|76
295|119
455|119
293|157
291|114
874|133
290|121
166|11
290|95
289|146
36|17
289|34
288|91
287|75
482|63
187|54
188|141
287|42
606|28
286|31
284|115
282|84
49|33
282|41
281|138
281|69
281|155
513|41
97|40
516|136
279|118
857|72
57|25
500|56
277|64
277|1
275|5
274|88
428|17
274|44
273|21
271|99
270|115
720|123
248|3
233|86
270|37
270|154
684|29
196|111
270|28
300|139
220|24
272|28
270|82
834|110
162|109
269|157
635|39
241|149
269|42
303|150
42|75
268|112
262|135
261|54
260|118
260|0
260|83
607|21
886|150
58|9
258|148
741|85
258|42
257|71
543|53
254|99
253|112
252|120
251|0
728|7
250|63
260|64
249|55
457|144
249|89
248|102
527|32
248|117
248|78
145|12
248|59
246|58
246|55
245|83
245|21
242|112
242|41
240|143
809|155
239|73
239|129
237|0
211|0
136|106
236|67
235|72
438|77
234|157
330|25
233|157
247|137
233|82
233|39
232|21
201|3
178|141
448|89
653|16
78|88
797|76
232|15
376|78
74|142
232|17
785|122
230|44
432|69
229|5
229|136
50|139
774|135
229|96
228|33
226|96
599|104
204|135
247|141
601|29
225|125
224|100
222|134
186|63
221|40
276|12
214|13
214|109
584|55
214|141
210|155
209|17
696|72
177|39
115|42
209|96
206|59
708|9
205|115
181|135
798|52
472|51
202|143
201|21
875|82
117|18
200|136
105|103
200|72
23|24
199|82
199|104
294|0
198|73
197|92
197|58
197|117
136|125
201|135
194|150
487|27
194|39
410|132
191|120
191|59
560|115
78|93
188|3
188|132
486|34
187|40
125|16
107|154
186|72
183|6
325|21
193|42
181|48
275|77
179|73
179|106
68|44
178|12
126|48
178|86
217|146
176|93
700|45
175|116
17|60
171|149
874|22
171|5
566|51
387|55
170|99
169|98
527|116
167|54
166|66
166|156
165|111
124|118
520|30
165|83
165|58
162|39
160|135
160|72
160|54
160|16
44|62
158|92
157|136
155|103
155|120
154|1
153|83
153|129
153|59
550|13
152|111
150|79
465|127
282|78
149|98
147|154
147|96
684|91
146|136
143|103
319|147
102|132
209|155
143|96
348|104
143|38
143|73
139|120
138|61
106|93
137|83
706|69
135|116
132|63
130|63
157|116
130|33
128|73
486|81
125|103
506|37
39|37
360|10
453|83
123|11
122|59
628|65
647|32
376|53
122|145
121|61
119|64
212|106
118|12
714|9
118|115
773|56
117|154
115|61
674|75
114|103
114|12
112|64
112|137
440|31
111|82
477|121
111|102
108|93
773|59
425|149
107|115
105|97
105|11
103|40
102|18
102|115
101|88
724|148
101|54
88|154
100|54
9|106
97|88
411|137
200|117
96|22
273|64
95|18
412|147
210|89
95|88
415|123
94|99
520|98
93|117
184|61
422|60
93|22
91|40
72|145
495|67
91|22
90|40
9|123
88|22
87|54
488|125
87|40
49|124
754|36
87|79
526|141
87|18
86|93
86|88
84|93
83|93
525|99
83|154
82|88
162|94
80|88
79|93
172|58
77|48
77|156
73|43
72|68
71|4
722|158
71|5
67|117
191|143
67|150
65|134
344|79
791|80
62|113
62|152
61|58
60|63
59|61
851|14
797|74
59|8
58|107
57|73
183|120
428|108
57|14
55|151
53|45
237|33
65|143
49|135
48|55
47|157
45|147
43|10
40|109
40|23
768|76
38|51
78|30
34|101
33|18
8|144
825|132
30|76
