Post|Tag
850|14
853|134
855|102
856|156
856|121
858|2
859|82
860|68
860|4
861|102
864|124
865|111
865|72
866|2
866|111
866|126
867|83
867|128
871|24
872|95
872|62
872|75
875|72
877|102
877|4
878|70
879|20
879|37
879|99
881|76
882|32
882|119
885|76
885|32
886|75
890|86
890|71
891|134
891|25
893|119
894|144
896|110
897|65
900|71
900|65
901|75
903|65
904|62
904|23
906|7
906|37
907|70
908|52
909|122
910|99
910|0
911|37
912|156
913|131
914|62
914|0
914|156
915|53
918|24
919|42
920|72
920|99
921|62
922|106
923|32
924|50
924|88
925|21
927|24
927|4
931|95
933|91
934|106
935|76
936|83
936|42
936|130
937|33
942|119
943|22
943|37
945|75
945|132
945|124
945|52
946|2
946|104
947|24
948|22
948|111
948|132
949|52
953|56
954|63
955|104
958|64
958|79
959|3
960|91
961|122
963|55
963|79
963|75
963|104
964|151
964|68
965|63
965|22
967|139
970|125
971|122
971|121
972|78
972|132
974|106
976|37
981|50
985|125
985|130
987|125
989|156
989|82
990|134
991|131
992|37
992|156
995|99
996|37
996|121
996|102
997|111
998|63
1000|64
1001|37
1004|7
1004|124
1005|124
1006|141
1007|2
1010|130
1010|132
1010|134
1010|111
1011|32
1011|134
1011|68
1012|78
1012|133
1013|68
1013|141
1016|2
1016|119
1018|131
1019|0
1022|20
1023|99
1024|21
1025|4
1025|139
1026|62
1028|86
1028|126
1030|15
1031|71
1032|95
1032|144
1032|134
1034|22
1034|134
1035|99
1035|62
1036|111
1037|76
1037|25
1038|72
1039|2
1039|75
1043|21
1045|15
1045|131
1045|126
1046|62
1047|56
1049|148
1050|71
1050|0
1050|24
1051|139
819|71
1054|111
1057|104
1058|126
1058|0
1058|104
1059|156
1062|139
1063|22
1064|91
1065|50
1065|32
1065|56
1066|156
1067|2
1067|52
1070|91
1073|14
1074|14
1074|112
1075|71
1075|22
1076|102
1077|2
1077|22
1078|134
1079|50
1079|72
1079|24
1080|75
1080|91
1084|64
1085|106
1085|130
1085|20
1086|110
1086|95
1086|42
1086|76
1087|112
1087|102
1091|50
1091|110
1093|25
1094|15
1094|4
1095|24
1095|156
1096|88
1097|79
1098|4
1100|4
1102|70
1104|156
1106|128
1108|3
1109|126
1109|125
1110|102
1111|52
1111|95
1112|70
1114|55
1115|97
1115|22
1118|91
1118|68
1119|75
1119|141
1120|133
1125|23
1125|63
1125|32
1126|33
1127|50
1128|91
1129|55
1129|70
1129|25
1131|124
1132|141
1133|0
1134|7
1134|112
1134|42
1135|95
1136|14
1136|32
1136|2
1139|126
1139|56
1139|139
1140|7
1141|0
865|68
1141|23
1143|55
1144|50
1146|23
1147|52
1147|21
1148|21
1149|50
1149|24
1150|111
1151|121
1152|4
1157|25
1158|104
1158|88
1162|130
1164|128
1166|110
1170|144
1171|7
1172|90
1172|97
1173|60
1174|14
1174|76
1176|130
1176|133
1176|68
1177|104
1177|126
1178|121
1179|102
1180|32
1181|78
1182|64
1183|104
1184|65
1185|42
1185|33
1186|33
1188|3
1188|72
1189|68
1191|97
1193|52
1193|33
1194|97
1195|86
1195|112
1197|112
1197|56
1199|72
1199|95
1200|70
1202|50
1203|0
1205|97
1206|128
1208|79
1208|141
1212|128
1214|95
1215|33
1216|72
1217|82
1224|22
1224|130
1225|130
1229|130
1229|122
1230|131
933|151
1230|63
1231|141
1232|148
1233|88
1233|32
1236|102
1236|50
1237|72
1242|52
1242|3
1242|126
1242|23
1243|64
1244|22
1245|20
1245|105
1248|102
1249|131
1249|2
1249|102
1251|75
1251|86
1252|125
1253|55
1253|132
1254|82
1255|32
1255|65
1256|106
1256|68
1257|0
1260|112
1261|153
561|139
1264|60
1265|33
1265|63
1267|128
1267|68
1270|148
1272|2
1272|3
1272|71
1274|156
1275|104
1275|110
1276|102
1278|78
1279|72
1279|65
1280|112
1280|22
1281|104
1281|53
1281|42
1282|124
1284|102
216|42
1285|132
1286|112
1288|125
1289|64
1290|37
1291|15
1291|148
1293|76
1295|3
1296|21
1296|88
1297|95
1297|50
1298|15
1299|73
1302|95
1303|106
1304|63
1306|86
1308|97
1312|130
1312|95
1314|33
1315|62
1316|53
1317|78
1320|60
1321|21
1322|75
1326|100
1327|88
1328|128
1328|22
1329|126
1331|53
1332|23
1334|100
1334|153
1335|51
1336|75
1337|56
1337|128
1338|50
1338|148
1338|90
1339|25
1341|142
1341|119
1343|141
1343|22
1344|142
1346|50
1347|79
1347|97
1348|43
1348|56
1349|111
1350|3
1350|53
1351|32
1353|0
1357|52
1358|98
1359|20
1359|112
1359|105
1360|97
1360|24
1362|65
1362|124
1365|2
1366|33
1366|64
1366|83
1368|104
1368|97
1370|91
1371|136
1372|23
1372|87
1375|139
1375|78
1061|65
1378|50
1382|95
1383|4
1384|52
1385|25
1387|33
1387|126
1387|63
1388|156
1388|126
1389|22
1389|32
1390|14
1392|88
1392|90
1394|23
1395|53
1395|132
1398|43
1398|86
1400|134
1400|130
1401|156
1402|97
1403|87
1404|82
1404|144
1405|153
1406|141
1406|90
1407|73
1409|90
1410|126
1411|86
1411|50
1412|102
1412|132
1413|35
1414|136
1418|100
1418|104
1418|125
1418|90
1419|23
1420|142
613|132
1421|106
1422|111
1422|100
1424|139
1424|88
1424|156
1425|23
1428|42
1428|4
1429|87
1430|32
1431|3
1432|55
1433|4
1435|23
1436|112
1437|130
1440|148
1441|125
1442|56
1442|82
1445|63
1445|151
1445|21
1446|21
1447|100
761|23
1447|133
1447|21
1450|87
1451|131
1454|2
1457|15
1458|99
1458|55
1458|122
1466|144
1466|32
1467|79
1467|20
1469|70
1469|62
1472|75
1472|132
1473|2
1473|21
1474|55
1476|50
1479|60
1480|76
1483|83
1483|126
1484|101
1485|23
1485|20
1485|133
1485|106
1486|71
1489|141
1491|20
1491|32
1491|141
1492|91
1492|131
1492|76
1493|142
1493|23
1495|148
1495|15
1495|52
1495|91
1495|144
1496|70
1497|134
1497|97
1497|15
1497|91
1498|64
1499|51
1499|106
1501|2
1501|125
1501|37
1502|86
1503|157
1503|7
1504|52
1504|73
1508|15
1509|72
1510|72
1510|24
1511|87
1513|110
1515|131
497|91
1517|3
1517|128
729|99
1518|124
1518|105
1518|88
1519|102
1520|115
129|95
1521|110
1524|0
1524|126
1526|43
1526|37
1528|51
1528|23
1529|144
1530|22
1532|148
1533|91
1537|101
1537|22
1537|144
1539|52
1540|121
1540|106
1541|21
1543|42
1544|131
1544|25
1544|52
1544|79
1545|99
1546|139
1547|88
1548|99
1548|35
1550|156
1550|102
1553|75
1554|67
1554|51
1555|106
1556|100
1559|125
1559|3
1559|104
1562|65
1563|134
1563|100
1566|35
1567|73
1569|75
1569|20
1570|88
1570|70
1570|4
1570|86
1571|91
1571|111
1571|72
665|7
1572|51
1574|75
1575|70
1577|99
1578|153
1579|43
1582|90
1583|60
1583|141
1584|96
1585|3
1586|78
1586|124
1587|79
1587|115
1592|53
1594|22
1596|15
1596|70
1596|153
1599|82
1601|50
1602|141
1603|32
1603|110
1603|56
1603|99
1604|87
1605|70
1605|98
1605|0
1605|20
1607|119
1608|139
1609|14
1612|20
1338|56
1612|35
1612|105
1615|148
1616|144
1617|153
1617|43
1618|125
1618|42
1620|83
1621|142
1622|132
1622|71
1624|110
1625|68
1627|68
1628|68
1629|141
1629|14
1631|139
1631|71
1632|35
1632|95
1633|24
1633|139
1636|75
1639|90
1640|79
1641|102
1642|23
1643|75
1643|87
1644|62
1644|102
1644|130
1644|63
1645|111
1645|136
1646|139
1646|105
1648|102
1648|73
1648|81
1648|56
1648|122
1650|125
1652|121
1652|22
1652|37
1653|75
1653|51
1655|144
1660|43
1661|142
1662|25
1662|110
1665|65
1666|124
1668|81
1668|60
1669|111
1672|78
1672|50
1676|3
1676|37
1677|23
1678|65
1679|136
1680|56
1681|35
1682|70
1684|112
1685|124
1686|157
1687|42
1689|99
1689|70
1690|105
1691|52
1692|33
1692|121
1695|65
1695|102
1697|88
1697|78
1699|95
1701|95
1701|126
1704|111
1704|102
1707|132
1707|157
1707|43
1708|150
1710|144
1711|105
1711|71
1712|121
1713|78
1715|55
1716|156
1717|23
1718|23
1720|15
1721|33
1722|139
1725|2
1727|151
1727|67
1728|37
1729|68
1729|2
1730|15
1732|71
1732|134
1732|91
1734|23
1735|70
1735|2
1736|63
1736|142
1739|81
1739|86
1740|105
1740|42
1746|37
1746|99
1747|60
1748|81
1750|134
1751|142
1754|68
1754|50
1755|132
1755|119
1755|110
1757|70
1757|43
1757|96
1759|130
1760|157
1762|76
1763|7
1763|91
1764|111
1364|70
1764|136
1764|83
1765|65
1766|25
1766|124
1767|100
1768|79
1771|35
1772|55
1775|76
1776|72
1778|110
1778|112
1779|141
1785|54
1785|24
1787|2
1787|90
1789|98
1789|3
1790|82
1790|53
1795|56
1796|130
1796|148
1798|62
1798|50
1799|122
1802|134
1803|105
1804|157
1804|151
1805|37
1805|60
1807|106
1809|150
1810|100
1812|60
1812|125
1813|22
1814|133
1815|90
1815|42
1816|105
1816|109
1817|93
1817|109
1818|0
1819|15
1822|97
1822|95
1822|23
1826|62
1827|112
1827|22
1828|70
1828|90
1829|0
1832|95
1832|90
1832|156
1833|50
1834|93
1834|82
1836|121
1836|148
1836|142
1837|109
1838|100
1838|68
1840|52
1841|63
1844|93
1845|73
1846|136
1846|90
1846|109
1848|2
1848|35
1848|67
1851|93
1854|56
1854|128
1855|115
1855|22
1856|119
1856|122
1856|130
1856|93
1856|42
1857|54
1858|62
1858|43
1858|56
1859|52
1860|81
1860|71
1861|70
1861|112
1862|67
1865|90
1868|131
1869|105
1869|102
1871|128
1871|134
1873|50
1874|126
1874|85
1878|93
1879|75
1880|70
1880|93
1880|0
1881|126
1882|67
1882|20
1883|106
1883|121
1883|53
1884|126
1888|70
1891|134
1891|50
1891|119
1892|76
1892|99
1893|134
1893|136
1894|62
1895|99
1896|128
1896|43
1896|111
1897|62
1898|112
1903|25
1904|20
1904|79
1905|90
1906|139
1907|28
1907|150
1908|64
1909|73
1909|156
1910|15
1911|52
1911|110
1912|112
1913|111
1913|81
1914|115
1915|14
1915|95
1917|151
1918|24
1921|87
1922|125
1922|141
1923|71
1923|97
1924|73
1925|115
1925|70
1925|129
1926|60
1927|88
1930|55
1933|64
1939|60
1941|78
1941|93
1941|63
1942|22
1942|85
1945|90
1945|4
1946|106
1947|65
1947|20
1949|79
1951|150
1952|148
1952|53
1953|156
1956|68
1956|115
1958|42
1960|152
1961|63
1962|51
1962|88
1964|83
1967|124
1967|157
1968|62
1969|141
1972|133
1973|101
1974|102
1977|20
1977|62
1983|79
1984|63
1984|146
1984|53
1985|151
1985|0
1986|63
1987|25
1987|53
1990|146
1991|37
1998|43
1999|32
1999|42
1646|148
2000|121
2001|40
2003|142
2003|40
2003|90
2003|54
2005|98
2006|56
2006|102
2007|109
2011|7
2014|105
2017|60
2018|134
2018|148
2018|21
2019|101
2019|141
2021|15
2023|102
2024|91
2026|25
2026|52
2027|106
2028|149
2029|56
2029|131
2029|70
2029|96
2030|128
2031|139
2034|131
2034|112
2036|35
2036|51
2037|112
2038|4
2038|97
2040|75
2041|144
2043|153
2044|43
2046|55
2047|87
2047|95
2049|109
2049|100
2050|14
2050|42
2053|98
2055|0
2055|7
2056|75
2057|67
2057|129
2060|156
2062|152
2062|48
2062|14
2063|96
2065|96
2065|53
2066|82
2067|42
2068|134
2070|81
2071|70
2072|73
2072|93
2074|141
2075|122
2075|153
2076|28
2077|98
2077|56
2079|153
2081|93
2082|50
2082|129
2082|106
2083|33
2084|70
2084|111
2085|134
2087|129
2087|119
1262|141
2088|133
2089|121
2089|149
2089|7
2091|142
2092|72
2095|48
2095|151
2097|63
2100|0
2101|87
2102|72
2103|21
2103|149
2105|43
2105|101
2106|149
2106|68
2107|21
818|144
2109|86
2110|3
2111|0
2111|86
2112|106
2112|142
2112|75
2113|136
2113|44
2114|0
2115|25
2124|150
2125|76
2127|105
2131|136
2132|15
2133|25
2135|100
2136|53
2138|99
2138|113
2138|82
2138|40
2139|131
2139|96
2141|148
2141|150
2142|100
2146|113
2146|44
2147|82
2150|91
2151|134
2152|21
2153|139
2157|130
2157|113
2157|51
2158|21
2160|141
2160|109
2162|78
2162|0
2163|20
2163|86
2164|23
2166|28
2168|132
2168|14
2168|117
2168|141
2169|106
2171|65
2172|24
2172|85
2172|0
2173|83
2174|152
2177|56
2178|85
2179|75
2180|50
2181|37
2182|87
2187|152
2189|150
2190|43
2191|28
2191|134
2193|91
2194|91
2196|119
2197|142
2197|52
2198|50
2199|42
2201|73
2201|28
2202|2
2202|42
2205|119
2205|30
2209|112
2209|28
2212|15
2214|70
2217|157
2218|32
2218|91
2219|150
2219|142
2222|128
2223|67
2223|153
2223|76
2224|82
2226|105
2227|112
2228|95
2229|126
2231|100
2231|83
2232|111
2234|63
2235|104
2239|83
2243|7
2245|85
2246|146
2246|72
2247|44
2251|141
2251|43
2251|121
2251|90
2254|62
2255|119
2257|113
2259|87
2259|56
2259|149
2260|68
2260|91
2262|53
2264|142
2264|117
2265|64
2265|42
2265|149
2266|142
2266|126
2266|67
2267|101
2269|132
2270|20
2271|65
2271|52
2271|153
2272|56
2272|126
2272|37
2272|44
2273|110
2275|43
2275|121
2275|95
2277|42
2277|150
2278|67
2280|7
2281|133
2284|134
2287|20
2291|97
2292|88
2292|56
2294|99
2295|144
2295|43
2296|86
2297|122
2298|54
2298|100
2299|73
2302|60
2303|60
2306|96
2308|86
2311|82
2312|24
2313|117
2313|0
2313|141
2313|136
2314|25
2316|122
2317|101
2317|109
2318|141
2321|22
2321|151
2322|115
2323|113
2323|136
2325|43
2327|32
2330|112
2330|65
2334|28
2335|95
2335|152
2338|73
2339|139
2339|142
2340|139
2341|7
2341|103
2343|22
2348|23
2349|21
2350|73
2351|53
2351|88
2353|79
2353|7
2354|127
2354|44
2356|56
2357|28
2358|78
2360|43
2361|83
2362|125
2362|2
2363|48
2363|106
2367|68
2367|98
2367|100
2367|42
2369|156
2369|121
2371|101
2372|125
2373|7
2374|70
2375|141
2376|112
2377|81
2377|124
2378|23
2378|56
2378|40
2379|117
2380|131
2382|150
2382|70
2382|136
2382|110
2384|73
2387|150
2388|95
2388|67
2389|40
575|7
2389|87
2389|52
2391|32
2392|35
2396|139
2396|127
2397|83
2398|109
2398|103
2400|30
2401|100
2401|63
2401|30
2402|88
2402|104
2402|27
2405|75
2405|102
2406|95
2408|3
2409|110
2409|23
2410|103
2410|122
2411|129
2411|76
2412|76
2412|126
2413|150
2415|37
2416|23
2417|53
2417|86
2418|79
2418|148
2421|151
2421|99
2421|103
2421|109
2421|113
528|125
2422|142
2424|48
2424|153
2425|28
2427|102
2427|119
2428|149
2428|24
2429|53
2432|42
2433|27
2433|3
2438|71
2439|70
2444|60
2445|150
2445|24
2445|22
2447|50
2447|136
2448|48
2449|109
2449|144
2450|0
2450|128
2451|131
2452|14
2453|128
2453|105
2456|96
2456|24
2457|70
2457|106
2458|75
2458|40
2460|64
2460|117
2460|157
2462|35
2462|129
2462|113
2464|44
2465|98
2465|113
1199|23
2467|134
2469|97
2470|83
2471|127
2472|76
2473|25
2474|106
2476|96
2476|115
2479|146
2479|127
2479|157
2480|33
2480|79
2483|43
2483|73
2483|148
2485|125
2485|22
2486|91
2486|81
2486|134
2486|62
2488|68
2489|103
1786|121
2493|96
2493|113
2494|15
2495|126
2495|136
2495|75
2496|105
2497|141
2498|117
2499|70
2499|119
2500|130
2502|63
2502|134
2504|54
892|119
2506|81
2507|2
2510|42
2511|141
2512|110
2513|24
2514|87
2515|62
2516|148
2518|58
2521|64
2522|136
2522|54
2525|3
2528|128
2528|152
2529|124
2529|68
2529|93
2529|144
2529|56
2530|73
2530|139
2530|50
2530|112
2531|20
2531|153
2532|139
2532|101
2533|115
2534|42
2535|18
2537|152
2537|91
2537|81
2538|28
2540|112
2540|91
2542|2
2543|106
2544|58
2546|96
2546|0
2547|103
2548|73
2548|93
2549|55
2549|102
2550|25
2550|35
2552|131
2552|122
2556|2
264|42
2559|44
2561|88
2562|142
2564|126
2565|87
2566|21
2566|62
2567|20
2568|32
2569|68
2571|93
2572|112
2573|131
2574|44
2574|148
2575|7
2578|98
2579|73
2580|14
2581|148
2584|22
2584|4
2584|14
2585|148
2587|82
2590|3
2590|62
2590|40
2590|98
2591|33
2592|129
2592|119
2593|153
2594|27
2595|85
2595|98
2596|20
1609|60
2598|133
2598|113
2601|103
2601|40
2602|88
2603|37
2603|141
2604|78
2604|149
2605|105
2609|149
2611|62
2613|82
2613|148
2615|51
2615|53
2616|75
2616|127
2616|99
2616|72
2620|157
2620|22
2620|15
2621|113
2621|126
2621|79
2621|83
2622|95
2622|50
2622|76
2624|86
2625|144
2627|157
2628|40
2628|72
2629|91
33|27
2630|148
2631|124
2631|122
2632|33
2632|109
2634|30
2634|78
2635|149
2033|62
2635|156
2635|43
2637|27
2638|50
2638|91
2638|23
2639|106
2639|133
2640|87
2641|96
2641|4
2642|119
2642|125
2644|64
2644|71
2645|87
2646|65
2646|32
2647|125
2647|37
2647|48
2652|73
2656|97
2657|78
2657|83
2657|157
2657|134
2658|53
2659|125
2659|54
2661|28
2663|27
2663|30
2664|148
2667|55
2670|15
2670|1
2671|130
2672|75
2672|151
2672|18
2672|125
2674|22
2676|106
2680|3
2682|40
2682|156
2682|23
2683|90
2683|33
2684|58
2684|104
2685|133
2686|156
2686|141
2687|119
2688|33
2691|9
2691|125
2693|100
2693|146
2694|37
2695|33
2696|101
2697|124
2700|101
2700|136
2701|54
2702|40
2703|86
2704|129
2705|83
2391|54
2706|112
2708|30
2709|21
2711|60
2711|81
2712|24
2714|21
2715|133
2717|109
2718|27
2720|67
2720|90
2720|1
2723|40
2724|125
2724|105
2725|42
2725|40
2728|96
2730|7
2731|128
2731|54
2731|44
2733|129
2733|141
2734|100
2734|4
2737|54
2738|98
2738|105
2740|150
2740|20
2741|98
680|141
1239|56
2741|37
2742|126
2743|142
2743|122
2745|67
2746|9
2748|60
2748|144
2750|48
2750|60
2750|132
2751|65
2751|63
2752|72
2753|150
2754|125
2754|2
2756|119
2756|23
2756|87
2757|23
2758|72
2760|30
2760|130
2761|32
2763|117
2763|42
2764|56
2764|78
2766|82
2769|106
2769|125
2774|92
2775|156
2776|149
2776|9
2778|83
2778|102
2780|51
2781|1
2782|105
2784|75
2786|64
2788|117
2789|35
2790|157
2790|99
2791|73
2793|78
2795|96
2796|78
2798|146
2798|2
2799|22
2800|71
2802|130
2803|15
2806|65
2808|40
2809|101
2810|121
2810|4
2812|0
2813|7
2814|96
2816|128
2817|75
2817|141
2817|21
2819|82
2820|117
2821|23
2821|20
2821|141
2822|106
2826|95
2826|149
2828|133
2829|64
2829|78
2830|121
2830|60
1802|124
2831|62
2832|68
2832|37
2833|71
2833|23
2834|40
2834|121
2835|33
2837|37
2840|15
2840|43
2845|111
2850|65
2851|53
2853|30
2854|25
2855|27
2856|133
2857|124
2858|50
2858|117
2858|35
2861|128
2861|156
2861|7
2862|146
2863|134
2864|70
2866|51
2867|42
2867|75
2868|30
2871|42
2871|70
2001|51
2871|52
2871|81
2875|137
2875|100
2878|109
2879|2
2880|115
2880|43
2880|124
2882|33
2883|131
2884|56
2884|122
2885|103
2886|81
2887|90
2889|111
2890|4
689|2
2892|73
2892|132
2893|37
2896|124
2896|32
2896|146
2897|48
2898|100
2898|27
2898|70
2899|60
2902|22
2903|119
2903|148
2904|51
2904|58
2905|137
2907|52
2907|122
2911|130
2913|117
2916|104
2917|139
2917|92
2917|2
2920|25
2921|121
2921|32
2922|136
2923|83
2923|35
2924|25
2924|151
2924|1
2925|40
2928|125
2929|25
2930|144
2931|18
2931|40
2934|29
2935|126
2936|91
2938|91
2938|92
2938|68
2939|58
2939|35
1005|95
2940|131
2941|151
2943|91
2943|109
2943|20
2944|79
2945|106
2946|117
2946|84
2947|70
2947|85
2949|91
2950|18
2950|153
2951|70
2951|75
2952|0
2952|51
2953|71
2954|125
2957|82
2958|25
2960|124
2960|100
2960|71
2960|48
2960|111
2963|139
2964|156
2965|125
2965|119
2966|52
2966|53
2967|85
2974|133
2974|150
2974|90
2975|79
2975|29
2976|98
2978|37
2978|127
2980|64
2980|20
2981|23
2981|64
2982|142
2982|109
2983|92
2984|101
2987|44
2988|110
2990|144
2990|119
2991|68
2992|97
2996|86
2997|21
2997|28
2997|22
2998|115
2998|21
2998|93
2998|58
2998|147
2999|48
2999|105
3000|124
2695|92
3000|122
3001|148
3002|15
3003|113
3004|132
3004|71
3005|139
3006|148
3007|151
3007|132
3007|82
3008|65
3009|91
3010|101
3010|22
3012|127
3012|109
3013|144
3014|50
3014|35
3017|136
3018|126
3018|152
3021|42
3021|58
3022|131
3022|155
3023|27
3024|2
3024|101
3024|79
3025|146
3027|3
3027|42
3027|32
3030|29
3031|115
3032|83
3033|27
3033|37
3033|156
3034|111
3034|53
3035|90
3037|134
2903|117
3039|75
3041|111
3042|102
3043|4
3046|131
3050|21
3050|155
3052|43
3052|62
3054|48
3054|44
3055|110
3056|56
3057|65
3058|55
3059|131
3059|100
3059|78
3060|96
3062|1
3062|94
3062|82
3063|73
3064|146
3065|44
3066|139
3067|82
3071|29
