Person|Tag
555|72
555|4
477|21
558|57
559|70
45|42
562|136
562|10
563|156
563|79
563|69
568|7
568|98
568|40
569|85
569|34
569|139
570|34
570|13
572|92
572|72
573|125
574|61
574|128
575|108
576|58
579|16
579|109
580|67
580|138
580|41
581|7
583|89
583|4
584|40
584|70
584|112
585|146
585|84
586|80
587|87
588|157
591|125
591|81
592|70
594|154
594|27
594|40
595|157
595|36
596|13
597|143
597|109
598|139
598|149
600|10
600|41
600|34
600|126
601|99
601|77
602|0
604|119
604|49
605|106
605|35
605|59
606|94
606|49
607|4
609|80
611|149
612|105
612|0
615|0
615|117
616|10
617|81
617|18
156|34
617|83
618|10
618|137
618|120
619|128
619|96
619|85
620|38
620|112
624|33
624|142
625|31
625|75
625|14
625|25
626|30
627|32
629|36
295|20
629|49
630|143
630|154
630|92
632|77
634|52
634|105
636|83
637|84
638|128
640|38
642|147
642|65
646|150
647|83
559|112
648|155
649|81
649|111
651|58
652|69
652|79
653|87
654|77
655|97
656|7
656|119
656|22
658|60
658|7
139|149
658|4
659|0
661|22
662|14
662|1
664|27
664|139
665|58
667|32
667|56
667|67
667|79
667|81
671|30
672|70
672|84
673|65
675|16
675|118
676|94
676|155
676|96
679|80
680|99
680|60
682|48
683|8
684|77
686|106
688|150
689|30
689|92
689|25
689|16
690|79
692|146
692|25
692|99
695|77
697|86
698|7
517|142
698|132
699|81
699|121
702|52
703|86
705|139
706|96
707|58
708|105
709|31
709|155
712|1
713|32
713|83
715|108
715|139
716|146
717|107
717|86
717|24
717|69
717|1
718|25
718|61
718|37
719|31
719|36
720|38
440|154
721|27
291|93
722|143
723|143
723|98
724|27
725|93
726|117
728|71
728|149
729|81
730|56
730|120
730|107
731|25
732|66
733|58
734|106
735|24
736|70
737|144
737|138
737|81
738|35
738|69
738|76
740|80
743|83
744|121
747|70
748|38
748|137
750|37
751|147
751|67
752|41
754|56
754|117
756|150
756|108
758|119
759|87
761|133
762|92
762|45
762|89
763|139
763|33
763|16
763|36
765|31
765|45
766|25
766|13
767|31
767|37
769|130
769|139
769|145
769|36
772|92
773|115
773|94
775|150
777|76
778|144
780|57
781|27
782|92
783|32
515|56
784|75
785|140
786|15
786|119
787|30
788|59
789|118
791|140
792|95
793|48
794|35
794|13
794|1
795|52
796|143
796|133
798|33
798|76
798|32
800|125
801|132
801|111
801|66
802|119
802|10
802|42
803|16
804|14
804|8
804|118
805|77
807|46
807|19
809|140
809|150
811|45
812|81
812|66
813|41
813|56
817|96
818|117
819|157
819|40
819|147
819|119
820|118
821|120
137|0
822|93
823|126
823|70
824|33
828|31
829|36
830|136
830|132
831|45
831|119
832|153
832|16
833|8
834|81
836|52
836|16
837|52
839|149
839|108
839|117
840|56
840|144
841|72
844|58
845|83
845|99
847|45
847|111
848|94
850|95
850|112
852|138
852|143
856|89
857|72
859|4
859|22
860|94
861|130
862|112
862|123
863|7
864|35
864|146
865|32
867|93
253|111
870|157
870|47
872|99
873|18
873|4
873|15
874|42
875|76
876|156
877|48
878|93
878|37
878|132
878|100
880|117
880|98
880|40
881|49
881|145
882|144
882|52
883|142
883|138
884|47
886|4
886|9
887|142
888|84
889|42
391|92
889|41
889|93
891|49
892|38
892|21
893|135
893|31
895|156
896|36
896|126
900|32
900|144
901|21
902|150
623|128
902|41
902|121
902|8
903|49
903|143
903|68
905|111
909|136
910|8
910|115
911|98
911|108
911|77
776|79
911|39
912|71
912|98
913|142
214|149
914|58
916|38
916|94
918|30
920|120
921|40
923|36
923|34
923|111
924|111
925|10
926|115
927|145
928|93
929|48
931|117
932|94
933|14
933|137
933|123
936|25
936|1
936|142
938|120
939|140
941|36
943|66
944|33
944|44
945|45
946|20
948|115
950|144
950|83
950|31
950|70
951|81
400|81
951|7
951|126
955|138
956|51
959|7
961|21
961|51
962|100
963|1
382|4
965|57
965|32
965|115
968|144
968|157
971|22
972|22
973|62
973|138
973|46
974|133
817|50
976|2
976|11
977|39
977|80
500|143
977|33
978|37
979|145
979|68
980|67
981|9
538|45
981|108
982|120
983|47
985|61
985|134
985|120
985|80
985|19
987|15
987|97
988|117
988|46
990|143
991|0
991|35
991|142
991|125
993|31
994|146
998|95
1000|27
1001|15
1002|13
598|70
1002|99
1003|93
1003|120
1003|134
1004|125
1004|106
1004|1
1005|22
1005|76
1005|136
1005|118
1007|42
1007|2
1009|41
1009|84
1010|92
1012|80
1012|21
1014|126
1014|2
1014|92
1016|42
1019|10
1020|129
1020|136
1021|44
646|98
1021|47
1021|119
1023|157
1023|35
1026|77
1026|70
947|150
1027|1
1028|79
1030|31
1033|1
1033|56
1033|118
1034|36
1035|153
1036|136
1036|16
1037|24
1037|17
1039|11
1039|79
1040|129
1040|45
1040|13
1041|149
1041|96
1043|46
1043|47
1044|68
1044|33
1044|128
1049|120
1049|149
1050|4
1051|128
1051|159
1052|49
1053|78
967|34
1054|97
1056|120
1059|96
1059|21
1060|111
1061|133
1062|121
947|78
1062|31
1065|85
1067|147
1068|5
1069|54
1071|156
1071|27
1072|142
1074|159
1075|132
1075|135
1076|38
1078|72
1078|34
1080|126
1080|34
1082|93
1083|96
1084|67
1085|57
1085|140
1086|100
1087|0
1087|10
1088|126
1089|106
1089|89
1090|85
1091|125
1092|99
1093|97
1093|159
1094|83
1095|8
1095|24
1096|11
1098|66
1098|5
1099|68
1099|153
1100|67
1101|125
1101|142
1102|156
1103|136
1104|61
665|30
1106|140
1107|78
1108|46
1108|140
1110|106
1110|81
979|87
1111|117
1112|76
1113|34
1113|41
1113|84
1114|32
1114|119
1115|79
369|154
1115|139
1115|74
1117|118
1117|37
1119|150
1120|31
1120|159
1122|14
1122|122
1124|16
1124|159
1126|21
1127|62
1127|107
1127|32
1128|2
1129|71
1129|27
1118|139
1130|46
1133|129
1134|7
1135|119
1136|30
1136|17
1137|49
1137|46
1137|115
1137|95
1138|112
1138|138
1140|144
1140|87
1143|33
1144|1
620|96
1144|139
406|1
1144|50
1149|62
1151|42
1151|94
1152|122
1152|69
1152|49
1154|154
1154|44
1154|138
1156|139
1157|83
1158|19
1159|7
1161|111
1162|95
1162|76
1162|155
1164|109
1164|148
1164|47
1165|89
1165|4
1166|9
1166|111
1167|35
1167|39
1168|45
1168|60
1169|38
1171|93
1172|44
1172|118
1172|80
1176|159
1177|122
1180|109
1180|77
1181|149
1181|45
1185|123
1185|86
1186|92
1186|157
1188|126
1189|111
1189|120
1189|139
1191|65
1192|51
1193|129
1193|46
1194|75
1194|62
1194|2
1196|100
1197|0
1198|13
1199|39
1199|129
1200|81
1201|48
1203|2
759|106
1204|106
1205|93
1207|130
1208|95
1209|71
1210|143
1210|118
919|39
1210|100
1210|37
1211|97
1211|105
1211|149
606|21
1212|25
1212|135
1213|45
1213|152
1213|122
1214|157
1214|5
1215|119
1216|115
1216|155
1216|15
1217|50
1217|16
1217|33
1218|66
777|139
1219|152
1220|100
1224|22
1226|81
1227|130
1229|37
1229|59
1230|105
1230|53
1231|140
1231|144
1231|35
1232|8
1232|32
961|142
1232|89
1232|147
1232|6
1237|69
1237|24
1237|140
1237|37
1238|99
405|21
1238|35
1238|94
1240|56
1241|9
1241|89
1242|99
1242|41
1242|120
1243|128
1245|68
1247|22
419|61
1213|77
1247|2
1249|98
1249|144
1251|140
1252|137
1253|135
1255|122
1255|50
1257|32
336|61
1259|53
1259|156
1261|76
1263|19
1263|136
1265|142
1265|36
1265|58
645|77
1266|108
1266|106
1267|28
1267|118
1268|107
1268|157
1268|75
1269|148
1269|119
1270|51
1271|153
1273|155
1277|15
1277|148
1277|44
1278|95
1279|97
108|57
1279|99
1283|107
1284|126
1169|2
1284|7
1284|92
328|30
1284|100
1285|76
1285|68
1285|100
1286|89
1286|69
1286|102
1289|80
1290|27
1293|52
1294|85
1295|81
1036|9
1298|33
1298|63
1299|154
1299|79
1301|133
1301|62
1304|94
1304|54
1306|119
1308|137
1309|89
1310|13
1310|107
1310|27
1315|41
1316|126
1317|34
1317|50
1322|30
1323|86
1323|54
1324|80
1325|45
1325|48
1325|118
1326|126
1326|71
1327|129
1329|63
1330|139
1331|54
1331|68
1332|84
1332|66
1333|80
1333|142
1334|159
1335|97
1337|22
1337|62
1338|123
1338|52
1340|154
1341|89
1341|86
1341|117
1343|31
622|32
1343|0
1344|40
16|91
1344|70
1344|69
1349|63
1352|71
1353|153
1353|92
1355|81
1356|54
1358|115
1358|76
1358|42
1359|101
1360|62
1361|128
1363|149
1363|22
1364|107
818|80
1364|85
1366|41
1367|87
1369|42
1370|14
1371|94
1372|30
1372|72
1374|42
1374|17
1376|85
1377|49
1377|115
1378|28
1379|67
1379|76
1381|117
1381|118
1382|1
1139|58
1385|78
1385|2
1386|136
1387|134
1388|15
1388|98
1389|155
1389|42
1389|133
1389|6
1390|114
1392|89
1393|123
1394|47
1394|66
1394|85
1394|11
1396|95
1396|152
1397|124
903|41
1397|134
1397|155
1398|51
1398|57
1399|132
1399|46
1400|119
1400|100
1401|25
1402|95
101|20
1403|1
1404|31
1405|18
1407|18
653|109
1407|95
1408|75
1408|112
1412|56
631|32
1412|35
1412|87
1413|114
1414|85
1417|145
1417|63
1418|67
1418|111
1418|136
1418|123
1418|19
1418|107
1421|32
1422|140
1422|142
1423|45
1290|61
1423|66
1424|124
1426|140
1426|61
1428|129
1428|150
1429|11
1430|45
1430|140
1431|143
1431|86
1431|109
1432|132
1432|151
1433|14
1433|68
1394|32
1433|53
1433|97
1435|9
1435|83
1436|66
1436|142
732|40
1437|106
1438|143
1440|119
1441|112
1442|11
1442|118
1442|135
805|8
1443|150
1446|156
1181|87
1448|61
1449|89
1449|6
1450|157
1453|41
1453|17
1454|120
1454|33
1458|63
1459|107
1459|149
1460|32
1461|125
1463|109
260|111
1463|8
1200|74
1463|52
1464|19
1465|0
1465|42
1465|115
1466|113
1469|117
1470|29
344|146
1471|92
1472|113
1472|66
1473|117
1473|48
1473|42
1475|132
1476|40
1476|144
1477|5
1478|78
1478|81
1478|129
1480|22
1481|150
1483|81
1421|8
1484|86
1485|135
1486|145
1487|10
1488|94
1138|135
1491|159
1491|115
1491|38
1494|22
1495|135
1495|144
1497|69
1497|119
631|16
1498|5
1502|138
1502|146
1503|62
1503|17
1503|140
1503|142
1504|129
1505|33
1506|57
1508|149
1509|75
1509|49
1510|159
1512|55
1515|70
1517|62
1518|13
1521|53
1521|61
1522|72
1522|27
1522|60
1522|134
1523|2
1523|107
1524|98
1526|60
1532|5
1533|69
1533|103
1533|0
1536|89
1537|7
1537|75
1538|126
1539|50
1539|71
1541|123
1543|126
1545|62
1545|129
1546|60
1546|139
986|134
1546|136
1548|22
1549|123
1549|80
1549|114
618|30
1549|37
1550|151
1550|144
1551|42
1551|152
1551|64
959|81
1553|116
1553|119
1554|97
1555|52
1556|36
1556|124
1557|34
1558|53
1559|55
1559|5
1561|155
1561|146
1561|46
1561|145
1562|64
1564|89
1570|79
1570|53
1571|28
1572|108
1573|70
1573|68
1573|0
1200|146
1576|60
1576|118
1576|48
1578|54
1579|148
361|137
1579|144
89|72
1579|48
1581|21
1581|64
1581|126
1581|123
1357|145
1581|17
62|10
1582|69
1585|138
1585|61
1585|98
1585|63
1586|136
1586|135
1588|14
1589|70
1590|132
1592|142
1593|104
1593|92
1593|111
1594|23
1595|9
1596|119
1599|57
1600|133
1600|136
1329|142
1601|101
1601|91
1603|17
1603|146
1605|115
1605|83
1607|79
1607|109
1608|150
1609|91
1609|68
1610|0
643|4
1611|151
1612|96
224|13
1612|62
1613|123
1613|62
1615|40
1615|29
1615|66
1617|91
1617|154
1617|149
1618|18
1619|66
1619|98
1622|66
1622|75
1622|6
1623|118
1623|151
1625|72
1625|157
1626|138
1364|135
1626|140
1629|157
1629|21
1629|42
1630|69
1633|31
699|39
1634|93
1634|91
1634|44
1635|35
1635|129
1447|24
1635|130
1636|135
1636|63
1639|104
1641|153
1642|36
1643|66
1644|62
1645|143
1648|121
1649|66
1650|119
1650|33
1650|96
1650|42
1650|14
1651|2
1657|99
1658|113
1661|10
1661|43
1662|3
1665|9
1106|63
1666|155
1667|45
1667|79
1669|21
1674|79
1674|89
1674|7
1222|27
1675|53
1676|81
1137|52
1676|87
940|42
1676|8
1677|35
1678|0
1680|22
1682|68
1684|40
1686|94
1688|136
1134|0
1688|49
1689|19
1690|42
1692|89
187|111
1692|145
1693|156
1693|53
1693|43
1693|87
1694|128
1695|83
1695|36
1695|2
1697|147
1699|55
1699|16
1700|23
1701|62
1701|153
1701|7
1702|96
1702|140
1704|138
1709|80
1710|74
1053|159
1710|4
1711|40
1712|20
1712|94
1713|15
1713|149
1714|143
1715|22
1716|15
1716|93
1717|59
1719|116
1720|69
1720|47
1722|16
1722|68
819|118
1723|20
1723|5
1723|18
1724|32
1724|126
1725|99
1725|13
1726|133
1727|156
1728|137
1728|5
3|51
1728|25
894|132
971|86
1729|12
1657|65
1730|53
1730|159
1731|146
277|89
998|65
1734|56
8|56
1208|66
1735|7
1735|12
1735|116
1736|130
1738|13
1739|58
1739|28
1739|105
1739|81
1740|139
1740|110
1741|75
1743|139
1743|16
1745|23
1747|31
1748|79
1749|86
1751|83
786|4
1751|104
1752|113
1753|69
1753|4
1755|111
1756|113
1756|0
1757|32
1761|77
1761|10
1761|117
1762|111
1763|108
1764|18
1765|105
1766|123
1769|72
1770|34
1770|51
1640|81
1773|54
1776|62
1777|29
1780|99
1780|53
1781|54
1781|16
1781|13
1783|68
1784|50
1785|34
146|59
796|45
1785|35
1787|119
1266|132
1788|45
1789|102
1789|92
1791|29
1793|117
1793|22
1793|87
1794|3
1796|103
1796|102
790|97
1796|113
1796|139
899|146
1796|140
1797|121
590|140
1798|112
1798|75
1799|128
1799|116
1800|45
1800|95
1800|56
1800|125
1800|55
1804|79
1804|12
1804|1
1805|14
1806|144
1806|113
1808|44
1809|112
1809|152
1810|106
1810|24
1813|33
1813|142
1814|39
1815|58
1816|146
1819|153
1819|5
1820|123
1820|37
1821|69
1821|59
1821|159
1823|135
1823|122
1823|68
1824|94
1824|83
1824|116
1824|124
1824|130
1826|25
1826|51
1827|92
1828|52
1830|148
1830|72
1830|114
1830|69
1831|67
1832|142
1833|97
1833|113
1835|59
1835|101
1838|67
1838|28
1840|139
1840|144
1840|151
1841|8
620|72
1842|58
1842|138
1844|101
1845|3
1845|53
1845|12
1847|62
1848|136
1850|123
860|47
1851|17
1852|61
410|38
1852|135
1853|148
1853|128
1853|50
1854|123
1854|15
1854|108
1856|116
1857|156
1857|68
1859|33
1859|146
1859|27
1860|153
1860|99
1860|156
1861|105
986|27
1861|38
1861|157
1863|15
1864|140
1864|92
1865|126
1867|79
1867|40
1867|93
1867|100
1869|25
1870|122
1822|11
1871|140
1872|12
1872|51
1872|28
1875|69
1875|32
1878|70
1878|5
1248|130
1879|147
1881|154
1882|146
1883|151
1883|28
1884|143
1884|128
1885|35
1886|53
1887|114
1887|10
1887|99
1887|139
1887|79
1888|27
1428|109
1890|31
1891|61
1891|83
1875|56
1892|108
1893|102
1894|123
1896|123
1897|159
1897|112
1898|8
1899|0
1899|95
1901|145
1901|108
1902|60
1904|159
440|87
1906|69
1906|107
1907|149
1909|32
1910|91
1910|107
1911|57
1911|148
1912|134
1913|53
1913|145
1913|24
618|70
1913|80
1914|22
1916|116
1916|129
1917|55
1920|140
1060|119
1920|51
1920|133
1921|84
1921|130
1922|28
1922|59
1923|57
1925|135
1925|64
1925|101
1925|83
1926|139
1926|85
1926|48
1927|59
1928|148
1928|130
887|9
1930|14
1932|5
1935|146
519|32
1936|89
1938|109
1938|101
1938|22
1938|41
1940|144
1940|30
1941|131
1942|27
581|49
1374|92
1943|83
1945|136
1945|75
1945|8
1946|67
1947|49
1947|108
1948|77
1950|154
1953|30
1953|100
1954|147
1954|52
1955|50
1955|0
1955|71
1956|18
1959|47
1960|24
1961|144
1577|87
1962|47
1962|9
1964|147
1964|39
1965|74
1965|101
1965|48
1966|39
1966|116
400|146
1968|111
1970|38
1970|144
1970|149
1971|92
1893|5
1973|46
1973|38
1974|86
1975|139
1975|115
1981|63
530|67
1983|148
1983|7
1984|125
1985|65
1985|131
1987|95
1987|9
1988|33
1805|135
1988|117
1989|60
1989|85
1990|91
1990|108
1992|86
1992|78
1994|77
1995|139
1996|2
1996|77
2000|63
2002|153
2002|32
983|129
2005|64
2006|67
2007|6
2010|81
2011|27
2011|41
2011|137
2011|47
2012|20
2013|121
2013|120
2014|98
2015|1
2017|50
2018|44
2018|141
2020|42
2020|125
2021|141
2021|136
2021|96
2022|48
2022|103
2024|2
2026|103
2026|108
2026|24
2026|109
26|84
2027|78
2027|8
2028|102
2029|51
2029|148
2031|76
2034|16
2035|116
2035|5
2036|154
2037|63
2038|148
2039|154
2042|93
2044|62
288|105
2044|147
2045|117
2045|69
2047|74
2047|117
2051|106
2051|6
2052|53
2052|128
2052|99
2053|97
2053|117
47|48
2053|5
2054|61
2054|141
1930|60
2055|156
2056|148
1115|38
2057|33
620|45
2057|95
2057|59
2057|57
2058|61
2058|103
1465|108
2059|12
2059|147
2059|132
2061|30
2061|11
2061|111
2061|150
2062|90
1446|7
2065|27
2065|125
2066|12
2069|56
2070|115
2072|108
2072|122
2074|130
2076|24
1381|49
2076|151
2076|141
2076|3
2078|115
2078|9
2079|6
2080|63
2081|101
2081|129
2081|21
2082|40
2082|90
2084|54
2085|105
2085|135
616|97
2086|28
2086|76
2087|44
1759|136
2088|124
2088|48
2089|31
2089|69
2091|32
2094|143
2094|132
2097|142
2098|18
603|34
2098|31
2098|117
2099|74
2101|152
2102|97
2102|77
2103|50
2103|13
2105|119
2107|17
2108|84
2108|156
2111|72
2112|24
1235|100
2114|128
2114|96
2115|68
2115|60
2116|51
2116|57
2116|58
2116|75
2117|25
2118|50
2118|4
2119|63
2121|157
2122|70
2122|83
2122|91
2125|28
2125|61
1619|101
2126|22
313|1
2127|40
2127|101
2128|0
2128|9
2129|31
2129|18
2130|70
2131|59
2131|47
2133|117
2133|118
107|153
2133|86
2133|60
2134|52
2136|10
2138|147
2139|66
872|140
2139|8
2139|91
2141|158
2143|157
1775|113
2144|112
100|61
2146|137
2146|118
2147|140
2148|42
2148|51
1253|2
2148|7
2148|85
2148|118
2149|81
2151|16
2151|128
2152|135
898|119
2153|24
1|64
2154|45
2154|18
2156|157
2156|109
850|84
2156|29
208|1
2157|73
2157|20
2162|68
2162|66
2163|54
2164|112
2164|118
1067|40
2165|67
1850|16
2165|63
2165|25
13|61
2166|66
2167|106
2167|50
2168|47
2170|14
2171|152
2173|144
1942|70
2173|98
2174|118
2174|45
2174|38
2175|56
2177|43
2180|148
2181|59
2185|116
2185|40
2186|27
2187|157
2187|84
2187|40
2188|11
548|77
2189|151
2190|37
2191|2
2191|18
2193|79
2194|56
487|20
2194|133
2194|109
56|126
2195|21
2196|84
2198|66
2199|154
2199|39
2199|23
2200|119
2201|55
2201|101
774|132
1367|129
2201|23
2203|84
2203|96
2203|63
2204|125
2205|135
2206|101
2207|67
2207|23
2207|136
2209|131
2211|87
2211|38
2211|2
2213|149
2214|2
1596|104
2215|97
2215|2
492|20
2215|55
2217|25
2159|21
2219|96
2228|149
2229|13
2229|133
2230|159
2231|36
2231|107
2231|94
2232|65
2038|38
2232|117
2234|138
1758|81
2235|84
2235|94
2235|137
2236|26
2236|119
2237|116
2238|29
2238|150
1043|65
2238|28
2239|124
2241|90
2242|14
2244|112
2244|157
2244|8
2247|149
2247|131
2247|80
2248|159
2248|32
2248|134
2248|72
2146|85
2249|57
2249|37
2249|45
2249|117
2060|107
2249|147
2250|85
2252|81
2253|55
2254|29
2255|44
2258|38
2259|140
2260|15
2260|5
2262|142
2264|138
2265|37
2265|138
494|32
2266|24
2266|129
2267|73
2267|66
2257|33
2269|125
2269|22
2270|97
2271|129
2272|15
2274|143
2275|118
2276|83
2279|23
2280|116
1301|145
2282|136
2282|97
2283|95
2283|74
2284|35
2284|52
2287|140
2288|96
2289|1
2289|108
2289|23
2292|16
2293|3
2293|103
2294|129
2295|28
2295|110
2298|147
2298|41
2301|141
2049|97
2301|9
1069|13
2302|143
1331|150
2303|68
2304|55
839|150
2305|27
2306|126
2307|53
2307|112
2307|43
2308|12
2308|34
2310|132
2311|94
2311|112
2313|110
895|139
2313|78
2314|132
2314|10
2314|140
2315|60
1200|95
2315|43
2317|18
2318|122
2319|128
2319|89
343|4
2319|151
2319|83
2321|83
2321|90
2322|95
2322|118
2322|108
2323|38
2323|132
2325|2
1010|8
2326|69
2326|144
2328|117
2329|65
2330|109
2330|0
2330|69
2331|111
2332|92
2332|129
144|61
2333|70
670|153
2333|29
2333|43
2333|131
2334|34
1553|104
2334|38
2334|25
2337|116
2339|75
2339|94
2340|147
2340|78
2341|38
2342|96
2343|109
2344|57
1371|100
2346|13
2347|71
2347|83
2347|81
2347|5
2347|39
2348|1
2349|152
2350|95
2350|140
2350|53
2351|64
2351|144
2353|25
2354|46
545|69
2355|26
2356|90
2357|94
2359|25
2360|151
2361|158
2362|134
1785|155
2363|143
2364|134
2364|63
2366|104
2369|90
2370|96
358|98
2370|76
2371|132
2373|138
2374|153
2374|69
2374|71
2375|101
2375|65
1215|27
2376|96
1457|75
2377|26
2378|105
2378|45
2380|94
2381|94
2384|0
2384|66
2385|70
1642|121
2386|130
672|146
2387|55
2387|131
2388|35
278|81
2391|149
2392|145
2393|102
2393|158
1371|72
2395|3
2395|17
2396|78
2396|34
2396|92
2397|28
2397|111
2398|154
2400|21
2401|4
2401|23
2402|153
2402|19
2402|139
2402|103
2403|90
2403|12
2404|95
1099|54
2404|120
2406|128
2407|138
870|52
2407|68
766|59
2407|73
2407|143
2409|67
2409|27
2409|119
2410|80
2414|113
2415|158
2416|134
2416|110
2417|155
2417|140
2418|33
1473|154
2046|89
2420|147
2420|120
2420|101
2420|5
2421|75
2422|148
2422|12
1491|147
1898|3
2423|70
2423|10
2423|71
2424|129
2426|43
2426|17
2428|93
2428|117
2428|83
1027|59
1088|45
2430|103
915|68
2431|147
2432|141
2433|9
2434|101
2434|53
2435|134
2436|140
764|72
2436|26
2437|65
1235|156
2438|43
2438|104
2439|0
302|1
2441|91
2441|45
2444|122
2445|132
915|142
2445|1
2446|75
2447|60
2447|6
2448|90
2450|128
2450|102
6246|26
8826|47
6248|63
3759|57
6248|121
1725|144
6249|3
5783|124
6254|135
3878|37
6254|118
7426|12
735|76
6262|111
2658|42
8559|73
2880|98
7030|7
5128|85
6264|24
6266|90
6268|6
6271|16
6271|63
7661|145
4550|88
6273|129
6275|88
6275|29
6277|39
2726|68
6278|109
2296|55
6279|115
6280|78
940|51
1083|69
6284|34
6289|102
6460|64
6476|50
6289|40
375|154
7051|55
1582|28
6289|39
5743|51
2722|156
6294|86
2342|138
6296|113
5909|94
1240|138
6297|126
6301|137
6301|109
574|71
7685|12
5858|31
6306|38
6306|151
2821|128
6307|58
4934|80
9850|19
6310|133
8103|47
9688|40
6311|142
8754|92
5060|133
6316|140
6321|100
6323|52
3783|5
6325|91
531|108
574|138
5439|115
6328|56
3512|33
7938|55
5899|126
4147|145
2585|98
835|87
6331|25
6846|136
4260|39
6334|115
5409|4
6327|85
9104|89
6337|23
