Forum|Person|joinDate
16|9848|1972-08-16 16:01:20
16|5049|1982-01-21 10:51:22
16|8972|1974-10-27 12:52:57
16|27|1985-05-11 20:50:08
17|8971|1965-09-23 16:15:41
17|2171|1966-07-08 15:08:41
17|2139|2005-09-05 05:14:43
17|1488|1971-04-20 04:28:31
17|7288|1965-12-29 11:11:15
18|6138|2000-02-03 05:37:13
18|7929|1983-10-31 03:18:35
18|372|1973-03-03 18:34:48
18|8375|1974-06-14 10:11:47
18|9726|1991-10-31 17:51:29
18|7600|2001-10-10 12:01:52
19|8987|1966-06-19 10:43:37
19|3827|1988-05-21 16:16:51
19|8295|1989-07-30 17:00:53
19|1845|1984-07-15 15:00:29
20|5801|2007-07-03 01:31:26
20|6273|1960-05-04 19:37:21
15|2048|2001-09-11 11:54:24
22|882|1976-01-01 17:39:52
22|7614|1970-04-18 23:11:32
22|8217|1960-11-14 15:08:17
22|1048|1982-02-05 15:51:37
22|61|2004-01-25 23:45:56
23|5979|1973-12-31 23:53:16
23|5648|1996-11-09 15:05:29
23|9102|1995-02-18 14:54:00
23|1062|1986-11-29 15:59:31
23|7279|2003-02-04 08:26:05
23|3239|2007-12-01 15:36:11
23|4484|1963-02-03 17:18:33
23|7181|2003-07-15 01:41:25
23|8839|1999-10-22 10:33:53
24|5623|1970-08-29 16:00:16
24|4245|1960-04-12 08:20:35
24|8180|1993-10-15 07:03:03
24|1973|2002-10-27 04:55:03
24|9323|1981-03-22 00:53:34
24|9370|1984-01-14 00:09:44
24|8138|1970-07-29 18:03:30
24|7807|2005-11-05 10:18:57
24|8779|1972-09-23 11:28:46
24|3527|1996-06-28 03:33:26
25|254|1990-03-29 15:46:46
25|9641|1979-02-22 11:26:04
25|1306|1963-07-14 15:35:32
25|8099|2008-01-07 20:49:01
26|8794|1988-02-23 09:20:58
26|7775|1986-06-15 21:44:45
26|5084|2007-07-10 12:25:50
26|8547|2007-01-30 14:10:50
26|3631|1963-07-26 23:52:48
26|788|1993-02-04 08:14:12
27|9734|1989-03-14 09:17:36
27|3891|1981-08-26 10:56:33
27|8727|1961-07-31 13:55:53
27|2079|1985-08-31 19:42:28
27|5880|1974-01-12 12:23:10
28|9978|1996-03-05 13:43:37
28|3586|1988-06-08 11:42:41
28|4885|1962-06-10 11:52:19
28|8585|1995-07-26 03:00:25
29|6536|1987-04-09 01:29:14
29|2415|1992-04-18 16:09:09
29|3762|1978-01-06 11:27:42
29|7610|1965-06-20 12:54:54
29|243|1979-02-13 16:20:30
30|5928|2002-05-18 05:13:59
30|7449|1989-07-17 15:38:23
30|1362|1991-06-12 12:53:28
30|262|1994-01-09 22:04:56
30|5358|1964-12-05 08:44:41
10|1650|1979-03-25 06:32:21
31|6622|1978-03-11 05:20:29
23|4109|2006-05-23 16:05:17
31|8614|1962-05-14 08:11:29
31|2344|1995-12-30 01:57:30
31|6052|2001-08-10 07:38:08
32|1661|1998-10-01 06:15:36
32|2127|1997-07-26 09:30:36
33|5180|1965-03-14 02:10:02
33|138|1993-10-09 00:23:18
33|6437|1971-11-22 16:40:15
33|9129|2004-10-10 04:43:25
33|7113|1996-09-25 12:24:49
33|7936|2008-06-05 19:13:07
33|1072|2000-10-17 23:07:47
34|4278|1974-02-15 01:10:14
34|994|1995-03-10 13:24:10
34|3188|2005-12-27 14:24:07
34|7148|1987-01-26 16:34:26
35|839|1971-04-03 17:24:12
35|6153|1991-07-04 01:41:36
35|3890|1963-07-16 20:52:00
35|5932|1984-06-28 00:53:20
36|4163|2003-12-26 18:53:16
36|1869|1987-05-18 19:17:35
36|4826|1971-08-05 15:10:00
37|9169|1995-04-07 12:29:06
37|4638|1984-05-17 08:30:45
37|7829|1982-06-05 19:54:26
37|2268|1981-05-05 18:30:01
38|1482|2001-05-01 18:52:16
38|1567|1964-10-07 01:20:19
38|4308|1998-07-02 19:38:25
38|1897|1996-05-11 02:24:26
38|7591|1965-08-15 03:00:55
38|1410|1994-02-02 20:53:48
39|5851|2005-05-30 19:34:32
39|4310|1966-07-02 17:53:59
39|7945|1983-02-18 21:47:00
40|3378|2006-06-05 17:45:07
40|382|1965-10-29 03:49:00
40|9002|1984-01-04 08:15:44
41|4085|1989-06-15 03:53:21
41|4155|1972-03-16 00:36:06
41|1168|1984-08-29 19:07:18
41|8143|1968-11-26 14:26:33
41|2367|1981-11-27 02:25:48
42|6727|2002-10-23 19:11:16
42|4271|1983-07-12 20:16:13
42|4251|1980-09-28 12:39:48
42|5493|1962-08-14 00:49:37
42|73|1963-06-04 13:24:29
42|4130|2001-06-27 10:45:28
43|6326|1996-04-25 21:18:34
43|2968|1963-04-14 06:18:05
44|9689|1960-08-25 13:49:52
44|318|1976-07-09 02:16:16
44|1803|1969-05-18 06:28:06
45|3466|2001-05-06 10:17:14
45|2658|1990-08-16 17:20:33
46|9273|1986-09-15 04:14:28
46|2643|1999-03-17 10:57:08
46|4536|1963-04-12 13:34:00
46|3121|1997-03-17 06:35:11
46|6817|1982-06-06 09:08:35
46|1552|1968-01-22 16:58:53
46|2491|1977-03-04 22:12:06
46|9213|1978-10-06 08:57:56
46|970|1982-04-20 23:32:36
43|4550|1966-05-23 21:38:23
47|2321|1997-05-08 03:59:38
47|4920|1992-05-31 13:34:33
47|5681|1973-12-21 06:20:11
47|8222|1962-03-29 15:57:43
47|9922|1977-12-14 09:10:42
48|955|2004-05-18 09:31:33
49|3977|1986-07-25 10:30:59
49|3704|1974-05-15 17:26:01
49|2543|1974-01-08 09:08:43
50|184|2000-08-20 21:18:54
50|9305|1961-08-12 10:28:05
50|8012|1986-02-24 07:50:12
50|9849|1968-10-10 19:24:22
50|6163|2002-04-26 22:03:03
51|7070|1976-03-19 00:49:31
18|914|1972-04-20 23:34:22
51|6922|1994-07-31 11:44:05
51|6057|1962-10-13 04:13:32
52|4128|1996-06-05 20:07:25
52|6309|1997-01-29 19:05:10
53|8187|1967-12-08 00:53:12
34|7442|2001-11-16 18:08:19
53|6870|1988-05-11 15:34:44
53|8112|2008-08-21 15:16:34
53|7317|1962-08-04 01:00:29
53|9358|1966-03-08 17:52:23
54|3734|1967-10-19 01:51:49
54|2714|1997-12-22 20:27:37
54|2261|1975-11-04 03:42:58
55|7217|2007-07-03 20:37:58
55|4953|1965-11-08 02:54:49
55|4801|1983-03-11 12:30:27
55|1071|1967-02-05 17:27:40
55|7527|1964-02-08 13:42:45
56|4817|1995-05-18 04:19:52
56|5105|1967-12-02 16:48:04
56|6852|1986-03-26 06:39:49
56|3664|1975-12-10 11:16:43
56|1598|1968-05-30 22:09:22
57|9808|1971-06-01 21:08:10
57|4945|1983-09-27 13:03:17
58|2551|1997-12-16 20:38:32
58|9563|1974-12-08 05:07:08
58|7546|1976-11-11 08:08:54
58|1063|1970-06-06 14:53:04
59|5347|1995-02-10 09:56:01
59|6630|1960-04-13 16:15:02
59|5678|1996-03-18 22:42:55
59|8115|1973-12-12 02:32:04
59|7324|1974-08-03 20:27:43
60|5418|1999-05-30 17:55:32
60|7457|2007-06-27 09:27:37
60|7881|1965-08-02 18:26:29
60|4254|1965-07-17 07:36:00
60|2833|1971-02-10 00:23:14
60|4401|1961-05-19 17:59:55
61|4649|1960-12-10 01:46:08
61|6500|1976-08-31 00:54:20
61|5620|1983-11-26 07:30:43
61|2752|2006-06-15 04:47:12
61|1181|1973-01-03 09:37:54
61|5937|1979-11-20 08:28:13
62|1835|1993-03-31 04:01:03
63|7107|1995-12-29 20:17:29
37|609|1988-01-07 00:59:04
63|8917|1991-12-07 20:02:45
63|7645|2007-11-16 17:28:27
63|6807|1978-01-07 20:51:06
64|9588|1980-06-27 04:28:45
64|5420|2006-04-21 00:01:09
64|1320|1965-04-07 17:47:11
64|1271|1990-04-27 15:41:54
64|8456|1977-11-04 22:38:03
65|1092|1963-11-03 17:43:45
65|5522|1966-03-14 21:05:00
65|8570|1994-10-01 02:46:20
65|8035|1983-07-05 02:32:40
66|9261|1990-10-17 18:32:42
66|273|1999-07-29 21:58:24
66|5975|1964-09-01 17:17:42
66|8199|1999-10-16 06:00:57
66|5573|1962-09-04 03:42:55
66|7387|1993-05-23 06:40:43
67|7750|1982-11-07 18:07:38
67|9640|1991-05-25 10:34:45
67|3996|1961-03-20 17:43:40
67|2248|1988-09-03 21:23:28
28|6543|1965-08-13 11:29:04
67|5782|1977-06-01 19:30:27
68|7726|1978-02-07 10:58:24
68|944|1967-11-16 12:33:43
69|687|2008-08-14 05:24:09
69|5172|1995-01-28 16:42:25
69|3274|1969-07-22 06:45:10
69|247|1965-06-28 14:43:09
70|15|1966-07-21 20:56:11
70|8059|1989-08-26 07:20:09
71|3834|1960-04-17 11:55:41
71|942|1995-06-29 12:32:42
71|7722|1970-01-20 15:32:19
72|7652|2001-06-06 06:36:01
72|4246|1974-08-23 14:42:09
72|6731|1991-05-09 01:48:50
72|4539|1989-05-21 00:40:03
72|6233|1997-04-12 20:53:01
73|761|2007-11-02 08:23:30
73|7384|1974-12-21 07:31:32
73|8639|1991-06-29 19:37:00
6|2388|1983-01-01 11:47:45
73|3249|1966-08-17 01:11:15
73|3862|1960-03-07 06:15:49
73|6947|1997-12-22 08:04:00
45|808|1982-05-17 17:17:35
74|1976|1994-08-12 02:25:18
74|7693|1974-03-08 18:28:29
74|8962|2002-03-19 14:42:51
74|3333|1973-07-27 02:53:38
74|1014|1996-12-27 04:02:17
75|5269|1978-02-28 09:21:38
75|8376|1982-02-24 07:04:07
18|5379|1991-09-26 01:27:22
75|7615|2003-02-26 13:00:49
76|8008|1974-09-18 09:38:08
76|9961|1996-01-22 02:54:44
76|1192|1993-03-15 08:36:58
76|1995|1965-09-25 01:01:06
63|4040|1989-11-11 21:00:18
76|8640|1985-04-19 16:00:32
76|4198|1961-06-16 08:05:19
76|248|1992-01-19 20:55:29
76|8529|1970-08-01 17:12:27
77|3324|1988-07-26 12:44:33
77|3491|1965-07-30 06:18:11
77|7870|2001-11-20 20:20:12
40|2242|1966-05-07 07:40:31
77|9294|1964-06-20 19:27:46
77|3419|1990-04-10 05:29:03
77|4614|1968-05-09 09:26:13
77|4939|1985-01-03 16:11:32
77|6623|2002-06-20 18:29:18
78|7081|2001-04-10 03:07:23
78|7624|1960-04-15 03:34:46
78|9778|2005-08-23 21:33:51
79|5767|1965-02-18 09:05:19
79|6091|1973-12-21 20:06:25
20|9265|1978-09-20 16:04:55
80|6267|1989-01-02 22:32:56
80|1574|2005-01-19 07:19:47
80|2326|1964-07-03 07:16:55
80|8734|1963-12-02 05:36:58
81|4620|1966-06-11 19:55:29
81|7629|1997-12-14 14:45:45
81|2929|1983-03-14 16:31:04
81|1252|1965-06-04 12:51:59
82|7497|1980-09-30 20:24:03
82|3429|1983-03-15 08:11:47
83|1160|1984-10-03 12:33:08
83|9453|1964-07-14 01:13:38
83|2600|2000-08-07 21:49:03
83|1619|1983-09-02 20:53:27
83|6773|1988-10-13 11:55:03
83|9010|1969-07-17 11:43:06
84|7143|1989-02-13 20:27:16
84|1506|1967-10-21 21:31:08
14|4882|1963-07-20 12:17:48
84|5803|2008-09-30 05:35:55
35|5439|1994-09-02 03:21:32
84|9296|1987-12-23 08:56:07
84|6228|1977-04-23 21:16:21
84|6168|1991-11-26 14:24:02
85|6814|1960-04-30 22:07:10
85|7291|2003-05-28 17:53:35
85|8998|1970-03-04 03:45:24
85|7834|1979-11-04 21:29:31
85|554|1992-06-04 23:56:22
85|1772|1996-08-26 01:12:33
85|4272|1964-08-21 11:56:44
85|8463|1982-04-25 21:31:06
86|4642|1991-03-17 13:35:42
86|983|1995-02-27 10:19:53
86|7879|1994-09-10 06:55:52
87|583|1989-01-25 08:51:34
87|7623|1979-07-15 14:26:23
87|1994|1985-07-17 10:52:52
87|2960|1970-02-22 04:50:15
88|2429|1968-01-07 07:59:23
88|1797|1988-02-23 13:13:24
88|5652|1982-02-04 12:30:01
88|9142|1985-07-08 23:30:31
88|8697|1988-02-21 04:19:01
89|6301|1962-02-07 22:58:16
90|6851|1972-08-02 13:26:49
90|1887|1980-07-28 05:16:07
90|9800|1987-03-16 13:09:54
90|3323|1982-05-22 15:15:00
90|5364|1961-01-27 15:28:52
90|2021|2008-06-09 15:45:01
90|3069|1972-06-18 07:24:22
52|4506|1978-11-18 12:19:20
91|2129|1989-06-21 13:31:42
91|7619|1992-11-10 08:47:17
91|4186|1976-04-21 04:03:39
91|2246|1996-12-03 09:37:09
91|2064|1994-04-29 18:14:39
91|9643|2006-04-15 08:19:30
91|3573|1965-02-27 00:10:33
91|3969|1999-06-06 20:47:47
91|7491|1960-10-22 05:53:45
92|9199|1990-05-03 07:52:46
92|4548|1966-12-06 14:52:47
92|5354|1982-12-01 09:35:32
82|3133|1984-06-04 01:20:02
92|4799|2000-06-01 19:48:29
92|9983|1967-10-28 23:33:59
92|529|1985-03-14 14:11:13
92|5959|1960-04-28 08:22:55
93|8951|1963-03-12 18:34:49
50|6821|1976-02-02 22:42:40
93|342|1964-10-03 00:33:58
93|544|2006-06-01 14:49:17
93|6514|1973-11-04 17:06:10
94|9678|1978-11-10 07:14:20
94|7824|2001-07-01 00:25:55
94|477|1961-06-20 23:08:28
94|7254|2008-10-02 00:19:35
95|6575|1985-06-11 11:56:07
95|1465|1992-05-02 21:58:59
95|6414|2002-05-31 05:51:56
96|1461|1997-01-13 17:18:05
97|8304|2007-05-10 15:28:22
97|9624|2001-01-07 07:31:09
97|1101|1994-06-26 15:20:12
97|9966|1991-11-10 17:31:31
97|3404|1962-04-10 11:11:46
97|9414|1978-04-06 12:20:52
98|4503|1981-08-26 22:13:17
98|8682|1987-09-17 14:07:29
98|976|2008-09-11 11:59:36
98|9829|1977-08-05 15:22:31
98|2816|1990-12-01 20:08:15
99|1067|1961-04-30 05:17:37
99|6388|1960-02-17 12:43:57
99|1959|1982-10-04 07:00:14
88|6642|1993-08-01 02:36:24
100|4397|1979-08-12 07:41:28
101|4058|1987-12-21 00:37:21
101|8040|1975-11-06 11:53:04
101|9814|2007-03-04 16:52:03
101|850|1981-07-17 15:39:36
101|8069|1986-06-14 21:47:57
101|2770|1990-05-30 02:21:12
101|8272|1981-08-09 03:18:04
102|4998|1976-01-25 16:06:24
102|7287|1968-03-31 03:00:40
102|6624|2005-06-27 11:45:29
102|5169|1976-08-26 11:36:26
103|886|2007-01-12 08:47:29
103|3777|2004-02-07 03:37:33
103|757|2000-08-16 12:08:04
103|5268|1970-05-23 23:00:59
103|4472|1964-02-24 16:01:46
103|4241|1960-10-20 20:01:07
70|8538|1973-05-08 23:46:59
104|1047|1976-01-31 04:24:47
104|8165|1976-09-10 17:34:00
104|6068|1980-01-26 22:53:56
104|5377|1967-06-19 20:34:44
72|4017|1993-03-17 19:46:00
104|5137|1967-03-06 09:44:53
104|8373|1973-12-01 16:17:59
104|7397|1981-02-16 13:32:17
104|8026|1980-01-28 16:23:46
3|2384|2002-08-14 22:35:13
105|3955|1968-06-26 22:06:24
105|9241|1983-05-10 17:38:28
105|6589|1960-01-14 22:08:46
105|524|1971-05-06 02:14:56
2|3978|2005-05-21 02:51:30
105|8149|1960-05-23 17:56:50
105|2316|2005-12-21 00:51:26
106|5750|1974-01-30 05:02:40
106|3780|1993-08-27 08:47:34
106|555|2005-09-13 23:16:34
106|6739|1967-03-28 07:00:39
107|5138|1974-01-31 06:42:51
107|1602|1965-09-14 17:38:28
107|6441|2005-01-05 10:46:35
107|3078|1961-03-12 23:29:44
107|812|1999-12-08 10:12:36
108|1365|1970-11-04 07:37:22
108|4873|2005-02-12 03:21:24
108|6497|1995-12-17 14:18:37
104|1908|1995-01-25 06:47:35
108|2222|1973-01-31 00:40:12
108|6855|2006-04-23 19:24:48
108|2010|1995-10-31 11:47:56
109|4937|1984-06-12 03:10:57
109|5941|1977-08-09 09:43:19
109|3929|1964-04-09 09:30:31
109|4194|1969-03-04 09:44:08
109|3690|2000-06-07 11:46:35
109|507|1973-02-15 12:49:33
109|7719|1979-11-03 03:00:00
109|1422|1995-03-16 15:36:12
110|5536|1972-03-21 06:54:22
110|7490|1969-01-31 21:12:06
111|6486|2007-06-12 03:07:23
103|410|1978-08-31 15:01:49
111|9738|1970-12-19 17:26:58
111|8313|2003-07-29 01:58:28
111|7550|2007-10-10 18:15:02
112|110|1994-08-16 03:55:12
112|8964|1990-12-23 06:28:31
112|4626|1961-07-01 09:03:05
112|3055|1960-04-05 15:01:28
112|1747|1990-02-02 13:35:29
112|7379|1969-09-11 09:05:53
72|2619|1973-01-03 23:43:28
113|1711|2004-11-28 02:19:34
103|2169|1989-09-30 18:06:03
104|8025|2000-06-23 08:29:00
113|2330|2004-11-28 05:23:41
113|9519|1982-08-20 18:14:07
113|6270|2002-02-05 03:23:28
113|4022|1972-08-05 09:54:55
113|8938|2003-05-22 04:37:29
113|8567|2002-06-27 18:43:46
114|2826|1973-01-04 16:06:56
114|2684|1999-03-15 08:43:13
114|5500|1985-07-21 10:12:09
114|3688|1977-04-28 16:48:17
114|4532|1962-08-30 09:36:34
114|3606|1976-09-18 14:06:59
115|1556|1998-06-29 00:29:10
115|1010|2005-05-09 19:31:07
115|7055|1975-09-03 17:08:30
115|9231|2008-01-01 12:22:16
115|4934|1977-10-21 17:17:40
28|3547|1974-02-01 22:11:13
116|1577|1977-02-16 18:47:28
116|3409|1987-02-10 18:14:51
116|2200|2006-04-28 10:49:44
117|9426|1993-02-05 07:51:59
118|946|1996-12-22 18:08:45
70|8773|1984-04-16 07:40:56
118|4667|1961-11-18 23:13:12
118|8977|1968-06-08 17:38:31
118|5036|1999-06-07 15:52:23
119|7484|2005-11-23 16:05:56
119|3204|1967-07-21 00:26:59
119|9286|2007-03-17 01:59:59
119|7630|1987-01-01 15:56:50
119|6354|1991-08-12 14:40:03
120|6292|1994-09-06 00:42:20
120|6532|1967-02-02 17:06:22
120|5376|1987-08-17 14:43:50
120|2039|1984-04-11 21:14:56
120|41|1963-12-16 08:33:57
121|354|1980-06-04 08:06:37
121|8924|1976-12-10 01:40:15
121|3779|1976-12-31 08:37:06
121|3377|1999-02-05 19:07:40
121|9803|1966-01-23 13:54:17
121|6148|2005-06-09 09:19:44
121|5838|1968-04-15 04:23:04
121|5911|1962-11-15 06:21:38
55|9318|1978-02-06 07:12:34
121|4631|1973-05-08 07:33:18
122|8516|1986-09-10 23:04:57
122|4722|1963-01-27 22:58:20
122|4577|1992-09-23 09:12:07
122|5374|2004-06-12 05:52:21
123|964|1985-06-12 10:53:40
123|4076|1992-12-31 10:40:46
123|7552|1979-06-13 20:40:53
123|9941|2002-05-18 21:22:45
46|489|1988-11-26 16:55:13
123|5783|2004-07-22 23:00:01
123|5656|1985-09-19 04:34:57
124|8426|1983-01-22 08:29:23
124|127|1974-12-28 03:54:17
124|5426|1995-08-21 11:56:55
124|1696|1970-12-06 20:25:47
124|6230|1969-08-21 08:48:12
124|8175|1992-11-27 16:53:57
124|6311|2001-10-03 09:57:16
124|6448|1960-04-09 06:31:40
125|1090|1969-08-23 05:38:33
125|9857|1962-11-15 20:37:14
125|6885|1991-12-14 19:54:12
125|1123|2002-08-28 22:10:15
116|1929|1994-04-20 04:07:31
125|3701|2002-07-18 22:34:21
126|8170|1994-10-01 05:04:43
126|9243|1976-08-12 01:54:52
126|4369|1965-07-12 18:02:57
126|7172|1992-08-01 04:35:07
126|8360|1968-09-14 21:52:57
31|1726|1968-10-20 03:09:23
126|6595|2002-04-08 13:02:43
126|4851|1968-05-01 04:37:06
126|9751|1998-03-14 10:56:21
126|4971|1975-01-02 13:31:53
127|3355|1970-09-09 21:23:13
127|6756|1984-02-23 12:31:01
127|3410|1990-10-11 18:43:42
127|5133|1974-04-04 03:55:40
127|9060|1971-01-23 06:05:25
128|2229|1977-09-05 10:11:42
128|6446|2005-12-20 04:18:13
128|6827|1982-02-07 02:47:12
128|6512|1963-11-20 12:20:46
128|7647|2000-08-04 20:02:10
128|873|2006-04-17 18:18:44
128|5492|1966-08-23 22:36:42
128|3572|1979-09-15 17:53:07
128|3487|2006-01-25 18:36:56
129|6860|1969-01-21 04:02:16
130|7185|2007-06-25 19:24:53
130|5554|1960-01-20 19:25:19
130|6723|1974-06-30 00:08:12
130|6085|1997-02-20 04:03:57
130|4453|2001-03-30 02:04:27
130|1605|2006-12-26 15:18:25
131|365|1972-07-28 17:05:59
131|2398|1986-01-05 08:03:57
131|8293|1961-12-18 07:36:17
72|5584|1996-01-18 05:16:28
132|7021|1963-12-29 20:00:49
25|8781|1961-07-03 01:39:40
132|7975|1965-11-25 19:28:47
132|4159|1970-08-20 12:17:03
133|3386|1967-03-31 13:43:14
134|291|1975-10-10 03:20:43
134|1852|2008-07-08 15:13:33
134|7075|1976-03-06 09:19:02
134|7306|1999-09-05 18:30:37
33|5006|1986-09-03 17:51:39
135|6517|1998-02-12 15:35:02
135|1008|1980-08-15 10:14:19
135|7865|1989-06-03 21:40:38
135|351|1963-02-27 06:37:05
0|2886|1960-12-25 00:36:09
135|9355|1989-01-28 13:30:57
135|8052|1999-02-03 01:05:55
16|8816|1989-06-09 22:56:24
136|6366|2006-02-09 12:57:05
136|432|1990-12-03 08:58:02
136|5241|1976-04-15 00:32:59
136|4561|1971-11-02 08:55:51
51|2213|1985-12-15 02:54:53
137|2249|1982-11-06 03:11:08
137|3768|1965-07-22 15:19:54
137|8553|1983-08-14 15:59:51
137|4450|1980-08-02 16:05:49
137|2831|1967-12-16 01:06:07
137|4273|1968-01-03 13:19:39
2|4724|2007-06-02 05:29:14
137|2763|1993-08-12 06:00:56
138|5483|2001-09-08 04:39:33
138|7730|1977-07-11 20:35:06
139|3068|1970-11-16 03:06:54
139|8044|1960-05-13 10:39:11
139|7883|1975-05-26 22:59:42
139|6649|1966-05-22 22:47:49
140|4037|1964-06-06 16:10:27
140|2586|1995-12-10 10:53:55
140|8004|1994-01-24 07:31:08
141|8186|2004-12-09 02:09:31
141|827|2001-08-24 00:29:01
141|6348|1988-11-03 12:36:17
141|4616|2004-01-18 02:17:08
142|383|1989-05-04 12:40:35
52|6941|1963-01-16 19:59:04
142|9759|2008-07-19 18:23:39
96|8134|1987-04-28 17:09:11
142|8306|1961-07-04 17:08:06
142|9189|1963-08-03 00:48:20
143|5811|2002-09-19 08:43:04
143|673|1980-09-26 16:36:22
70|779|2001-03-23 22:55:44
143|1040|1987-04-04 18:06:25
143|8903|1984-05-24 08:05:49
144|2858|1983-07-31 10:49:57
144|9054|2007-09-17 05:56:39
144|6791|1988-06-06 12:16:19
144|2476|1968-02-24 07:26:12
144|7176|1975-09-11 11:06:26
144|5513|2007-09-26 19:12:17
145|8357|1980-01-16 10:49:54
145|2955|1994-12-21 08:17:58
145|9709|2002-12-28 06:22:11
146|9895|1996-07-11 11:17:56
146|189|2002-01-20 21:15:01
146|9708|2003-08-28 18:34:58
146|5586|1986-07-19 03:38:34
146|4516|1968-02-24 18:26:08
147|1613|1993-09-20 18:39:51
147|3553|1976-08-12 21:07:58
147|8558|1997-10-19 02:07:32
147|1826|1970-08-08 04:12:37
147|4116|1991-03-06 09:47:57
147|4063|1995-03-01 16:41:43
148|2885|1995-10-05 02:04:46
148|1555|2005-06-13 04:02:17
75|7654|1990-04-23 13:27:23
148|8137|1980-08-11 15:43:33
148|3242|2006-06-06 11:45:48
149|3842|1968-02-12 11:09:14
149|8469|1982-04-12 20:19:40
138|9665|1977-08-17 19:37:13
149|1239|1989-11-13 12:26:35
36|7400|1982-07-29 11:47:39
149|9917|1972-07-10 09:52:56
149|6890|1961-09-22 04:07:18
134|9439|1968-11-04 04:12:53
149|2273|2000-09-02 12:23:51
150|1233|1999-01-05 16:33:39
150|8492|1984-03-29 11:10:19
150|3240|1987-01-22 09:32:40
121|9680|1974-10-26 20:59:56
143|8825|1960-09-03 21:47:44
150|3005|2001-02-14 07:13:49
150|6794|2005-12-12 20:18:10
150|2096|2000-07-29 21:59:16
151|3224|1962-03-13 00:00:03
152|7302|2003-06-14 14:48:17
152|1999|1989-06-15 16:47:04
153|7640|1976-11-29 07:52:39
153|7477|1989-06-13 13:30:17
153|685|1990-06-06 14:49:57
153|4989|1991-05-14 20:22:17
153|9459|2008-07-17 10:16:34
129|686|1961-04-17 21:20:15
153|1883|1976-05-12 02:44:04
153|4355|1977-10-31 17:52:37
90|8001|1990-05-25 05:12:04
153|8883|1999-03-26 11:08:42
144|180|1963-11-18 10:33:07
153|2979|2001-03-27 03:55:35
154|3486|1978-05-07 12:18:57
154|4127|1965-11-12 16:34:36
154|300|2005-04-05 08:34:56
155|9835|1961-08-26 16:09:46
155|3035|1983-09-07 00:13:26
155|1269|2006-01-17 06:21:10
155|3551|1996-04-15 03:01:31
156|1468|1962-05-03 04:51:07
131|6208|1975-03-19 23:59:39
156|3658|2002-10-09 03:37:49
156|9093|1991-06-07 09:40:29
156|4874|1974-03-30 01:17:56
156|1989|1985-01-01 11:47:38
156|6216|1971-05-22 06:34:17
156|8510|2008-04-27 11:05:42
157|3471|1973-03-31 17:44:44
157|6916|1971-02-14 14:24:03
157|5019|1998-08-18 07:00:58
157|3163|1996-11-12 06:30:55
157|5171|1982-04-26 08:53:17
106|5237|1980-10-29 10:55:44
157|7163|1964-09-01 20:01:21
157|1939|1998-06-01 22:03:04
157|6587|1960-08-22 12:54:51
1|3874|1995-01-11 09:03:52
157|5111|1987-05-11 16:31:10
158|4969|1969-05-14 16:50:25
