Person|Company|workFrom
144|8|2003
146|6|2000
146|5|1977
147|0|1969
148|9|2003
148|8|1998
149|0|1996
150|5|1976
150|9|2004
152|6|1988
152|8|1973
153|8|1984
154|8|1972
155|6|1977
156|0|1983
156|6|2001
14|9|2007
157|5|1985
157|8|1996
158|0|1984
160|5|1995
160|1|1987
166|6|1987
166|0|1999
169|5|1969
169|0|1971
171|5|1967
171|1|1975
172|11|1978
173|11|2006
173|1|1966
174|0|1967
177|6|1987
177|0|1992
177|11|1975
178|0|1969
179|6|1961
180|0|1970
180|6|1964
181|1|2007
183|9|2004
185|8|1996
188|1|1964
189|11|2002
190|5|2003
190|11|1969
190|8|1991
190|6|1973
190|1|1966
191|8|1975
191|5|1965
191|0|2002
193|11|1972
193|6|2005
194|1|2006
195|1|1996
195|8|2002
197|5|1972
199|9|2004
199|8|2007
200|5|1984
200|3|1972
200|11|1985
200|9|1967
203|11|2005
203|6|2000
203|1|1994
204|8|1989
206|0|1991
208|9|1999
209|0|1993
209|1|1999
210|0|2000
210|3|1999
211|9|1968
211|6|1964
212|6|1966
213|6|1981
213|3|2006
215|9|2005
215|11|2006
217|3|1978
218|6|2007
218|8|1966
218|9|1967
220|8|1990
220|0|2007
221|9|1980
221|8|1967
221|2|1995
221|0|1975
224|5|1962
224|0|1992
226|1|1971
228|11|1978
229|6|1997
229|1|1974
229|0|2006
230|6|2003
230|3|1970
230|8|1997
231|9|2006
232|1|1983
233|3|1961
233|6|1995
233|11|1977
235|1|1980
235|11|2004
235|3|1985
235|9|1961
236|5|1970
238|3|1984
239|8|2007
239|11|1968
240|3|1991
241|0|1978
242|2|1960
242|0|1970
243|2|1975
243|10|1981
244|3|1974
246|5|2001
247|8|2001
247|11|1989
249|6|1982
250|0|1981
251|0|1960
251|8|1965
253|11|1993
253|8|1990
254|10|1962
256|5|1996
257|1|1974
259|2|1962
260|11|1967
260|9|1964
260|3|1981
261|11|1990
261|10|1996
262|3|1974
262|10|2000
262|5|1992
262|1|1985
262|6|1974
263|3|2005
263|10|1978
264|6|1974
264|2|1972
136|6|1979
264|1|1965
265|1|1995
267|1|1971
268|1|1989
268|11|1989
270|1|1993
272|3|1965
272|10|2001
273|10|1962
275|9|1995
278|3|1988
279|6|2001
279|1|1979
279|9|1994
281|3|1982
281|9|1983
283|6|1980
284|3|1984
284|0|1967
285|9|1960
286|6|1990
287|5|1960
288|5|1987
289|10|1970
289|11|1997
290|6|1961
291|12|1988
292|6|1983
292|8|1969
293|6|1992
295|11|2006
296|12|1961
296|6|1984
296|5|1989
297|10|1991
301|11|1964
302|0|2007
302|3|2006
303|5|2002
303|2|1999
304|5|1964
305|12|1967
305|14|1962
307|14|1997
309|6|1966
309|9|1982
310|2|2000
310|5|1983
310|14|1988
315|12|1981
316|6|1989
316|0|1960
319|0|1974
320|12|1976
321|9|2003
321|2|1996
322|2|1965
322|14|1973
323|10|1967
325|0|1968
326|10|1981
327|14|1975
328|9|1960
328|3|1963
328|14|1978
331|11|1961
332|1|1971
333|14|1994
334|0|1967
334|9|1984
335|8|1990
336|5|1999
338|6|1993
340|11|1985
340|5|1979
341|5|1991
347|5|1972
348|2|1990
348|12|1967
351|9|1990
352|5|1992
352|9|1992
353|8|1992
353|2|2004
354|2|1978
354|10|1962
356|5|2002
356|10|1975
356|8|2001
358|1|1992
359|14|1975
359|11|1976
360|1|1994
362|8|1995
362|0|1967
364|5|1969
365|2|1971
365|0|2000
366|0|1999
368|2|1960
368|8|2004
369|3|2004
370|11|1993
371|0|2003
371|3|2005
372|9|1973
372|3|1990
373|11|1983
374|11|1961
375|12|1991
375|6|1989
375|0|1973
376|1|1966
382|9|1962
384|1|2001
384|2|2001
385|14|1964
385|1|1985
386|5|1971
386|1|1963
387|3|1965
387|2|1981
388|8|2000
389|11|1983
390|12|1996
390|5|1999
104|1|1988
391|9|1961
392|5|1974
126|5|1974
392|9|1991
393|3|1967
393|1|1963
395|3|1996
397|12|2000
398|11|1996
399|2|1987
399|10|1984
400|5|1962
400|14|1979
401|6|1994
401|1|1961
404|6|1971
404|12|1982
405|3|1965
407|14|2000
407|12|1966
408|3|1963
409|9|1993
409|13|1972
410|13|1984
413|5|1988
414|5|2003
416|6|1966
416|14|2001
416|2|1985
416|12|1972
418|2|1985
419|12|1985
419|9|1968
420|3|1999
421|0|1999
423|9|1989
426|0|1988
429|12|1966
430|8|1960
431|2|1961
431|14|1976
431|6|2001
432|1|1983
433|3|1964
433|8|1964
434|14|1966
435|9|1999
436|11|2001
437|6|2006
438|6|1990
440|13|1978
440|10|1966
444|13|1990
445|2|1990
446|5|1973
447|12|1989
447|6|1966
448|2|1977
449|2|2000
450|0|1981
450|12|1975
450|10|2000
452|13|2000
454|14|1982
454|13|1998
455|9|2005
455|2|1964
455|13|1991
455|5|2004
456|12|1965
459|2|1969
460|3|1988
460|6|1982
460|14|1986
461|1|1973
461|14|1974
461|2|1988
462|10|2006
463|10|2007
463|11|2004
464|0|2000
465|11|1992
466|8|1978
467|14|1966
468|6|1961
469|3|1983
469|8|2007
470|14|1998
470|10|1990
472|14|1975
473|14|1983
473|12|2007
474|12|1999
474|2|1971
476|3|2007
477|8|1960
478|0|1990
478|10|1968
479|5|1961
480|13|2000
481|14|2006
482|8|1968
483|11|1982
483|0|1980
484|10|1965
486|8|1963
486|12|1989
486|6|1994
487|11|1979
489|2|1986
492|0|2005
492|6|1978
492|14|2001
493|11|1999
493|13|1981
494|0|1978
495|6|1971
498|2|1998
491|13|1989
498|13|1979
498|14|1991
498|0|1977
499|10|1975
500|9|1961
500|12|1975
502|8|1985
502|3|1975
505|2|2003
505|3|1979
505|11|1984
218|5|1996
508|12|2001
508|10|2002
510|3|1969
183|1|1980
510|0|1971
510|13|1998
514|11|1996
517|9|1973
517|11|1984
518|8|1981
519|10|1970
522|5|1999
523|8|1963
527|11|1994
527|10|1974
528|2|1991
528|8|2007
530|2|1990
533|0|1972
535|5|1961
538|13|1980
539|3|1993
540|9|1996
540|13|1979
544|5|1996
544|14|1979
545|8|2001
546|5|1995
547|13|1977
547|1|1980
547|6|1987
549|14|1987
550|1|2007
551|10|1960
554|1|1977
248|3|1988
556|5|1962
556|6|1993
557|0|1963
559|2|2000
560|13|1999
560|0|2003
563|0|1980
563|12|1994
563|6|1973
564|8|1980
564|12|1998
567|13|1992
569|9|1977
570|13|1990
570|0|1989
570|2|1966
570|5|2000
571|6|1971
576|8|1989
577|10|1989
578|6|1992
580|5|1966
580|14|1998
581|10|1998
582|8|1963
583|10|2006
584|14|1986
585|2|1995
585|14|2003
587|1|1997
587|11|1969
591|2|1960
592|10|1960
593|13|2003
594|10|1978
595|2|1997
595|11|1970
595|0|1988
595|8|1994
596|5|2002
596|10|1986
596|6|1986
596|3|1970
597|5|1980
597|9|2005
597|0|1970
598|3|2006
600|6|1965
600|11|1992
603|9|1984
604|5|1962
605|12|1961
605|0|1983
606|0|1980
607|8|1976
612|13|1973
612|9|1979
613|9|1991
613|2|1966
614|12|1984
614|0|1962
614|13|1967
615|5|1986
617|10|1980
618|1|1967
618|3|1982
619|8|1962
619|11|1964
620|1|1978
623|11|1968
623|0|1982
624|2|1996
625|13|1976
625|12|1976
625|9|1965
625|8|1975
627|9|1985
627|10|1962
630|8|1994
631|9|1965
634|9|1965
635|0|1976
636|10|2007
636|1|1984
636|3|1984
640|8|1962
641|2|2007
642|8|1994
642|10|2007
643|11|1977
643|10|2002
643|14|2004
643|2|1967
644|6|2005
644|14|1964
645|12|1995
646|2|1968
646|13|1983
36|1|2003
646|3|1962
649|6|2005
649|12|2007
652|3|1991
653|12|1990
654|1|1979
654|5|1990
656|9|1975
657|14|1970
658|8|2006
659|1|2000
660|8|2005
661|2|1987
663|12|1990
665|11|1965
665|14|1979
666|2|1998
668|14|1966
669|1|2006
670|10|1990
672|11|1978
673|12|1980
674|10|1967
674|12|1974
675|12|2001
675|6|1960
675|0|1963
677|8|1961
678|12|1988
682|6|1962
682|11|1969
683|5|1981
683|0|2002
684|2|1967
689|5|1960
689|6|2002
690|2|1972
691|6|1991
691|14|1993
692|2|2001
693|3|1992
693|13|1998
694|2|1988
694|6|2000
696|1|1995
696|10|1983
696|8|1970
697|1|1985
698|12|1971
700|12|1997
702|3|1971
703|13|1986
703|6|1972
704|14|1975
705|2|2007
708|0|2005
708|6|1972
711|5|1984
712|0|2001
712|3|1981
714|13|1982
714|5|1989
715|10|1985
715|11|2003
716|8|1975
718|10|2005
718|6|1977
719|13|1981
721|8|1993
722|3|1993
725|12|1991
725|6|1977
726|6|2003
727|13|2000
727|2|1990
727|14|2000
728|13|1984
728|2|2002
728|0|1973
729|8|1972
731|1|1974
731|9|1995
732|8|1968
732|2|1986
735|9|1978
737|4|1989
737|3|1986
739|8|1960
739|14|1965
741|0|1988
741|11|1971
742|5|1991
742|4|1973
742|12|1993
743|6|1962
743|1|1992
746|14|1983
747|6|1989
748|12|1980
748|14|1963
749|4|1996
751|1|1996
751|4|1976
752|0|1964
752|12|1966
519|11|1979
753|13|1992
755|13|2006
756|11|1984
758|3|1990
763|0|1963
763|12|1960
763|9|1975
765|4|2004
768|13|1969
768|14|1986
769|12|2005
769|14|1986
770|14|1975
770|2|1963
771|6|1980
771|1|1960
772|11|2007
773|13|1980
775|5|1979
775|9|1977
775|2|1973
777|12|1974
779|8|1981
779|9|1978
780|12|2002
711|3|1988
781|4|1974
785|2|1985
785|9|1963
786|2|1982
786|14|1991
787|2|1986
789|3|1997
790|2|1982
790|10|2003
790|1|1974
794|12|2000
289|1|1967
795|13|1989
797|3|1994
799|10|1995
800|0|2005
800|12|1969
801|5|1996
612|6|1974
801|12|1963
802|0|1965
803|12|1999
803|9|2004
804|14|1963
804|12|2002
806|13|1967
807|6|1986
809|3|1986
809|13|2004
810|12|1965
811|10|2003
813|12|1982
813|8|1985
19|9|1967
433|2|2002
814|11|1980
814|13|1989
814|4|1984
814|0|1977
815|5|1973
815|9|1965
815|3|1982
815|8|1964
816|2|1985
816|14|2003
816|13|1992
817|6|2003
818|0|1966
818|8|2000
818|5|1966
819|11|2005
740|8|1994
820|13|1966
820|14|1977
822|4|1981
823|3|1973
823|11|1998
823|4|1988
825|9|2002
826|3|1993
827|11|1982
827|5|1991
827|1|1997
829|2|2004
832|5|2003
834|9|1972
835|12|2003
835|0|1990
835|4|1965
836|8|2001
836|11|1999
837|4|1993
837|8|1998
837|14|1991
838|13|1969
839|0|1995
841|12|2004
843|13|1991
843|6|2001
436|9|2002
844|3|1961
845|5|1976
845|10|1985
849|6|1966
611|8|1960
851|6|1983
852|0|2000
853|8|1972
855|11|1960
856|8|1978
856|10|1980
857|6|2003
858|2|2001
859|10|2003
860|11|1963
861|6|1976
861|2|1992
778|9|1961
862|9|1996
862|2|1969
864|3|1985
864|5|1986
866|6|1991
867|14|1966
867|12|2002
867|3|1996
868|14|1973
868|8|1996
868|1|2002
868|12|1961
869|14|1984
869|9|1967
872|10|1973
873|1|1964
874|3|1993
875|3|1987
876|11|1990
877|8|1969
878|6|1983
878|4|1997
879|5|2003
569|8|1965
879|12|2003
879|1|2002
880|4|1995
880|12|1976
881|3|1979
882|8|1994
884|8|1967
886|9|1966
886|8|2002
888|12|2005
889|5|1995
889|13|1960
894|13|1966
897|10|1977
897|0|2001
898|6|1966
901|11|1999
903|12|2002
906|14|1969
906|10|1997
906|9|1996
907|14|1976
908|5|1987
910|0|1984
910|4|1975
912|4|1986
912|13|2000
915|13|1997
915|0|1976
915|4|2007
916|1|1965
183|6|1992
918|13|1977
755|0|2004
918|8|1973
919|9|1990
921|0|2003
921|9|1961
921|4|2002
923|1|1961
925|12|2003
925|0|1991
925|13|2003
925|9|1997
925|5|1967
927|4|1963
928|2|1971
928|8|1980
928|6|1992
931|13|2007
931|0|2000
931|6|1985
934|12|1980
934|9|1977
934|13|1963
935|11|1978
935|12|1977
937|12|1994
937|0|2005
939|1|2004
941|4|1979
941|9|1973
869|3|1984
943|4|1962
944|10|1994
944|4|1985
945|6|1997
945|0|1962
945|5|1975
949|6|1996
952|1|1960
301|2|2005
952|10|1978
952|2|1985
953|2|1992
733|10|1975
954|12|1981
954|4|1992
954|14|1975
954|13|1983
955|3|1985
955|13|2003
956|3|1999
957|8|2007
958|2|1983
958|14|1979
959|12|2003
960|11|1992
962|1|1976
964|14|1995
965|11|1990
965|8|2004
965|3|1980
943|5|1965
966|10|1996
966|8|1980
966|6|1989
966|0|1969
968|10|1964
968|0|1992
970|14|1975
970|2|1961
971|12|1977
972|4|2007
972|11|1970
155|0|2001
972|1|1967
972|9|1969
972|8|1970
973|12|2003
974|8|1991
974|5|1963
975|12|1974
975|5|1994
976|10|1985
977|11|1988
978|4|2003
980|1|1977
980|8|1986
981|3|1991
982|9|1986
983|3|1964
983|1|1994
984|9|2001
984|6|1985
985|2|2004
985|6|1962
986|11|1960
986|12|2002
988|14|1971
989|12|1988
989|8|1968
989|14|2004
991|1|1989
991|10|1960
543|8|1970
991|11|2005
991|12|1994
992|2|1978
993|11|1991
993|0|2002
993|14|1976
993|4|1996
995|1|1966
999|11|1977
973|14|1991
1000|2|1966
1000|8|1974
1001|8|1986
1003|1|1997
1005|10|1967
1006|4|2007
1007|0|1969
1007|1|1968
1008|0|1965
1009|8|1996
1009|14|1968
1010|3|1999
1010|11|1969
1011|0|1964
1012|13|1974
1013|3|1978
684|0|1965
1014|3|1998
1014|9|1960
1015|0|1981
1016|14|1966
1016|8|1974
1018|1|1963
1019|9|1981
1021|8|2005
1022|4|1989
1022|0|2000
216|8|1975
1023|12|1975
1024|13|2000
1025|7|1975
1026|10|1963
1028|5|1994
1028|6|1960
1030|11|1991
1030|10|1984
1031|7|1975
1031|13|2000
1031|11|2002
1032|4|1983
1032|1|1991
1033|14|1997
1034|13|2001
1034|3|1962
1035|7|1992
1036|5|1973
1037|4|2005
504|0|1994
1037|12|1998
1038|8|1989
1039|4|1982
1040|4|2007
1042|4|1996
1043|0|1960
1044|7|1981
1045|1|1980
1046|12|1977
1047|1|1976
1048|10|1974
1049|5|1965
1049|9|1987
1054|4|1998
1054|3|1969
1055|2|1968
1055|13|1992
1055|7|1990
1055|4|1983
1055|14|1989
295|12|2005
1056|1|1969
1058|9|1999
1058|10|1980
1060|10|2001
1061|6|1993
1064|2|1963
1065|0|1963
1065|14|1997
1066|4|1973
1068|5|2006
1071|2|2000
1071|6|1993
1072|11|1971
1072|9|1985
1073|4|1983
1073|6|1962
1074|13|1967
1074|0|1961
1074|14|1962
1075|10|1977
1076|4|1972
1076|12|1982
1078|5|1976
1079|3|1965
1080|13|1975
1081|2|2003
1081|7|1988
1082|8|1992
1083|3|1996
1086|3|1985
1087|14|1986
1087|12|2003
1087|6|1985
1089|3|1994
1089|1|1972
1090|3|1992
1091|2|1997
1091|7|1978
1092|1|1996
1093|9|1998
1095|14|1991
1095|13|1999
1096|10|1975
1097|10|1978
1099|8|1988
1099|11|1964
1100|10|1975
1101|6|2002
1101|8|1989
1102|7|1983
1103|13|1997
1106|0|2007
1106|5|1973
1107|0|2005
1107|11|1992
1107|1|1989
1108|0|1966
1108|13|1982
678|1|1996
1110|7|1973
1112|11|1983
1112|2|1999
1114|4|1977
1117|10|1995
1119|7|1996
1119|8|1996
1121|6|1991
1121|7|1990
1122|4|2003
1122|9|1984
1122|3|1998
1122|11|1988
1123|10|1978
1123|0|1968
1124|9|2005
1124|7|1966
1125|0|1987
1125|7|1977
328|1|1989
1127|14|1984
1127|12|1963
1128|14|1982
1128|5|2003
1128|10|1965
1130|0|2002
1130|11|1999
1131|13|1969
1132|8|2006
1132|7|1999
1133|13|1974
932|14|1961
1133|4|1961
1133|6|1980
1133|3|2007
1136|8|1976
1137|1|1963
1138|3|1995
1139|13|1992
1140|10|1970
1144|0|1977
1145|6|1982
1151|2|1976
1151|3|2003
1152|3|1980
1153|8|1987
1154|11|1994
1154|9|1998
1155|6|2006
1155|3|1991
1155|14|1976
1156|13|1982
1158|7|1968
1158|4|1974
1158|13|2005
1159|12|1976
1159|11|1997
1160|8|2007
1162|7|1984
1162|12|1973
1165|13|1989
1165|5|2001
1166|5|1974
1167|14|1981
1167|11|1980
1168|8|1961
885|4|1961
1169|11|1972
1170|11|1985
1172|3|2006
1174|11|2002
1175|4|2006
1175|13|1986
1176|6|1962
1176|0|1973
1177|6|2003
1178|12|1967
1178|0|1967
1180|2|1978
1182|11|1960
1183|1|1966
1183|9|1988
1185|4|1965
1186|6|1984
1188|3|1991
1188|5|2002
1191|12|1969
262|8|1979
1192|4|1970
1193|0|1977
1194|4|1970
1194|1|1983
1194|2|1992
1195|0|1983
1195|8|1972
1196|1|1993
1197|14|1963
1197|6|2003
1198|2|1995
1198|14|1963
1199|14|1983
1199|1|1969
1199|10|1986
1200|10|1990
1201|8|1967
1202|3|1965
1203|12|2005
1176|12|1970
1203|11|1973
1203|2|1961
1206|14|1973
1206|4|1980
1206|5|2002
1207|8|2000
1207|12|1986
1207|14|1984
1208|12|1961
1208|9|1984
1208|2|1963
1209|4|1960
1209|5|1965
1211|1|1992
1211|12|1997
1211|3|1983
1211|4|2001
1211|0|2007
318|3|1985
1211|2|1988
866|9|1963
1212|8|1987
1213|11|1976
1213|6|1993
1214|8|1983
1215|11|1968
1216|3|2001
1218|11|1962
1218|0|2003
1219|0|1983
1220|6|1982
1221|8|2004
1223|14|1998
414|12|1962
1224|13|2001
814|1|1984
1226|12|1992
1226|4|2003
667|12|1990
1227|5|1989
1231|9|1983
1233|5|2002
1237|9|1999
1237|10|1994
1238|5|1969
1238|11|1979
1239|9|2000
1239|5|1975
1240|1|1978
1010|12|2006
1241|5|1966
351|3|1964
1242|4|2003
1243|1|1991
1244|9|1982
1245|5|1995
1245|0|1991
1245|4|1985
1247|8|2001
1248|11|1963
1248|2|1974
1249|1|1989
1251|13|1965
1251|4|1986
1251|12|1991
1252|1|1975
1255|8|1992
1256|4|1968
1256|1|1986
1258|5|2004
1258|12|1979
1259|11|1970
1260|13|1966
1261|10|1960
1261|4|1991
1261|2|1997
1262|4|1984
1263|8|1980
1263|1|1973
1264|11|1973
1265|5|1993
1265|3|2004
1265|6|1995
1265|10|1961
1265|0|1981
1266|0|1964
1266|7|1968
1266|10|1963
1267|14|2002
1268|9|1969
1268|1|1997
1269|8|2000
1270|7|1976
661|1|2005
1270|6|1966
1271|9|1985
1272|7|1996
1274|9|1965
1274|13|1984
1274|4|1989
1275|1|1987
1276|4|1970
1277|12|2003
1277|0|2002
1277|4|1996
1279|5|1970
1280|1|1963
1281|0|1980
1283|7|1998
1283|1|1993
1284|3|1965
1284|11|2006
1284|4|2006
1285|2|1994
1128|4|2002
1285|14|1970
1285|6|1986
1288|1|1969
179|9|1981
1288|4|1973
1289|4|1992
347|10|1997
1291|2|2000
1291|8|1998
1293|2|1991
1293|12|1972
1294|3|1974
1295|8|2006
1296|3|1988
1297|5|1971
1298|0|1972
1298|13|1983
1298|11|1987
1301|7|1978
1303|2|1993
1303|5|1984
1304|13|1966
1304|2|1970
1304|7|1994
1304|4|1972
1305|4|1960
1305|0|1991
1308|2|1971
1308|13|1994
1308|10|1979
1308|3|2004
1309|12|2002
1309|7|1999
1310|7|1995
1310|11|2004
1312|11|1983
1312|3|1971
1318|2|1965
1323|10|2003
1323|1|1976
1325|12|1988
1325|4|2007
1327|5|1963
1327|12|2000
1327|0|1974
1328|4|2007
1330|2|1972
1331|4|2006
1333|1|1982
1334|7|1981
1334|2|1976
1335|4|1965
1335|9|1997
1335|11|2007
1336|4|1980
1337|2|1981
1314|5|1964
1337|6|1974
1338|8|1975
1338|13|1988
1338|5|2002
1341|0|1990
1342|3|1978
1342|7|1976
1343|1|1999
1344|1|2007
1346|5|1963
1346|13|1991
1347|1|1968
1348|7|1990
1349|14|1986
1349|6|2007
1351|1|1998
1353|2|1981
13|9|1972
1354|5|1985
1354|8|1994
1356|3|2006
1359|14|1972
1360|14|1991
1361|3|1977
1361|5|1972
1028|14|1988
1362|6|1992
1363|1|2002
1364|3|2005
1364|14|1979
1364|12|1996
1365|6|1979
1365|13|2002
1365|8|1991
1366|11|2001
1367|7|1994
1367|5|1979
1368|13|1992
1371|5|1963
1372|4|1963
1374|13|1993
1374|10|2002
1374|8|1982
1375|12|1993
1375|2|1992
1376|11|1979
1379|11|1986
1379|10|1979
1380|5|1970
1380|2|1970
1380|12|2005
1380|10|1968
1381|5|1985
1381|6|1968
1381|11|1963
1383|11|1996
1383|1|2006
1384|12|1964
1385|6|1967
1386|6|1977
1386|9|1992
1387|4|1982
1389|1|2002
1390|14|1991
1390|9|2002
1390|8|1963
1390|12|1963
1391|0|1980
1392|4|1975
1392|12|1977
1394|12|2003
1395|2|1990
1395|1|1974
1396|7|2004
1055|6|1996
1402|2|1961
1404|8|1978
1405|4|2001
1407|14|1977
1407|4|1961
1407|8|2001
1411|3|1979
1411|12|1974
1412|9|1986
1412|1|1965
1413|3|2003
1415|6|1978
375|9|1965
1415|7|1996
1416|13|2001
1416|10|1963
1416|4|1996
1418|9|1985
1419|0|1989
668|1|1986
1419|13|1969
1420|3|1982
1420|10|2000
1420|6|1960
1421|10|1970
1421|1|1978
1421|13|2007
1421|3|1971
1422|4|2002
1424|10|2003
1424|9|1973
1425|6|1984
1426|9|1978
1427|12|1968
1428|10|1993
1429|7|1994
319|3|1985
1430|5|1975
1206|11|1960
1431|4|1964
1431|2|1978
1432|8|2006
1432|12|1998
1432|5|2004
1434|10|1988
1434|7|1978
1434|3|1966
1436|10|1961
1437|13|1989
560|8|1979
1438|2|1979
711|1|1965
1438|4|1970
1440|1|2005
1440|2|1962
1440|3|1984
1443|4|1987
1445|0|1980
1445|6|2003
1446|0|1962
1447|5|1975
1448|1|1974
1448|4|1989
1448|8|1978
1448|11|1978
1449|11|1996
1449|9|1962
1450|11|1990
1450|10|2001
1450|2|1994
1451|4|1975
1452|4|1974
1455|3|1966
1456|10|1985
1456|4|2003
1456|14|1964
1456|2|2002
1457|10|1962
1458|1|1973
1459|1|2006
1459|13|1969
1459|6|1980
1461|2|1997
1461|13|1994
1463|1|1977
1463|14|1971
1464|0|1973
1468|9|1968
1469|13|2006
1470|7|1960
1471|13|1981
1473|8|1999
1474|13|1988
1474|1|2004
1475|12|1990
1475|0|1998
1475|11|1993
1478|8|1990
1479|9|1963
1479|12|1985
1480|11|1986
1482|3|1985
1482|1|1988
1483|12|1983
1483|7|1991
1484|1|1980
91|6|1971
1484|12|2001
1486|3|1986
1487|11|2003
1487|10|1996
1488|14|1960
1488|12|1981
1489|11|2003
1490|2|1961
1493|1|1964
1493|14|1979
1495|5|2005
1495|12|1994
1498|13|1984
1498|14|1971
1500|10|2001
1501|10|1992
1501|6|1994
1501|13|1962
1503|9|1970
1503|6|1970
1504|13|1985
1504|14|1990
1504|3|1973
1504|6|1962
1504|1|1973
1505|9|1960
1505|13|1988
1505|14|1968
1408|7|1974
1506|10|2007
1508|5|1975
1509|6|1969
1509|0|1974
1510|14|1967
264|9|1985
1302|11|1983
1511|0|1982
1511|1|1975
1356|10|2003
1511|7|1979
1511|5|1992
1514|11|1992
1514|4|1978
1514|10|2000
1515|8|1973
1515|4|1984
1516|10|1994
1517|4|1975
1517|11|1990
1519|11|1987
1357|5|1963
1520|5|2006
1521|4|1987
1523|12|2001
1524|12|2007
1524|14|1975
1524|4|1994
1524|7|2006
1524|0|1966
1525|11|1969
1525|14|1961
1526|3|2002
637|0|1978
1527|7|1986
424|12|1980
1528|10|1977
1529|4|1964
502|11|1989
1530|10|1978
1531|3|1987
1532|8|1982
1533|2|1965
1534|8|2005
1534|10|1964
1535|11|1981
1535|9|1990
1536|10|1979
1537|10|1982
842|1|2002
1538|2|1995
985|4|1989
1539|2|2004
1541|14|2005
1542|13|1999
1542|0|1978
1542|9|1972
1542|11|2006
1543|6|2002
1543|14|2003
1544|5|1991
1544|10|1962
1544|14|1986
1545|13|2001
1547|2|1997
219|9|1976
1547|12|2004
1547|1|1961
1549|9|2007
1549|3|2005
1550|13|1977
1550|3|1968
1551|14|1974
1551|0|1967
1552|3|2004
1553|5|2006
1553|9|1981
1553|3|2001
1556|10|1965
1557|12|1977
1557|13|1980
1558|14|1989
1558|13|1983
1558|2|1963
1559|4|1992
1560|7|1979
1561|7|1986
1562|6|1992
1564|11|2001
1568|12|2002
1570|6|1962
1570|11|1974
1572|3|1971
1573|9|1991
1573|6|1980
1574|6|1982
1575|13|1979
1577|1|1993
1578|5|1991
854|14|1978
1190|2|1966
1579|0|1974
817|4|1990
1581|10|1961
415|5|1969
1581|4|1968
1581|6|1977
1584|4|1991
1585|0|1988
1585|3|1989
1587|0|1996
1589|6|1972
1590|2|1962
1590|5|1989
1591|8|2003
1591|9|1980
1592|5|1992
1594|10|1970
208|1|1975
1594|5|1993
1594|4|2003
1595|8|1983
47|1|1995
1596|1|2000
1596|4|1977
1596|10|1996
1596|12|1992
1597|0|1985
1598|13|2007
1598|4|1965
1599|4|1979
1599|13|1986
1599|6|1997
1600|9|1966
1208|4|1985
1601|14|1973
1601|13|1969
1603|11|1981
1603|14|1977
1603|8|1965
1604|1|2003
1605|1|1982
1606|0|1988
1608|12|1980
1609|6|1995
1610|14|1965
1612|8|2005
1612|11|2002
1614|13|1979
1615|13|1965
1616|9|1971
1617|3|1980
1617|2|1993
1618|0|1983
1618|8|1979
1619|11|1963
1620|7|2003
1621|14|1977
1621|8|1975
1621|13|1990
1621|12|1983
1621|7|1986
1623|10|1964
1623|3|1975
1623|14|1976
1625|4|1970
1626|0|1995
1626|14|1972
1627|4|1966
1629|2|1990
1631|10|1978
1078|1|1966
1632|4|1971
1632|5|1965
1633|4|1960
1633|8|1989
1634|12|1969
1634|1|1966
1634|9|2003
1635|7|1983
