Post|Person
1964|5715
14064|7106
14084|1771
14097|7033
14173|4997
14203|9702
14218|1277
14233|3736
14239|7310
14354|3509
14362|9350
14423|7964
14456|46
14471|4583
14559|396
14566|9193
4063|6422
10132|3072
14568|214
14584|4871
10329|7567
14661|9885
14665|8397
14673|5357
12414|2544
14684|9724
14753|4445
14755|3428
14756|3335
14778|2675
5253|5793
14789|7290
14808|2808
14841|7042
14841|1844
14872|4713
14893|510
14907|188
8691|937
14951|7228
14952|511
15014|7775
15017|4345
15021|6613
1172|1050
15024|4447
15028|7139
15050|9054
15065|5641
15070|5204
15083|2386
15095|7330
15105|5813
15137|2276
1255|2582
15161|2146
11204|8917
15196|7191
15233|1878
15333|2745
15369|3566
15393|4301
15412|8503
15482|9824
15503|4952
15536|7010
3442|318
15586|8204
7031|5975
15600|18
15602|1077
15615|1309
15631|8024
15638|4468
15689|3724
15722|785
15732|4733
15798|4418
15833|9731
9205|9298
15848|2485
15854|1939
15891|6610
15920|7678
15936|5948
15938|521
15997|366
16018|5797
16057|2727
16134|9488
15553|586
16135|2429
16174|9156
16182|3203
16204|5928
16220|6405
16247|8786
16266|5271
16277|8753
16300|3711
16363|4142
16368|944
16375|6263
16382|4463
16396|402
16420|8815
16431|8632
16456|8971
16465|7554
16472|4710
16475|6199
16518|8830
4927|8317
16520|1982
16531|2746
16554|8476
16558|9927
11465|6981
16581|2935
16594|125
16608|3764
16631|2861
16672|8333
16673|1855
2949|9334
16680|4103
16700|6545
16757|1125
16758|5207
16801|9884
16806|8392
16864|3468
16875|6189
16930|5665
16943|1491
17006|6988
17027|8431
17070|2282
17108|4743
17141|7262
7829|9008
17142|3846
17152|8010
17181|3840
17240|717
6468|9938
17266|8551
17294|9223
17302|4939
17335|1115
17361|4844
1704|6969
17369|4683
17372|6005
17374|2894
1358|7649
17430|6091
17431|6011
17432|3781
17494|4171
17529|2010
17573|1325
17578|9398
17592|3967
17618|6431
16111|3916
17646|8582
17651|6154
17668|9584
17711|9315
17741|514
17765|9380
17793|8977
17807|6123
17813|8149
17826|5303
17829|6462
17948|4950
17954|6322
17974|6408
17978|9711
17205|5969
17981|4694
17983|459
17992|999
18006|8140
18007|4594
18020|430
18024|9397
18035|7326
18067|2849
18131|5834
18198|7445
18220|5047
10222|3267
16277|1598
18272|8054
973|9389
18298|4053
18305|6722
18321|1180
18328|5201
18119|893
18334|298
18344|7463
18392|5878
18393|3269
18399|544
18426|1232
7238|7944
18446|7647
18449|1018
8130|2681
18467|3522
18602|3379
18611|7685
18614|7650
18621|8951
18628|5152
18673|1755
18722|4472
18790|5390
18811|2173
18870|2510
18934|4721
18977|9614
19006|2778
19015|5244
19029|1261
19058|9226
19097|9319
19116|1830
19131|7962
19139|5104
19145|4327
19173|9458
19178|1873
19235|8677
19266|9231
19277|611
19380|3437
19381|5488
19389|4790
19411|5730
19417|5416
3733|8507
19477|8275
19493|6433
19509|1629
19531|9859
19540|4125
19546|9671
19547|8100
19577|3093
19587|6158
19590|5268
19609|5433
19637|1260
19675|6016
19682|2284
19715|4811
19721|7986
19724|706
10242|1150
19727|8688
7731|9457
19750|5428
19786|3931
19826|9437
19867|6577
19878|7586
19885|7885
6343|5465
19915|6570
19927|8711
19928|9402
19948|7839
19973|4152
11936|2145
19979|9645
16787|1572
19985|2442
20012|4671
20016|3112
20023|4034
20033|20
17226|1329
20040|3930
20044|5695
15512|2964
20065|4566
20083|5725
20126|7022
20126|7934
20130|5405
20141|4421
20144|4799
20150|9316
20164|7513
20178|2464
20183|6626
20226|6090
14082|2409
20232|6615
6937|2287
20234|7953
20249|6857
20255|2229
20304|3949
20313|63
1706|8811
20350|9588
20379|969
20391|9756
20411|6282
20442|1391
20448|343
20464|8580
20468|6217
20491|948
14860|8247
20509|7903
20510|3194
20525|8996
20540|5317
20545|8516
20567|2315
443|5094
20568|2580
20573|5721
20583|3027
20584|6336
20589|4018
20595|4383
20619|9427
6316|2928
19995|7758
20634|2408
20636|9139
20658|9453
20674|2144
20689|8073
20714|3875
20737|4897
14220|4440
20757|6172
20776|7414
20777|1720
20803|2750
11907|3657
20844|5137
18747|5458
20872|3081
20913|9064
20915|6719
20923|9333
20932|3127
20942|1371
2001|2140
20944|3824
21034|8483
21050|8613
5916|5122
21072|5986
21117|8857
21163|3797
21169|7593
2096|4076
13799|3130
21241|5599
21294|5553
21295|9124
21349|6069
21392|6466
21393|2800
21423|1545
7465|8923
21427|4714
21455|4523
21470|9555
12948|1615
21508|6440
21509|9854
21558|1231
21677|3010
21689|5480
21729|1307
21796|5485
654|6645
13005|4768
21847|6838
21859|1365
21881|3802
21891|3932
18192|2486
21895|3128
21935|4789
21942|25
21982|9366
22003|7219
7135|3450
22013|9698
22045|407
22058|6169
8169|8919
22082|6912
22087|621
22112|5296
22115|9274
22145|4145
22163|6779
22165|6986
22185|7604
22224|8557
22241|2200
22256|3232
22269|6221
22272|9896
22294|2423
22295|1630
2649|3317
4289|2794
22363|6870
7502|5661
22412|4158
22435|3016
22449|338
22455|9201
22462|5711
22523|8981
22581|3029
22584|8365
22650|95
22710|1434
22794|8391
22800|3901
22805|9990
22805|4214
22872|1811
22875|6840
22914|1732
1065|436
22924|6125
22952|5211
22973|9312
13298|2328
23023|1324
23135|3855
23149|2621
23162|5726
13487|7837
23175|6241
23188|6003
23207|597
23211|6541
23225|6315
23234|7873
23249|5783
23259|3534
23299|3707
23300|9431
10151|2552
23395|4499
4273|7179
17466|3476
23406|142
23426|8303
23433|1198
23441|1518
23460|7529
23494|8496
23496|760
23550|4565
23559|8328
18548|4258
23560|7333
23570|8872
23576|4184
23580|1684
23583|1907
23585|1393
23627|5736
15206|4047
23662|5385
5096|363
14137|6124
23665|2731
17365|5221
23685|3423
23686|7351
3196|4628
23699|6416
23705|6543
2307|9120
23707|7545
23771|1887
23822|3067
23834|9429
4336|806
23846|5372
23856|7498
23857|3336
23873|5397
23889|6308
8026|3649
23940|6800
23952|420
23991|7170
24039|4696
24060|3883
24133|5999
7125|7117
21737|9485
24139|602
15467|6913
24165|9267
24169|8892
24179|7707
24199|8215
24231|8894
12484|9790
24247|3914
24269|1084
24269|3152
20773|8914
23072|4257
24288|4505
24289|5694
24324|7830
19359|793
24332|8118
24335|7648
24350|2704
24364|2649
24390|3772
24392|5089
24420|9583
13544|3338
24421|520
24455|2888
24456|8509
20300|1330
24477|1405
24483|901
24506|8622
3124|8527
24515|5818
24528|4392
24575|5107
24599|9378
24620|2272
24622|2957
24662|2688
24687|9866
24693|2197
24718|4916
1767|4547
24745|1581
24745|5161
24780|632
8579|8117
24820|4332
24822|9723
24822|8534
24830|3182
24915|641
24931|4545
24947|7218
24955|4168
24968|112
24980|7367
24988|3095
25007|3114
25012|7267
25051|8288
25103|8599
25111|3595
7409|4561
25204|8916
25239|4920
25288|5508
25302|1936
25371|4058
25371|9246
25375|594
25381|37
7401|9383
25415|6568
25420|9161
25427|2803
6969|3101
25445|1515
25447|1489
25455|5331
25489|3225
21046|2596
25508|9179
25529|863
20073|3974
25573|4007
25582|2062
25634|6679
25636|9324
25661|5442
25745|8549
25751|1561
25762|918
25771|9205
11319|8845
25800|2172
25809|1565
25810|7907
3249|5143
25826|9937
13317|2148
25848|933
25859|8991
11847|6649
25903|6043
25908|9581
25922|3397
25926|9658
25927|9195
25929|776
25940|9309
25961|2987
25990|448
25990|1820
26000|3918
26008|3259
26071|5852
10399|9936
26096|4928
4382|7298
26147|6906
26187|9062
15482|3283
26204|8349
15142|5830
26257|8217
26259|6514
26271|7751
26274|2330
18715|7317
26285|4726
26307|8396
16845|8890
26367|7524
26377|2692
26388|3271
26391|2275
26419|2169
26468|7635
16144|3879
26473|8187
26491|4533
26511|2515
26515|7258
3664|1971
26562|3979
26578|3077
19410|1388
26610|787
26633|8585
26638|6075
26641|7077
26644|1813
6864|6233
26668|1799
26681|4150
26720|8441
11018|8194
26735|3558
25445|5519
26775|9834
26804|7217
26823|4541
26832|4031
4716|7281
9222|6479
26869|8099
26881|8505
26935|2199
20005|9679
26959|7812
1942|4821
27017|6455
27039|6971
12826|1946
27049|696
27062|7436
27080|7969
27081|9290
17918|7242
27082|8607
20984|6961
27094|5457
11906|8791
27133|598
27195|2268
27204|7921
27206|8487
3714|6896
19690|5212
27208|7869
27219|4968
27219|7798
27262|9056
27277|2690
3938|4991
27285|2830
7859|4638
27311|7146
11548|3841
27335|4199
27348|8335
3044|17
27375|5237
27376|2219
27381|6185
11313|2897
27435|3051
27442|724
27463|28
27466|3722
13964|1213
27474|6930
27479|9818
5534|8884
27504|9991
16191|9273
27521|7686
27534|5970
27553|6635
27590|5692
2647|518
27593|1823
27607|8710
27640|4684
27647|6508
27697|3592
27702|2896
27707|2943
9927|7541
27712|2714
27734|2821
12485|9957
27770|8160
27773|824
27781|5911
27813|5225
27829|3659
27843|4239
27844|7066
25073|7213
27870|7221
27913|2400
12423|6595
27943|604
7123|7092
27951|2503
27958|5621
28025|453
28037|4410
9648|8535
28109|7040
1877|6044
22469|6794
27813|1354
28115|5262
28135|8340
28149|2939
28165|7811
16856|5920
28180|3419
28200|869
10339|2532
28201|3992
1591|1537
28211|6606
25279|4402
28221|8626
28274|3811
28298|7109
7424|4116
28330|2235
28344|1690
10465|6346
28362|3893
28372|4485
28383|685
28415|625
28452|9462
4416|8759
28487|9503
28540|7547
28606|5316
28620|2506
28640|5716
28647|5789
28650|3526
28669|6943
28695|6951
28710|5837
28736|5446
28754|5313
28761|6073
28790|5468
2462|6113
8120|2393
28791|5068
28816|4556
24321|2109
28862|4777
28862|9121
28920|5088
28938|5686
235|192
28946|8603
28951|9178
28953|5593
29012|7550
29027|486
29034|1086
16973|3189
29063|2661
29073|4722
29088|7669
29089|1165
29109|5823
29114|6871
29133|3856
29166|8774
29178|5367
29187|9145
29216|9302
29248|7297
27455|30
29252|5409
29257|7820
29261|568
29267|7046
29279|4895
29283|6567
18711|8929
29288|1134
29303|9712
29306|9749
29323|3969
29355|9926
29399|5543
29408|7753
29437|3387
17005|552
29439|7301
29440|8915
9268|8836
29449|4830
20847|5912
29460|6600
29483|472
29510|930
29517|4757
29537|7481
29538|6147
9350|4422
29539|3293
29548|2346
29550|6357
4843|179
29621|2025
29630|2361
29649|5081
29652|2717
29653|1997
29663|3442
17208|0
29677|8388
29681|7919
23899|9598
29686|1257
29687|6706
29690|9754
29709|9483
29770|2547
29781|5135
29803|6488
29810|3575
29810|8591
29883|7041
29936|3988
30010|3819
13152|61
30025|4287
15043|2824
30035|4907
30038|3938
30061|9865
30066|1600
30073|457
30093|6926
30125|8926
30132|9589
30153|3771
30162|6399
30229|5383
30236|3105
9028|9368
30242|1881
30278|7011
1331|6608
30287|2205
30290|9029
30329|3230
30333|3256
30338|5011
30345|3935
16921|8832
28343|8592
30393|4079
30396|5945
30423|5353
30429|1775
30456|8236
30459|7045
30502|488
30553|9793
30561|2548
2201|1795
24613|1550
30575|9686
30583|894
28135|2369
30597|7500
30603|4690
30608|5469
30618|3658
30669|2841
4713|5899
30676|5704
30704|5289
30721|7210
30735|6968
4854|6353
30735|8750
30805|2463
30810|4616
30846|469
30883|8518
30894|3627
4892|5327
30940|707
30995|7442
31016|5647
31063|4064
31121|1158
31150|2012
31155|6085
31164|1875
31184|5933
5317|4346
31197|1756
31203|3396
31247|3839
31259|7359
29754|8367
31331|839
6365|3342
31404|3552
31406|9782
31416|5820
31450|3493
31500|792
31508|2612
31547|2230
31566|4249
31587|5956
31601|4659
31657|7188
4815|4634
31664|6726
19629|5324
31664|9627
31689|237
1461|4179
2291|2501
31690|9382
31700|9902
24027|909
31706|7854
31712|4229
24846|3281
31721|5120
27016|2170
31728|443
31731|4334
16053|3270
31745|3046
4740|2732
20743|170
31763|2334
31776|5186
31779|68
31829|1447
31844|8878
31872|4062
31877|987
31883|3299
31887|8859
31898|6790
31939|9591
16357|8067
31941|9168
31963|6846
31965|9016
31987|8784
7279|8528
32000|392
31556|3579
32045|1183
32050|274
32080|950
32121|517
32124|2489
32133|5717
18163|2970
32172|1386
15998|7815
28757|4563
32209|5050
26361|3928
32256|8573
32266|180
24604|5273
32276|2759
32292|8980
32293|8167
942|4387
17975|331
32418|5287
32425|5412
32426|7849
19090|5646
32448|5689
29230|3852
32463|8530
32473|4084
32496|3206
32535|3368
32594|1701
3853|6363
9645|6678
32605|7295
18249|5200
32609|22
32673|7557
32710|2000
26308|5278
32710|7631
32717|7276
32740|6210
32761|1859
32762|7353
28404|4969
32776|7868
32284|7792
32787|8874
13737|8312
32819|3462
32911|2391
32923|4584
21619|9479
32952|9230
32953|9113
32983|3265
32997|3632
33003|7322
10985|1263
19449|2698
33078|7773
32713|2736
33088|3869
33096|1675
20097|4264
33125|4590
33140|9747
33147|2951
33202|9928
25046|210
25736|5306
33230|3372
33276|5463
33280|7582
33295|8939
20163|993
33318|4275
17266|7972
33331|1001
33347|6934
30235|3849
33369|5323
33374|3031
21879|9359
33385|5356
20553|9889
33413|5605
27735|6559
33415|9266
33424|5720
29122|1815
33434|6496
33462|2136
17873|749
27081|1711
33470|9597
4699|3116
33478|831
20207|567
33498|5749
33542|9188
8562|9845
33575|7560
33592|9477
33597|6264
33605|1041
33649|3486
33668|5960
29539|7450
33704|397
33713|2804
29534|230
33719|1934
33727|5963
27805|7724
33750|6220
26319|1190
33784|8371
33807|242
33814|5531
33814|7434
33828|3629
19298|5482
33831|6031
13619|5954
33843|9979
6829|7402
33844|2117
33849|5520
25496|6155
26378|6102
32493|599
33852|2629
33876|1483
31920|6861
33892|8161
740|1114
16125|6893
33897|6175
33917|293
33926|5953
30798|7876
34003|9100
34085|5388
600|8357
34110|359
34117|191
34118|4552
34142|4606
5247|6002
34177|6190
34226|4243
24746|8525
34231|9693
34265|857
34286|7858
34295|9644
7575|7094
34297|9929
34313|5740
34316|8296
34317|2749
4915|405
34357|8523
34451|3352
34451|9042
34454|6888
6407|1355
34456|1298
34462|546
34505|7951
34514|2166
34538|2475
34586|3956
34613|5197
34655|3443
34681|7948
34682|1010
34705|138
34712|5349
34722|5908
34722|9381
34756|6475
34758|3737
34762|684
34769|4820
34770|7755
34773|3026
34780|7614
11205|3923
34792|1161
34800|9010
24718|8264
34816|3475
23504|5027
34818|2327
34828|8020
12702|6084
34863|2870
34876|9898
34880|2033
34903|6928
1527|8961
34918|6300
6837|4035
34964|4851
34997|5938
35058|9533
35084|1423
35126|7519
35151|4906
35182|2748
35183|7454
35192|9822
35195|7204
1938|4342
10081|3472
35207|580
30395|1398
35253|9670
35254|9007
30297|3220
35261|2142
10685|3510
35315|7588
35323|4981
35349|663
17256|9440
35366|4134
35368|991
35386|786
35391|9351
35396|290
6776|7501
35409|4835
35436|865
4677|9417
35443|2976
35443|5105
35461|843
35464|5755
35465|2854
35470|297
35577|7496
35581|4987
35629|3444
35629|72
35631|6319
27851|189
35684|8023
35698|7169
19401|7606
35700|7374
35703|1186
35720|5214
35733|2307
35744|4915
35803|5559
35804|1835
29803|5625
35826|7813
35828|9776
35830|6437
35846|9162
35887|2699
35910|2479
12932|9983
15187|2813
35911|633
35922|4138
10990|6049
15174|7214
26327|4644
35925|173
14971|5788
35936|2914
35942|8085
6457|7765
26369|3692
35946|4752
35970|1351
33887|9519
35999|4647
36030|7074
36061|6105
11760|2535
36083|7050
36085|6584
36106|282
36127|936
36159|5589
5191|5865
36181|600
36195|8542
36200|3125
36204|2657
36205|9365
36217|7810
36220|8579
1657|8636
20503|7534
36261|2316
36281|2353
515|2070
36289|2422
36314|619
36344|2290
36370|8979
36384|6732
36391|941
36432|6052
36439|2413
36442|1442
36447|4014
36452|2652
27131|2901
36464|2278
12956|6653
36472|4934
28134|2782
36491|2079
36495|9593
28337|4368
33635|3965
36510|3894
36516|2143
36535|2524
10203|9000
36538|152
36547|5781
20221|6689
36548|3339
4014|5801
36577|7960
36608|5566
36620|6026
36631|3900
36658|5415
36690|3310
36704|4940
13873|6350
36712|1087
36712|5177
36750|8974
36756|2015
36763|3958
36770|7988
36780|2381
36787|5546
36809|6502
36835|3693
36854|5056
36866|1353
21155|4194
36878|4910
36880|5877
36886|9482
36890|9510
36929|195
36933|2530
4437|5896
36944|6765
36980|5628
37001|9048
11747|2234
37010|902
37081|866
37084|5025
37085|6995
37101|8745
37114|7012
37139|558
37159|9112
37165|4057
12792|1564
23096|5698
37184|367
1406|7048
37241|5913
30382|1558
37249|9275
7607|1463
11495|8364
37255|5112
37277|1699
37309|9469
37314|6696
37361|8224
37390|5398
37391|842
37399|9061
37429|1863
37450|4354
37452|9081
10338|1225
37462|7777
37465|3701
37497|9478
37523|3795
37540|3838
37576|5403
37581|3219
37597|470
37604|4613
37631|171
37636|1856
37645|4535
37649|8060
37711|2703
37728|8346
37777|9882
37780|3048
37805|1280
37875|7595
37898|3292
9936|5209
11164|8593
37901|9604
37924|6334
37110|2770
37971|3950
37973|4670
37983|7246
4969|4553
38005|6786
37514|9950
38014|9637
38126|2350
38153|1549
29181|5569
38157|5364
22740|2433
38158|5464
38186|111
7124|1919
38202|4864
5582|2776
38218|4577
9435|6397
38224|2056
30325|9994
38246|8375
32715|1810
38259|9345
6527|9070
17458|3195
38262|1176
10508|7137
38269|6224
38285|4832
38304|6110
38110|5275
38371|9131
38395|2179
38399|8668
38407|7526
12494|1458
38420|4107
38422|898
38431|1017
38464|2254
38472|6997
38477|8061
38479|2534
5755|1676
38484|7619
28572|6734
38507|3001
38529|8740
38588|9052
21852|4983
38599|2927
38631|4567
38640|1851
2214|2645
38685|8605
38687|6945
38692|2591
38700|206
38723|6593
38739|6583
38793|802
38864|4900
1|3767
11233|1978
38867|11
20458|1061
38869|752
34390|3563
38886|4330
38908|1696
38926|8704
38931|176
38956|8180
38963|5940
39023|610
39028|9430
39101|8511
14312|3137
39114|7693
39116|4695
39146|2715
39149|1179
14166|6830
39168|3159
39174|9392
39176|2181
39183|753
15001|2683
38976|7807
39210|3153
39240|9077
39268|8666
39304|7793
39307|3926
39312|7656
39320|8050
39364|3868
39418|8757
39418|6108
39419|8320
39423|5883
19919|9426
39449|4480
39455|1444
12199|2650
39512|79
5693|1435
18626|1963
39516|388
39527|1394
16804|9396
39528|5128
19469|1928
39528|3328
39538|3106
39573|4548
35900|7583
39589|4625
3446|5872
16879|9941
39604|2795
39673|9353
11869|4995
39707|630
18596|6258
22674|577
39744|9243
39769|9421
12500|444
39777|8314
26900|1570
39799|675
39801|452
39805|3201
39822|5930
35667|3888
39835|5437
14692|2531
39837|7251
39871|7243
39884|7923
39892|2747
39911|5319
39966|8092
39969|985
9959|7599
24361|4643
39973|8345
39979|4560
40033|9714
4590|6435
7222|3951
40038|8457
17227|1230
40049|3355
18433|6853
40060|9550
40064|6200
15882|3655
40099|7504
40120|5893
40121|6566
40122|5354
40123|3664
40124|6115
35115|9256
40157|1893
40174|2831
40205|351
40246|9973
40255|1064
40273|5241
792|774
40286|289
3492|1453
40295|1847
36264|7462
40325|5676
8852|6239
40353|9694
40384|7274
22491|123
40406|6314
40418|9779
40430|3349
23000|9505
40484|2577
40502|3962
40503|8574
40515|114
40518|1008
40525|8019
40530|2879
40540|1168
40541|8387
40542|832
40550|4215
40557|2790
40576|4074
40589|8353
11997|5966
38713|5381
40591|622
40592|8806
40668|8681
40727|5949
40729|4395
13134|7068
14533|3432
40730|5866
40734|4720
40763|1120
40795|8093
40798|7943
2574|3813
40816|4662
40836|5408
40839|3393
40878|8251
40881|9481
40900|4937
40915|811
40916|7791
40917|1535
40927|7598
40934|4531
9016|2855
40989|803
14785|7642
41000|1677
29083|722
41075|8006
41079|683
41085|7268
41108|1766
41199|8304
10984|1006
41205|1068
21384|2890
41241|4887
41273|9516
41292|6868
41293|8026
27513|399
41331|3002
4642|6489
22848|8855
41340|6424
41372|6807
41382|6473
41408|9295
41413|1234
41414|7612
41418|4331
41433|1414
28123|2135
41451|1580
41456|8588
41483|182
41501|1265
41507|1762
8893|5584
41516|4833
16841|9063
41518|9040
41520|2516
41570|6561
15604|2687
39758|8949
41594|5526
41618|1082
41644|3459
41646|5191
41650|9151
41653|8947
11138|756
31764|3546
41666|7056
18515|6533
30098|8684
41678|5545
20697|2374
30456|6362
41701|8908
28011|1578
41706|3063
17635|9672
41764|1591
41785|7623
41789|3872
15800|6537
41794|2798
41827|4221
41883|996
41923|3285
5675|6309
5714|3663
41936|929
41964|1147
41966|1995
41986|1015
8115|997
17818|5558
42043|3548
42089|9385
42096|5052
42101|938
7989|2087
42124|2348
42141|1321
42149|2614
2021|5007
42168|9293
42224|5713
26940|9258
27153|4978
42255|7627
42286|5250
