Person|Post|creationDate
82|39138|1983-10-26 07:41:39
82|53410|1984-09-26 22:45:39
83|67578|2006-07-05 22:02:51
88|27461|1960-08-23 14:24:39
89|75946|1984-03-05 07:46:59
89|57654|2008-12-11 09:41:36
90|12055|1972-08-02 23:59:15
91|10270|1982-01-28 16:17:27
91|78448|1994-02-11 17:22:04
92|53085|1970-03-01 01:28:36
92|11588|1992-09-09 15:07:42
93|41683|1977-10-20 23:25:20
94|33616|1981-06-26 04:39:39
94|17909|1966-11-16 11:04:02
95|84892|1968-10-03 18:15:30
95|82461|2003-06-06 00:40:48
95|67417|1977-09-18 11:21:51
97|94102|2006-07-22 00:48:54
98|69543|1979-12-19 12:39:20
99|35538|1976-04-28 15:10:52
101|63155|1961-02-14 13:04:05
102|95731|1989-02-04 06:24:41
103|15626|1970-07-30 20:08:23
104|58963|1981-10-02 16:43:52
106|96944|1990-08-22 09:39:38
107|50399|1991-10-12 22:25:38
107|90849|1963-10-18 06:14:45
108|80448|1964-10-26 10:32:01
109|97215|1980-01-21 09:43:03
111|69177|1978-11-17 02:37:00
112|8167|1993-09-27 08:25:52
113|60524|2005-05-03 09:10:53
119|17563|1960-02-23 12:11:58
120|19382|2000-11-04 19:24:16
120|44077|1976-09-08 04:50:47
125|21254|1969-12-21 11:22:26
125|16093|1998-07-30 10:56:10
126|43611|1980-06-30 14:33:58
127|31083|1990-02-23 07:06:04
128|82748|1962-05-15 19:44:06
130|77662|1995-12-22 19:23:17
133|23026|1966-12-09 17:55:55
134|58144|1976-08-12 17:02:13
135|5013|1989-08-15 04:25:18
135|33644|1995-01-26 04:05:51
135|52226|1977-03-01 06:52:13
136|2480|2004-09-07 03:41:28
137|1266|1998-05-23 13:37:00
138|32222|1997-09-29 10:27:25
139|95234|1963-05-12 21:22:21
140|97063|1964-06-26 04:17:55
142|57734|1991-05-09 21:17:01
143|88953|1965-07-07 01:26:18
144|64572|1965-08-15 04:35:24
144|37476|2000-12-26 00:51:23
144|11060|2000-10-09 13:46:32
144|89421|1998-08-01 07:36:37
144|38580|1971-03-24 12:49:27
145|67818|1976-11-25 10:10:37
121|80638|1993-10-15 08:31:31
145|76066|1994-08-15 13:17:12
145|9109|1994-11-16 17:20:26
146|71227|1980-08-09 23:54:49
147|52220|1998-06-24 18:32:30
147|24500|1986-03-03 22:12:23
148|27963|1967-10-15 06:18:44
148|62700|1960-11-21 14:46:04
149|8402|1989-11-05 07:45:03
150|30875|1963-09-03 01:51:25
152|19759|1961-09-04 09:30:26
154|59824|2001-07-17 15:40:28
155|45249|1984-12-31 14:45:57
155|50037|2000-03-23 03:01:52
156|11944|1992-07-13 16:56:51
156|7988|1964-10-12 10:52:16
157|82033|1970-02-10 21:31:46
158|22395|1999-09-13 12:22:19
158|36172|2001-12-18 11:48:25
163|6933|1993-01-14 04:32:36
163|13709|1989-07-31 06:06:32
148|38983|1975-08-12 09:52:24
168|28619|1995-05-17 04:27:46
172|27376|1988-06-27 23:48:11
177|29362|1996-08-08 22:59:15
178|31996|1972-07-17 21:17:09
179|93395|1994-03-19 00:58:34
179|4319|1996-05-15 06:16:34
181|75080|1983-10-05 04:50:38
181|30458|1984-01-16 05:34:40
181|43337|1996-12-28 07:17:43
181|30297|2003-01-14 12:58:03
182|38378|1985-08-22 07:37:53
183|13628|1990-12-15 11:43:08
184|3370|2001-06-09 16:39:01
185|84107|1971-09-06 11:09:29
133|99428|1974-11-15 09:42:57
186|723|1969-06-06 09:58:57
186|79134|1984-10-22 05:03:46
186|3552|1988-04-11 13:50:42
189|9516|1986-09-20 17:27:21
189|55269|1973-06-18 17:28:23
189|72985|1967-10-21 14:17:59
189|20823|1962-10-04 23:41:46
190|54159|1963-01-19 06:28:26
190|95892|1990-10-11 11:50:19
191|3443|1992-01-20 14:43:18
192|83007|1972-02-05 08:27:55
192|92818|1969-06-09 07:08:46
193|55351|1977-12-16 15:01:40
193|84378|1993-05-14 15:41:42
193|69742|1984-02-20 06:06:13
194|16980|1968-10-22 14:53:35
194|35906|1993-06-27 04:28:40
195|96396|1965-05-03 15:25:01
196|66967|1971-01-05 11:26:41
197|70592|2001-11-11 17:35:47
197|72983|1968-12-13 16:45:27
197|68551|1993-08-09 08:13:34
199|12500|2001-10-24 10:58:14
199|70655|1969-10-12 21:24:17
201|32658|1979-03-11 20:59:27
204|50305|1980-12-14 08:41:18
204|3644|1977-12-25 03:51:37
204|52056|1976-07-30 18:26:08
205|97562|1986-01-04 11:45:07
207|42443|1977-11-05 16:19:39
208|1894|1972-12-08 05:42:54
209|63144|2003-10-23 13:01:38
210|95179|2004-06-06 17:16:07
210|49928|2003-07-14 14:44:57
211|32768|1976-10-19 02:08:18
211|29289|1977-07-13 11:45:45
212|92915|1991-02-11 01:02:12
213|17179|1993-01-28 07:16:50
214|91373|1969-12-23 16:54:22
214|56544|1996-05-24 15:06:12
215|9228|1968-02-22 09:16:27
217|98044|1992-11-19 02:38:26
217|18951|1974-01-05 06:47:09
218|7017|2002-07-28 14:21:35
218|83264|1986-04-08 06:33:21
221|81534|1973-01-16 13:23:18
224|3881|1992-02-04 08:55:22
224|93081|2000-05-16 20:58:36
224|94333|2003-01-04 10:16:26
226|25717|1980-02-17 09:57:13
226|18603|1995-01-01 05:30:02
226|70125|2005-12-01 08:38:47
227|74200|1976-03-05 21:33:19
227|13848|1993-09-19 02:32:27
229|63595|1982-02-12 15:55:14
229|20355|1978-08-05 02:33:05
229|68568|1984-03-06 21:55:23
231|96998|1971-09-07 04:47:58
232|85940|1977-05-16 19:55:53
233|47536|1973-07-25 13:21:30
234|30903|1993-01-15 05:14:33
234|30648|1988-01-19 20:47:22
234|17208|2000-02-02 04:09:12
237|21619|1969-05-29 07:45:17
237|69772|1991-08-24 05:11:51
237|22265|1984-02-03 15:15:25
58|27386|1971-01-05 11:50:12
238|23714|2008-01-31 07:15:40
239|80780|1997-05-13 09:26:52
241|13137|1970-07-19 02:53:42
242|47166|1961-03-17 10:02:09
243|78797|1984-01-02 14:21:31
244|74809|2007-07-27 20:10:12
245|33773|1987-01-23 02:38:32
245|82069|2006-01-27 20:46:50
246|75003|1989-05-14 08:01:28
247|1010|1966-04-14 02:29:14
248|72965|2007-09-14 06:32:16
248|33811|1968-01-08 08:53:40
251|46212|1979-04-23 01:17:56
251|28237|1964-12-24 07:22:55
253|72204|1975-11-09 23:18:56
253|31654|1990-03-10 19:05:05
256|41465|1973-03-18 08:27:55
257|98289|1982-11-27 00:33:04
259|51796|1969-08-19 08:36:09
259|84326|2007-12-06 12:08:04
260|270|1988-07-28 13:27:47
260|86994|1971-12-30 09:52:58
261|51192|2008-10-16 04:05:49
261|58889|2002-04-20 19:14:09
262|7342|1981-02-25 16:00:55
263|48581|2000-01-21 20:53:15
263|12996|2003-01-08 19:15:46
265|76339|1969-12-01 23:41:10
266|94370|1998-03-15 03:20:48
267|31340|1979-01-10 14:24:30
268|45774|1993-12-16 16:48:59
269|62811|2008-02-16 19:21:12
269|70167|2001-07-12 16:23:58
272|38493|2005-10-14 08:46:12
274|25758|1998-12-11 22:01:08
275|51278|1969-03-28 05:50:24
275|79635|1964-10-15 22:13:45
276|99876|2003-05-19 05:07:48
276|13676|2007-12-13 04:31:42
279|42751|1996-04-21 16:03:37
280|13689|1963-06-03 15:14:25
281|68383|1974-03-30 01:50:51
284|15476|1963-12-16 19:49:03
285|26176|1989-03-13 12:05:41
286|73493|1977-11-02 02:34:55
286|2300|1961-03-12 08:38:57
287|30493|1961-03-29 05:55:11
287|32757|1962-06-06 23:33:35
288|84617|1964-03-05 22:52:57
289|27169|2000-08-10 19:25:19
290|14673|1964-06-12 02:46:47
290|18298|1973-06-17 03:14:32
293|22723|1994-07-18 22:11:37
293|54356|1966-03-27 00:19:40
293|6311|1972-10-14 13:06:34
293|46474|1993-10-15 21:07:21
294|10038|1992-01-15 08:26:28
294|89541|1991-04-29 10:02:57
296|88196|1980-05-06 08:37:08
296|26842|1981-11-24 13:37:49
296|26704|1965-01-03 17:58:05
297|76803|1998-02-09 12:02:18
297|50163|1996-09-16 21:02:11
298|55340|1983-10-21 18:48:17
298|50583|1987-03-31 18:00:03
299|27026|1996-08-09 20:32:36
299|24083|2003-09-24 09:11:18
299|23993|1985-01-23 04:20:07
301|73908|1986-07-17 17:59:56
302|79599|1968-10-26 12:34:25
302|19602|1962-08-17 16:12:45
303|37776|1961-09-28 16:02:18
303|1299|1968-10-20 02:57:02
306|62703|2002-02-09 17:38:38
308|77716|1962-11-20 04:57:59
311|63748|1977-11-04 13:45:08
313|61352|1966-09-11 14:16:14
314|4332|1968-04-11 00:35:02
314|46280|1978-09-06 09:38:51
315|10181|1973-08-06 21:38:42
315|46504|1971-10-25 11:55:36
316|98605|1972-06-03 05:06:44
316|66858|1965-05-31 16:45:48
317|42843|1989-06-18 11:43:55
321|40546|1976-04-01 15:24:30
322|9386|1972-09-23 13:54:54
323|46823|1980-05-07 18:39:54
324|33131|1998-10-18 08:09:33
326|13791|1994-07-05 21:41:36
326|16869|1964-04-14 16:05:36
329|28655|1989-07-25 00:02:50
329|44208|1971-03-25 11:23:02
329|31314|1968-04-21 23:10:46
329|603|1989-09-10 22:43:20
331|66979|2001-07-14 00:05:20
331|85800|1994-02-08 11:31:28
333|52213|1988-08-17 16:34:35
333|12541|1996-11-22 02:52:18
334|65402|1993-07-21 22:05:29
335|86602|1988-01-15 11:44:01
336|98379|1985-01-08 14:40:34
336|89945|2002-08-30 22:46:26
337|64800|2007-01-20 17:04:23
338|67013|1988-03-06 07:09:07
338|64774|1965-09-07 06:52:33
339|25462|1980-08-13 07:24:10
339|38253|1970-01-10 21:22:44
341|92982|1969-04-09 12:17:02
341|26415|1994-09-12 00:58:34
342|80782|2008-10-27 02:13:55
342|85842|1974-09-02 04:05:21
342|39760|1961-08-22 16:50:38
343|80406|1985-05-08 20:43:30
344|43739|2001-01-09 02:58:43
345|40922|2000-04-29 21:30:47
346|82754|1978-07-02 06:20:52
346|641|1983-11-05 05:44:39
346|97094|1963-04-07 10:11:13
346|34774|1972-03-21 20:27:37
347|67125|1962-07-14 06:08:27
348|37563|1980-04-10 05:04:43
348|41788|1979-06-13 21:57:48
349|5899|2007-08-23 15:07:30
350|44579|1974-03-20 14:10:48
350|45963|1981-05-04 18:49:25
350|2287|1998-10-01 22:19:14
350|5715|2004-03-03 12:27:00
351|87341|1972-01-28 18:04:37
351|80849|2000-05-25 18:02:24
352|81566|1992-02-09 23:22:26
353|65603|1986-12-03 22:59:18
355|10298|2006-09-30 17:57:33
356|81488|1992-09-23 20:58:00
358|50337|2007-03-02 10:37:47
358|37013|1985-01-02 17:16:07
360|48893|1976-01-13 23:37:25
360|45146|2002-06-04 08:43:08
360|20944|1968-04-02 11:41:35
361|61353|2000-07-27 17:42:09
362|61381|1979-07-13 05:28:22
362|76729|1973-12-03 08:51:38
363|16859|2007-02-16 11:45:30
364|20081|1969-11-17 00:19:03
365|4944|1965-04-28 03:32:41
365|64662|1981-06-13 03:22:53
368|13828|1968-10-09 17:36:10
369|47038|1984-02-28 02:58:06
369|7196|1963-12-02 15:27:08
370|79030|1981-01-11 23:42:30
372|21865|1984-10-18 06:47:56
375|54125|1983-01-23 05:50:00
378|21390|1968-04-08 18:56:57
379|66250|1986-04-08 09:02:56
379|46761|1995-11-02 08:45:50
381|29548|2005-11-10 15:01:55
382|7590|1996-02-02 04:56:56
383|426|1996-07-26 19:45:52
383|22606|1975-12-25 14:22:30
386|8246|2003-11-23 06:00:18
386|36950|2000-01-10 03:41:46
388|58306|1984-06-30 10:38:09
388|89444|1995-10-11 09:11:44
390|95111|1994-03-04 03:52:10
391|39691|1984-01-08 14:46:19
391|96699|1967-02-09 08:38:00
392|57238|2006-06-26 14:01:05
392|18163|1961-09-11 14:13:14
393|73623|1981-09-21 23:04:14
394|23258|1964-06-14 18:05:34
395|62173|1990-10-23 20:12:49
399|89904|1988-01-24 09:28:59
400|79100|1962-05-06 01:38:49
401|29842|1983-06-28 07:05:55
401|79150|1993-04-19 22:33:44
402|78079|1987-12-25 08:30:10
403|43459|1994-10-05 03:53:38
403|50198|1968-02-19 02:08:35
404|9452|1969-05-14 17:47:54
405|4470|1990-03-17 15:50:24
406|79460|2004-09-21 08:32:29
407|22133|1978-07-15 21:44:16
407|18489|1975-10-30 20:05:31
408|12384|1985-08-13 21:11:16
408|23254|1976-07-04 16:55:49
408|32019|1987-12-22 22:55:14
410|73308|1983-02-01 02:00:25
410|35227|1963-04-16 18:11:50
411|98020|1991-06-07 01:59:40
413|78092|1972-11-15 15:49:14
414|64340|2002-06-18 15:00:19
415|51585|1985-05-21 01:37:54
416|25778|1987-04-03 11:39:34
416|6647|1981-08-04 02:31:03
418|38134|1993-01-27 17:50:27
418|95559|1992-09-12 01:46:58
419|37914|1962-08-02 21:22:09
419|86673|1970-08-07 08:19:40
421|48551|1991-09-09 14:55:19
423|94343|2001-05-18 12:51:33
425|2415|1997-04-25 04:26:13
425|54377|1998-11-22 19:53:03
426|68377|1960-11-14 03:34:52
430|29262|1990-12-05 20:44:09
430|49715|2000-08-05 04:53:06
430|78631|1997-04-21 09:04:50
431|67595|1989-12-23 08:44:03
432|49650|2003-09-21 00:27:21
434|67263|1969-02-22 22:25:07
436|49633|1973-12-31 00:59:31
436|23089|1987-11-12 22:05:54
437|82827|1997-12-01 12:29:00
442|52437|1977-03-18 11:22:07
443|50985|1984-02-04 20:56:36
444|26127|2000-04-18 22:18:08
447|67116|1960-03-22 18:59:17
448|730|1965-11-14 16:33:40
448|20859|1976-10-13 01:20:09
448|18738|1990-09-13 18:19:10
449|33673|2001-11-09 23:53:44
450|37480|1996-10-29 08:03:32
126|15003|1984-04-10 05:08:41
450|19367|1997-09-16 06:48:54
451|73748|1988-01-16 17:13:19
452|63669|1960-10-21 02:41:27
454|17987|1972-08-05 08:39:50
454|18936|1970-03-13 20:00:10
455|9533|1997-02-14 07:22:56
455|92676|1983-10-21 02:59:06
456|48960|1978-01-11 09:04:51
456|57112|1982-04-06 11:24:11
457|99460|1998-07-14 13:45:15
457|55152|1994-12-24 00:50:35
457|45648|1969-02-08 14:27:48
459|70312|1985-11-30 02:47:43
462|68725|1973-01-09 03:53:08
462|72357|1965-03-19 02:12:03
463|10341|1996-10-14 03:06:26
463|93553|1968-08-15 17:32:51
464|90585|1994-02-18 07:39:51
464|43266|1962-03-31 18:19:04
464|16502|1966-05-30 12:49:53
464|73816|1973-07-03 17:09:36
465|78714|1961-08-21 12:27:11
465|50860|1994-06-30 07:05:41
466|26590|1977-11-07 19:59:15
467|55251|1995-06-10 10:00:33
467|19714|1999-05-24 11:05:23
470|7055|1999-10-03 07:12:55
473|36841|2007-02-24 11:59:05
473|72101|1960-08-06 14:34:43
474|99537|1986-03-01 11:21:51
474|34730|1980-07-04 13:02:12
477|7827|1971-04-05 09:34:51
482|90101|2005-08-18 10:37:05
484|27691|1999-08-28 03:20:12
485|52348|1978-05-08 03:36:12
470|97271|1982-07-22 15:08:51
485|66158|1985-02-04 03:28:06
487|96094|1973-11-13 13:05:07
489|33814|1982-10-22 15:21:40
491|66334|1968-12-02 14:04:49
491|80719|1981-06-06 11:33:11
495|3353|1986-05-08 08:20:01
497|23808|2003-11-21 13:16:48
498|4883|1972-12-11 04:35:05
498|57369|1994-02-08 08:52:55
498|21175|1979-05-10 23:59:11
500|85538|1985-08-22 17:38:04
501|9406|1973-10-04 11:01:03
501|10924|1998-08-05 11:32:51
502|52615|1961-11-23 08:03:25
504|90970|1975-12-31 00:58:15
504|33686|1998-01-24 02:31:35
504|17002|2003-07-19 12:27:45
505|96962|1998-09-21 09:13:09
506|98891|1993-06-27 00:35:55
507|27733|1966-04-01 22:15:01
508|87031|2008-05-22 13:14:14
510|51737|1972-10-23 03:02:13
511|38876|1992-08-17 05:32:47
295|77103|1982-12-31 18:33:56
512|9726|1993-09-26 09:18:09
513|24915|1994-11-04 21:20:54
478|15915|1976-03-06 03:12:06
514|12342|2005-04-27 05:17:20
519|27866|2002-11-11 22:05:21
520|42654|1996-05-01 08:39:39
521|81622|2000-03-08 04:01:10
523|63046|1984-02-20 03:32:01
523|29595|1976-07-05 23:32:02
523|48470|1972-01-10 13:37:44
524|53352|1991-12-25 09:17:05
524|67562|1966-11-17 09:48:23
525|56176|1998-12-12 14:33:06
525|60402|1998-09-25 15:52:25
526|91584|1992-04-25 04:10:53
528|81119|1973-09-26 09:19:32
528|36223|1989-03-10 23:49:58
529|30383|1994-08-06 18:13:37
529|95900|1977-04-17 12:01:12
530|42637|1976-01-23 18:58:49
531|43565|2005-12-03 08:44:53
532|65012|1974-10-01 14:53:45
534|35408|1996-08-29 18:56:26
536|77118|1987-11-04 17:25:08
536|93931|1970-11-04 20:06:38
537|89240|1997-08-05 15:25:54
538|73180|1983-02-25 02:23:25
539|4857|1999-06-24 16:57:44
539|30724|1969-11-21 19:28:42
541|58035|1976-04-01 16:15:36
541|36736|1984-11-23 14:00:56
543|47762|1982-11-08 20:19:26
546|29785|2004-05-13 12:15:43
547|92215|2002-08-06 10:26:19
549|1123|1965-11-06 09:59:07
551|31681|1981-07-22 11:30:49
552|58491|1974-10-23 09:02:42
552|60962|1993-09-16 11:41:14
556|19748|2001-05-24 14:06:32
557|87705|1967-07-28 01:58:27
557|35934|1994-07-10 11:02:10
557|97356|1992-06-09 20:11:33
558|22636|1994-09-10 13:33:24
559|28406|1979-02-11 20:33:11
560|69016|1984-05-18 04:06:26
560|86596|1987-10-15 05:09:10
561|4233|1974-07-22 15:22:24
561|13372|1961-04-16 12:57:16
561|45996|1988-08-05 23:42:03
563|3314|2005-07-14 09:39:19
563|78751|1962-01-01 11:59:49
564|74013|1992-08-30 03:12:26
564|85145|2000-10-17 03:18:41
314|4279|1989-06-22 22:33:16
565|28164|1997-11-04 19:21:08
566|96816|1976-05-14 21:51:17
569|79860|1995-12-15 07:25:00
570|78633|2004-07-11 12:59:47
114|38347|1976-05-10 17:19:35
570|1065|1968-05-16 21:56:49
570|57524|1969-01-19 22:05:43
571|99752|2004-02-04 23:00:38
572|70895|2008-02-15 17:00:36
573|64951|1963-10-21 02:57:08
575|50324|2003-05-06 00:09:36
576|9093|2003-02-11 04:58:20
576|4827|1981-04-29 13:33:17
576|69174|2008-04-02 09:38:11
584|41584|1979-05-21 05:21:40
584|37297|1969-11-29 13:12:25
268|89589|1967-03-18 04:16:22
585|88324|1989-08-19 09:42:18
585|54584|1964-08-29 13:09:28
585|37433|1991-01-05 03:33:39
586|46447|2005-10-12 21:07:03
586|27682|1962-07-25 06:51:00
587|28788|2001-06-05 11:12:28
589|25093|1988-05-15 08:31:04
590|68125|1966-06-19 21:43:39
591|45633|2005-04-17 18:35:00
593|89315|2004-04-08 23:16:26
596|79988|1987-05-30 11:44:31
599|24123|1982-08-31 09:33:10
599|69737|1990-03-23 20:37:09
599|72723|1978-09-21 00:52:19
600|7862|1981-04-19 16:13:39
601|86826|1972-12-27 01:37:50
605|88771|1963-04-29 21:24:03
605|19009|1992-07-01 18:30:17
610|23828|1966-11-19 08:21:10
612|67734|1972-03-18 16:32:42
415|9435|1992-07-31 14:42:54
615|55018|1982-12-31 06:03:00
432|66286|1975-04-05 04:23:41
615|66456|1996-11-26 17:41:43
616|36663|1993-06-17 12:23:34
616|68334|1988-04-24 07:30:18
618|68815|1975-09-27 16:43:15
620|62986|1998-11-05 13:01:25
623|46240|1989-10-19 20:22:22
623|55423|1988-08-23 10:55:00
623|66374|1990-12-11 04:24:41
623|50359|1969-05-12 22:26:18
624|56735|1985-08-23 11:14:19
624|50629|1988-04-17 10:37:17
625|46891|1980-12-10 00:30:02
626|98608|1984-06-26 07:37:17
627|3007|1997-07-26 19:35:38
627|17380|1977-07-02 06:03:13
629|75309|2000-02-12 21:24:34
629|10682|1964-12-20 14:26:20
631|86559|1995-04-27 09:47:26
631|17311|1970-11-09 05:54:38
632|46703|1998-09-19 04:35:15
632|67159|2000-05-31 11:23:58
632|48804|1997-07-16 06:07:11
539|92503|1992-10-02 01:13:01
633|33893|1994-03-21 05:59:31
634|95198|1991-01-15 04:27:33
635|27857|1968-12-19 13:48:04
636|25531|1996-01-31 12:56:38
637|439|2006-03-20 10:16:18
138|17064|1964-02-21 20:55:40
637|67106|2007-05-16 23:23:36
638|13566|1983-11-20 09:48:53
639|39649|1995-09-16 14:19:34
641|65840|1983-06-20 20:20:38
641|86597|1967-06-17 07:34:41
642|506|1987-08-27 03:24:26
644|11683|1980-07-25 09:17:00
644|17925|2002-04-02 01:15:28
646|35326|1999-10-28 03:40:12
648|26845|2004-08-14 00:29:33
648|72922|1988-03-23 05:17:57
648|16040|1981-08-20 15:03:11
648|28608|1992-12-01 12:41:23
649|97274|2003-06-20 11:26:01
649|77730|1983-09-16 14:10:14
650|36870|1983-11-14 17:19:55
650|31995|1970-05-17 10:48:25
651|43189|1968-08-18 09:23:45
652|11333|1987-08-25 12:37:33
652|79662|2006-10-06 08:28:12
652|62011|1979-03-06 05:26:07
652|98913|1990-05-31 10:22:40
653|80332|1987-12-03 00:49:49
653|44741|1995-08-19 01:44:10
491|92427|1995-07-04 02:34:10
654|66834|1961-07-18 03:17:17
654|79876|1984-07-02 06:15:08
655|65257|2005-12-02 23:16:10
655|92734|1971-06-10 05:49:22
655|76562|2007-12-13 04:31:44
658|7219|1974-05-17 14:17:50
77|94907|1974-03-13 00:49:31
659|34459|1965-11-17 08:26:20
660|5666|1993-02-04 17:44:36
660|80762|1977-01-05 17:01:16
660|78787|2001-01-18 17:42:20
661|85103|1985-03-10 08:40:19
662|95760|1964-04-02 08:17:15
665|47019|1969-11-01 03:47:42
665|68743|1962-01-07 08:55:00
666|16820|1965-10-15 20:31:06
666|30512|2006-11-30 02:30:07
528|22323|1973-05-10 16:00:24
667|62658|1984-06-03 20:01:27
667|82403|1993-04-13 17:22:21
668|32343|1986-12-06 16:18:43
669|13011|1962-02-03 17:16:08
669|4186|1976-01-03 19:01:55
669|85244|1963-11-30 01:10:13
670|41706|1968-08-18 09:03:46
671|71243|1976-10-16 07:39:07
672|81607|1980-05-10 08:01:28
672|59970|1987-07-31 14:43:32
672|90839|1999-07-31 20:18:27
672|85069|1973-09-30 04:07:41
672|10209|1987-10-04 19:05:33
673|40103|1994-07-24 20:39:01
673|52001|1988-11-07 16:13:01
674|36521|1989-02-03 18:30:44
675|12762|1961-11-07 06:11:57
675|36853|1963-05-30 09:31:14
675|65634|1967-11-02 05:00:36
676|5922|1992-03-23 12:55:08
677|69493|1990-05-30 17:10:10
677|75219|1974-06-26 04:44:23
678|87343|1980-09-10 21:09:56
679|69237|2007-12-13 01:36:32
680|98780|1972-09-30 06:43:47
681|94611|1983-04-13 03:42:55
682|3172|1960-12-06 00:05:25
682|18718|1983-10-28 21:54:53
682|51140|1990-06-28 22:36:24
682|58964|1998-04-28 07:10:02
683|48144|1972-01-07 20:20:00
683|5215|1981-10-13 00:02:44
683|15988|2003-06-12 09:12:47
684|84388|1984-01-07 04:42:32
685|82675|1995-01-04 10:35:31
685|89562|1992-04-14 17:33:24
686|88223|1964-12-23 07:44:49
687|3838|1999-01-22 11:59:13
687|98154|1976-09-29 12:42:08
688|66743|1964-02-16 01:27:34
689|9317|1963-01-27 17:24:34
690|34758|2002-11-16 11:34:22
692|95437|2003-05-05 15:18:43
694|59488|1960-11-15 04:18:20
695|97767|1984-11-24 06:02:21
697|4194|1962-10-17 20:58:34
698|46899|1974-04-24 13:47:27
698|86179|2005-04-26 20:01:42
699|14935|1971-07-07 15:16:07
703|14207|1980-05-14 13:57:52
706|14961|1977-04-26 09:19:37
114|60447|1985-07-17 23:26:14
707|3625|2008-03-18 23:29:21
708|33175|2007-02-19 12:15:17
709|61094|1983-08-31 11:10:55
711|6929|1989-10-25 22:39:16
712|61809|1995-01-29 07:41:47
715|18933|1973-11-24 21:59:22
718|85902|1982-04-20 18:14:21
719|90135|1963-01-17 21:06:21
720|40356|1991-08-19 14:39:53
720|42330|1998-10-06 07:48:40
721|53426|2006-04-29 00:26:15
721|54886|1997-03-11 21:11:42
723|73138|1969-08-10 13:25:23
723|59233|1961-03-02 10:36:58
724|59584|1967-09-26 07:39:31
724|65685|1986-02-04 21:04:24
289|14360|1962-07-20 12:49:46
724|98616|2004-01-20 04:46:00
724|56365|1966-02-03 10:33:06
726|21567|1962-03-03 18:35:53
726|75114|1981-12-29 00:24:09
729|37966|1971-10-06 01:23:13
730|92984|1971-10-17 05:16:33
732|15237|1964-12-18 04:48:54
736|94278|1973-07-19 16:53:16
737|43777|1961-04-19 02:19:06
737|35375|1990-12-10 12:19:01
738|30751|1994-05-21 17:40:59
738|55864|1994-04-11 08:26:52
740|46569|1966-10-31 17:09:23
741|18448|1996-03-25 16:33:41
741|25397|1982-04-08 09:58:01
741|85290|1990-05-18 17:51:41
741|15254|2006-05-31 06:42:49
742|58599|1992-05-13 11:20:28
