Person|Comment|creationDate
314|42469|1979-03-12 12:12:24
314|36266|2000-05-15 05:45:24
315|169390|2008-01-02 00:34:37
316|60646|1961-09-22 13:02:44
318|194242|1984-02-10 00:32:34
319|144879|1997-04-19 01:17:55
320|117558|2007-04-15 05:01:19
322|19954|1977-11-02 00:40:57
322|7977|1962-03-06 23:27:33
324|51242|1967-11-11 05:09:54
326|27369|2007-12-08 01:05:39
327|45226|1997-12-19 16:54:49
327|150649|1984-07-29 09:20:12
327|93978|1988-12-12 15:48:17
329|7055|1975-01-30 20:31:56
330|48426|1993-12-01 12:13:33
330|170107|1985-10-01 20:14:54
331|127776|1972-11-03 00:39:44
332|188890|1968-02-20 23:59:04
332|62374|2001-02-21 15:44:40
333|114362|1995-03-05 04:32:08
334|189389|1981-01-17 07:38:52
335|17207|1987-03-08 01:26:22
336|24563|2007-05-10 14:57:45
336|148233|2008-07-15 15:59:11
337|101323|1970-09-05 04:25:23
339|11966|1974-06-21 03:49:00
340|171186|1981-09-05 08:18:03
340|130096|2006-08-21 07:09:29
340|101898|1990-12-27 17:31:28
340|94803|1966-01-30 19:01:15
341|33078|2007-11-11 15:07:52
147|172859|1962-06-23 19:49:10
341|46155|1973-05-20 21:42:09
343|95753|1989-02-07 15:04:20
344|45998|1986-04-05 08:19:38
344|109421|1980-06-25 02:41:06
345|22629|1982-11-03 17:19:07
346|162767|1974-09-11 19:46:00
346|169909|1971-10-09 17:23:04
348|40287|1985-12-05 10:33:36
349|82588|1966-12-09 03:50:46
351|178802|1982-06-27 22:56:29
351|79942|1963-12-05 06:10:46
351|112618|1992-10-27 02:42:47
352|169119|1976-05-20 10:21:34
352|170520|1978-09-01 22:52:34
352|73800|1970-10-26 20:45:56
353|128640|2006-12-09 14:35:24
354|119304|1966-05-25 04:14:54
357|53668|1979-09-01 01:14:29
358|74190|1987-01-12 06:28:54
360|95773|2003-09-28 08:22:54
360|72512|1973-03-22 18:31:00
361|134682|1975-06-04 21:04:26
361|62668|1982-01-10 15:51:31
361|104695|1974-08-21 07:40:26
362|128374|2007-07-15 08:06:49
362|147464|1974-12-23 02:16:33
363|141231|1965-04-29 09:08:26
363|168207|1990-08-11 07:17:34
365|93788|1989-01-21 07:29:50
366|124038|1963-08-15 18:26:06
368|163197|1967-05-11 00:44:44
368|82242|1967-05-28 18:04:58
370|179203|1972-04-21 11:30:53
370|93504|1963-07-01 12:29:58
371|23062|1982-02-17 13:23:34
372|165434|1971-02-15 10:13:20
372|76309|1979-06-29 22:54:10
374|117690|1985-08-22 22:16:10
374|185018|1966-01-28 20:18:36
379|55002|1995-02-27 10:37:28
380|165536|1968-08-13 23:00:01
381|69104|1975-04-23 20:55:20
383|5670|1993-04-04 07:30:59
384|55376|1973-07-18 10:01:25
386|63981|1977-02-12 02:20:41
391|184267|1998-10-01 10:10:37
391|51238|1982-08-21 18:46:01
391|29952|1991-07-30 19:32:17
392|160215|1985-09-13 17:51:52
393|111298|1962-03-27 15:10:24
394|11418|1982-10-29 04:30:31
18|74898|1985-03-17 08:14:42
395|25582|1999-02-05 21:24:18
395|47009|1972-05-04 05:22:44
395|50146|2005-02-26 08:28:49
396|95054|1963-10-16 15:25:54
396|45252|1982-10-27 09:34:02
398|134216|1983-01-05 11:24:17
401|150285|2001-04-30 11:06:48
402|141708|1988-04-22 15:06:56
404|59335|2006-01-25 05:51:38
404|127275|1992-10-12 06:58:55
405|70959|1994-07-17 08:01:10
405|108754|1961-05-12 03:18:57
406|169261|1978-08-04 08:25:58
408|195882|1966-04-07 22:44:16
408|85950|1987-11-12 00:15:13
410|166039|1964-01-30 16:29:56
411|28153|1975-07-29 05:07:08
411|101912|1973-03-03 05:39:50
411|77199|1995-09-05 02:48:32
411|83904|1997-01-18 03:14:31
413|130179|1989-09-14 05:32:39
415|110211|1974-10-21 00:45:57
418|15173|1984-05-09 00:17:05
419|72125|2004-09-27 05:25:25
421|6751|1969-11-15 15:54:50
422|58499|1970-06-07 19:05:46
423|79419|1981-01-15 03:08:54
425|152121|1994-06-29 15:50:10
426|108895|1995-01-30 04:13:21
426|76994|1988-12-27 09:27:13
426|18516|1983-11-21 21:59:19
427|177057|1996-12-20 06:40:11
429|177156|2003-10-29 23:13:09
430|105349|1980-08-27 23:18:39
430|3398|2006-04-11 02:14:13
430|167168|1964-05-24 01:13:34
434|189071|1981-04-13 03:37:08
435|127235|1967-07-28 23:56:16
435|191146|1968-08-08 22:13:55
435|33071|1974-07-06 08:08:51
436|94764|1982-04-09 09:54:18
438|85431|1974-03-30 00:22:32
438|5390|1986-06-01 06:18:54
443|76564|1967-06-08 07:39:05
443|7842|1967-03-01 07:54:09
443|181146|1965-09-01 09:03:06
443|63162|2006-02-18 01:35:31
444|732|1990-04-19 22:16:31
445|123272|1985-10-10 19:17:18
446|6753|1961-06-28 01:48:17
447|134983|1963-12-06 20:34:41
447|11795|1988-12-09 11:52:01
450|154674|1983-12-09 02:34:36
450|109190|1990-01-27 23:33:32
452|142976|1963-08-04 19:14:24
455|168174|1965-11-27 15:16:07
456|80667|1973-09-19 19:23:25
456|162008|1966-01-03 11:46:12
457|112189|1973-10-29 13:37:38
457|173248|1985-08-05 22:34:40
458|81587|1973-06-01 21:45:07
460|32324|1979-05-06 14:12:20
460|198246|1964-08-22 14:39:19
462|99727|1970-01-08 01:56:27
462|34358|1974-01-21 15:10:07
463|76071|2000-08-04 11:28:42
463|165411|1971-02-05 13:25:49
463|166763|1982-08-04 01:12:31
464|192144|1981-01-14 14:26:31
464|44936|1979-04-02 05:35:04
464|2998|1998-02-08 06:00:56
467|146999|1986-02-06 19:15:27
467|136354|1965-10-04 19:56:56
469|131708|1975-05-23 04:43:34
469|169540|1996-05-04 17:32:05
471|146226|2004-10-19 10:59:50
472|43646|1971-02-23 01:19:12
473|175947|1966-08-31 03:24:15
473|39287|1964-04-28 07:00:24
475|173616|1992-02-24 19:52:01
477|29670|1992-06-16 14:45:07
478|97297|1979-03-19 22:24:09
480|157623|1977-08-12 15:48:08
481|86015|1982-05-22 06:55:45
482|130367|1973-05-20 22:44:33
482|104558|1993-04-08 22:49:22
482|164836|1965-07-22 15:10:14
483|188160|1987-01-03 22:51:47
486|72203|1991-01-18 07:04:49
487|152360|2002-02-26 09:04:39
488|129387|1992-11-30 11:21:07
490|20634|1989-08-26 06:48:18
493|17728|1971-06-11 18:56:20
158|23344|1993-08-09 03:23:37
493|180353|1969-04-09 01:26:35
493|142782|2003-03-19 04:27:06
493|44320|1990-07-19 09:31:14
495|43592|1999-08-14 06:37:30
496|64973|1985-10-17 07:57:58
497|28090|1971-10-16 22:23:44
497|32913|1965-12-29 07:54:03
497|35999|2006-07-31 00:31:59
498|94951|1964-10-27 14:12:22
498|102006|1969-06-18 21:57:32
498|181809|1980-03-28 01:41:00
499|130169|1961-10-08 21:48:36
499|666|1983-03-02 04:48:00
499|135785|2004-03-15 10:31:42
499|173962|2004-05-03 21:23:31
500|172497|1992-12-14 04:33:45
501|70612|2001-01-17 07:25:51
501|128920|1979-09-13 07:34:09
501|33128|1986-04-22 20:07:05
289|128099|1971-05-17 18:02:02
505|126874|1962-03-17 09:19:11
506|90972|1962-03-19 05:42:57
507|155585|1965-11-29 09:20:18
507|177866|2001-01-17 07:49:57
507|79881|1989-10-12 23:58:29
508|10243|1997-08-21 04:05:27
511|108247|1982-10-11 14:37:37
512|186393|1967-03-02 05:32:21
513|36541|1971-09-27 16:09:43
513|138718|1998-09-24 22:28:42
74|165583|1995-07-23 05:04:36
513|128680|1963-06-26 03:37:52
514|126705|1976-08-22 15:23:54
514|91418|1967-03-05 13:52:28
516|116156|1973-05-06 05:14:50
518|136352|1961-02-05 00:56:12
518|38352|1993-08-08 02:43:38
519|43380|1995-10-04 17:30:25
519|43500|1989-07-11 12:52:01
520|3520|2004-06-02 04:04:58
520|193713|1960-04-27 10:58:51
520|30072|1975-07-15 07:30:21
520|6794|1965-08-02 14:32:32
520|26793|1991-03-09 18:08:39
520|178508|2008-07-31 22:08:05
521|162703|2003-11-18 07:46:25
521|97710|1970-07-16 21:37:14
522|190892|1990-10-14 10:16:55
522|879|1967-08-26 21:27:53
524|68670|1992-08-13 00:36:35
526|28172|1972-05-29 16:17:50
527|53694|1980-06-18 13:34:11
527|46043|1975-03-27 01:24:24
528|139607|1976-02-15 11:16:05
528|110169|1984-10-30 14:36:09
529|75209|1960-08-04 11:37:58
530|19517|1963-03-27 15:21:10
531|82855|2004-02-03 19:32:07
531|76286|1984-08-08 12:42:03
532|20588|1979-08-06 15:43:29
532|10607|1979-01-16 03:43:18
535|60664|1993-11-07 01:31:02
536|125948|1998-03-09 02:17:51
537|168111|1960-08-11 18:07:58
537|96694|2007-11-14 11:35:52
341|71176|1987-04-19 13:37:32
537|151634|2003-12-20 19:16:09
537|16168|1985-09-06 21:27:00
541|196808|1961-11-02 03:15:59
541|98518|1968-04-23 08:00:11
543|11217|2003-10-11 02:03:24
543|15502|1993-02-02 22:01:36
544|109091|1997-03-08 21:53:34
545|21840|1978-09-13 22:41:25
546|22424|1994-02-24 02:32:55
546|165911|1960-01-10 14:50:51
547|100205|1973-11-04 16:12:24
548|101153|1984-10-12 18:27:25
548|107279|2000-04-29 13:55:22
549|183501|1976-02-08 08:41:51
549|41351|1981-08-21 23:46:26
550|174976|1989-08-19 14:13:10
550|140181|1972-08-18 08:01:46
552|176755|2001-07-24 01:37:30
552|41574|1968-04-19 20:12:41
552|6709|1965-04-04 01:05:32
555|18210|1973-12-20 21:38:48
556|100922|1975-09-13 05:48:16
556|145645|2005-08-21 09:34:28
557|147252|1982-05-04 18:38:35
558|150945|1999-12-12 19:37:34
559|104124|1975-03-12 16:09:53
559|160565|2000-06-19 21:21:16
559|12053|1988-07-29 19:01:55
562|125936|1992-03-14 09:34:02
566|141889|1997-01-16 18:45:30
566|98852|1975-01-21 09:32:43
566|51996|1989-04-06 23:56:38
567|88657|1965-04-12 15:06:17
567|83705|1987-10-28 00:22:34
570|193502|1991-02-18 16:40:04
571|62028|1960-05-09 16:07:33
571|93351|2006-01-14 19:05:16
575|8845|1960-01-03 19:47:43
576|30643|1999-02-28 18:54:31
577|145259|1995-02-27 09:38:21
577|162740|2007-07-30 10:14:25
577|134950|2008-12-28 06:41:40
577|58689|2000-07-14 15:56:35
579|102310|1996-09-21 15:46:50
579|128718|1990-02-18 18:54:02
579|121155|1989-02-17 12:30:09
579|137973|1974-02-18 10:07:08
580|77546|1964-04-07 04:18:09
581|92943|1991-03-19 00:48:43
582|126225|1978-10-16 10:29:12
583|4467|2000-02-12 13:05:58
585|73894|1970-10-19 23:51:54
586|53938|2000-07-29 12:45:57
587|90652|1979-05-01 04:02:59
587|40752|1968-06-22 01:47:06
588|32143|1977-05-06 22:40:39
589|167658|1971-04-02 09:53:55
589|81702|2002-01-05 04:22:59
590|154190|1970-05-13 18:35:35
590|47285|1977-02-09 14:49:50
591|172907|1995-02-27 03:17:11
592|53877|1978-02-25 00:05:09
593|196574|2006-04-06 21:54:25
594|88824|2005-04-26 02:59:58
594|189485|1962-05-29 16:18:22
594|92980|1998-05-05 03:41:36
594|22775|1983-08-20 10:32:49
595|155892|1987-06-17 01:03:43
600|26973|1973-07-03 15:46:28
600|34042|1982-02-13 01:00:33
601|160110|1970-06-22 05:43:06
603|97702|1983-08-02 14:36:26
604|21010|1998-09-10 00:35:17
2|135185|1991-11-07 20:36:17
604|20520|1960-05-18 02:04:46
604|63603|1987-10-18 02:07:45
606|89697|1975-08-04 06:10:20
606|175943|2000-11-30 23:36:14
606|14378|1967-12-21 03:51:44
610|30661|1996-02-19 00:14:32
611|138692|1961-05-18 18:51:27
611|149948|2000-02-10 10:19:23
134|11043|1973-10-01 22:32:32
612|63352|1991-08-24 11:55:49
612|9512|1975-01-24 10:48:54
264|140216|2004-02-05 09:08:32
612|119393|1972-06-10 16:54:38
360|136994|1981-01-31 19:40:42
614|120694|1963-06-26 22:33:46
616|182966|1986-12-30 11:40:13
616|119712|1960-04-08 13:52:12
616|92187|1987-05-07 07:52:53
619|145430|1973-12-22 17:10:27
620|92643|1977-11-24 02:04:05
620|90581|1968-04-23 20:15:54
622|104985|1980-03-02 20:19:31
307|57536|2001-11-02 09:22:17
623|192790|1995-02-11 07:42:16
625|79608|1996-11-10 21:56:24
626|173561|1965-05-07 16:53:27
628|14934|1983-06-26 08:46:39
628|77369|1994-12-06 03:31:34
629|51652|2004-12-03 16:41:21
629|143264|1974-08-23 01:11:47
629|4038|1972-11-24 09:45:28
630|185400|1976-03-30 08:02:49
631|187484|1967-09-21 08:11:19
632|140295|2002-09-06 06:02:17
633|1345|1994-05-29 15:53:53
633|16173|1963-03-28 00:27:22
634|64165|2003-09-30 17:46:16
635|136504|1974-12-26 01:34:58
636|198266|2001-08-14 01:21:05
637|61764|1986-01-07 23:48:32
303|76742|1985-06-16 07:02:54
638|184039|1992-04-06 04:10:43
638|78774|1992-10-16 17:08:55
639|29433|1960-01-04 13:18:42
640|97241|1988-09-05 02:28:25
641|93486|1999-01-09 16:33:40
642|123472|1993-10-29 22:23:06
642|129684|1966-09-28 21:23:58
642|134155|1997-11-15 22:48:10
645|133847|1971-07-24 21:04:03
645|47722|1967-06-04 11:12:03
646|85151|2000-04-19 17:06:24
647|47726|1989-10-08 11:26:37
648|86023|2002-06-18 00:46:44
648|155158|1967-08-29 02:00:34
648|176851|2005-09-07 20:47:45
649|94488|1984-12-06 14:35:15
649|152940|1987-03-27 22:07:43
649|178182|1989-03-19 18:19:10
650|11727|2004-10-16 04:08:32
651|154680|1997-06-08 21:18:56
651|3155|2005-07-02 12:28:04
655|29654|2001-04-10 16:34:23
655|96391|1964-07-01 16:35:44
656|28122|2001-01-02 01:37:29
658|176277|1992-02-08 18:05:03
658|110328|2007-09-22 19:27:11
659|33143|2001-04-28 22:48:30
659|68763|1968-03-08 13:32:43
660|178136|1985-11-06 17:48:57
662|17287|1965-07-24 22:34:20
662|85028|1971-06-04 08:51:37
664|16945|1960-09-26 17:40:38
664|154770|1968-12-13 21:09:45
665|131808|1992-10-10 16:14:31
666|188592|1985-03-08 08:43:48
666|133357|2008-06-30 06:13:54
669|137038|1977-10-23 14:41:50
670|146382|2001-03-24 17:54:00
670|59685|1989-12-04 08:59:58
672|2897|1990-01-05 01:52:12
676|23053|1998-11-08 10:58:07
677|95139|1962-12-20 16:54:07
678|52132|1968-02-03 04:02:51
679|180170|2001-11-16 17:33:33
680|76917|1977-10-31 12:41:09
681|181436|2004-11-05 10:14:36
681|190173|2002-02-22 13:16:40
682|180071|1996-10-15 19:12:23
685|50202|1989-12-03 18:37:46
685|73101|1985-08-13 17:18:09
685|188958|1981-10-20 04:49:51
688|19292|1993-10-08 15:50:41
688|151836|1971-09-29 02:04:08
688|147839|1979-11-08 01:03:24
688|44967|2004-07-20 07:52:39
689|10483|1974-03-01 22:17:02
689|101140|1974-04-18 22:49:52
690|12380|1978-06-25 02:53:31
691|157734|2002-04-14 06:51:31
692|183094|1974-01-15 21:08:30
692|3647|2006-02-20 09:37:38
692|1313|1976-03-21 15:16:16
694|180240|2001-12-31 17:07:41
694|21822|1998-04-17 22:02:50
694|100177|1986-11-27 07:03:56
694|125337|2006-06-02 01:56:02
695|150407|1960-12-01 06:11:23
696|127848|1990-07-11 12:30:42
700|143911|1963-01-05 18:29:37
701|166359|1991-03-27 22:20:06
701|199501|2005-08-16 03:23:49
702|114062|2008-02-12 14:36:15
702|93393|1985-03-24 06:45:04
672|158279|2003-12-16 16:59:43
703|70166|2007-09-24 19:20:53
703|114114|1997-08-19 05:28:04
704|133873|1983-01-06 09:54:02
704|164856|2006-12-04 10:13:36
705|86245|2007-08-03 10:32:37
705|102321|1962-07-03 05:50:27
705|147058|2002-06-08 05:53:31
708|25679|1977-10-11 22:34:17
709|170563|2003-12-28 12:40:34
710|103354|1997-04-09 05:17:31
710|88592|1995-04-14 11:17:37
711|148534|1987-03-22 11:40:15
714|125784|1983-05-31 13:53:14
714|153696|1971-06-22 06:30:39
715|9112|2000-10-07 09:40:45
716|88544|1997-08-08 12:21:27
717|50793|2002-10-17 13:32:52
719|31904|1981-02-19 11:49:00
721|149321|1966-12-07 15:02:13
721|6557|2002-06-19 02:06:06
722|177451|2000-03-30 15:29:07
