Person|University|classYear
498|57|1966
499|52|1994
500|28|1977
500|52|1998
502|28|1976
499|8|2005
503|47|1991
503|62|1995
505|12|1966
507|11|1964
507|26|1989
507|48|1960
508|46|1964
508|27|1976
508|62|1984
509|0|1990
509|46|1985
509|57|1994
511|3|1966
512|4|1960
512|19|1980
512|62|1975
512|1|1986
513|26|1995
514|5|1969
517|11|2004
517|6|1995
519|15|1968
520|33|2007
521|26|1986
407|11|1962
524|47|1983
527|58|1962
528|28|1980
529|11|2002
529|42|1983
530|11|1978
530|46|2000
532|15|2000
533|22|2005
533|11|1971
534|4|1994
535|59|1985
535|45|1998
535|12|1970
539|4|1998
540|11|1962
541|33|1986
542|33|1974
543|45|1998
543|47|1960
544|12|1999
544|3|1984
544|62|1991
545|37|1977
546|39|1988
548|15|1983
551|1|2007
551|0|1991
556|11|2004
558|12|1968
559|52|1987
559|22|1977
560|27|2005
560|19|1991
560|62|2007
560|38|2002
560|48|1972
561|26|2006
561|28|1972
562|1|1996
563|1|1975
565|56|2005
566|46|1995
568|19|1977
569|28|2004
569|21|1970
570|6|2004
570|38|1973
571|0|2001
572|5|1998
572|52|1970
574|12|2004
574|37|1973
574|31|1964
574|60|1967
575|45|1967
576|60|1986
577|15|1998
578|9|1991
581|23|2002
581|11|1974
582|38|1964
585|15|1999
586|46|1980
586|35|2004
589|33|1961
589|5|1983
592|26|1968
592|24|1996
592|19|1992
592|4|1976
593|57|1964
593|19|1989
593|52|1991
594|24|2007
595|62|2001
65|19|1969
595|23|2002
595|3|1997
598|19|1980
598|15|2002
598|52|1983
599|0|2000
599|28|1968
600|46|1980
600|35|1979
601|12|1989
602|57|1965
602|11|1991
603|61|1982
604|21|2000
605|28|1990
605|45|2002
607|22|1987
607|28|2007
608|4|2000
608|21|2001
608|37|1989
608|58|1967
609|24|2000
609|57|1991
611|37|1983
611|9|2005
612|47|2007
612|27|1967
612|37|1974
613|33|1972
613|20|1978
614|26|1999
615|61|1968
615|28|1978
618|5|1963
618|23|1974
619|28|2005
620|24|2006
620|23|1996
620|56|1970
621|6|1963
621|15|2001
622|60|1960
624|26|2003
625|1|1982
625|59|1991
625|61|1990
626|19|1985
627|58|1996
627|28|1963
71|48|1984
627|20|1984
628|11|1992
628|48|1986
630|15|2006
630|9|1982
510|19|1966
632|6|1968
632|32|1978
633|28|2005
634|10|1970
634|46|1973
635|10|2006
635|35|1979
635|61|1995
560|23|1962
636|20|1975
637|8|1996
641|46|1999
641|58|1982
641|48|1999
642|35|1961
642|56|1987
642|28|2003
643|47|1971
645|10|1967
645|56|2000
585|52|1997
646|3|2006
646|39|1976
647|4|1970
647|46|1983
648|39|1962
648|32|1960
649|52|1969
649|1|1990
649|40|2003
651|3|1989
653|31|1985
654|36|1984
655|8|2003
656|38|1984
656|56|1998
659|22|1985
659|20|1970
660|21|1972
660|12|1988
661|57|1963
661|61|1969
664|8|1979
664|59|2003
664|48|1963
664|33|1997
665|6|1973
665|24|1981
665|11|1969
665|61|2001
666|46|1972
667|10|1980
667|1|1993
668|62|2007
670|52|1978
670|19|1965
672|27|1966
673|21|1986
674|21|1989
674|57|2003
50|12|1985
674|48|1964
674|18|2006
675|27|1988
678|22|2001
678|31|1983
681|15|2002
681|1|1970
682|5|1998
682|45|1987
683|60|1973
683|33|1987
685|32|1993
685|36|1968
686|55|1975
686|57|2001
686|28|1961
687|47|1985
687|3|1984
689|19|1987
690|18|1984
690|46|1970
690|36|1985
691|46|1978
691|4|1961
691|58|1997
692|60|1999
694|21|1972
695|60|1977
695|36|1967
695|12|1996
695|46|1960
696|5|2003
697|61|1974
699|0|1967
700|11|1962
701|3|1965
702|26|1968
702|33|1969
703|24|1989
704|40|1972
704|9|1993
706|11|1994
707|33|1965
710|24|1999
711|55|1965
712|36|1995
713|3|1981
714|45|1966
714|59|1968
717|18|1991
152|11|1986
717|59|1995
717|11|1995
718|59|1994
718|58|2004
718|52|1963
721|57|2007
726|37|1961
728|15|1963
730|37|1965
730|28|1997
732|46|1979
733|37|1969
733|23|1973
733|24|1960
733|22|1995
735|4|1985
155|52|1964
736|1|2003
737|27|2001
738|47|1964
739|4|1970
739|58|2000
742|55|1983
742|6|1969
743|46|1983
743|52|2002
743|33|1983
19|12|2006
745|4|1984
745|60|1974
745|37|1990
748|36|1980
750|55|1975
751|0|1968
751|59|1995
752|40|1996
754|23|1993
755|46|1981
757|9|1994
758|37|1981
759|44|1972
759|35|1996
759|62|1993
759|32|1984
146|52|1979
760|60|1990
166|56|2000
760|18|1965
760|57|1979
106|11|1987
763|5|1993
763|46|1986
765|15|2005
769|6|1975
769|15|2003
769|56|1995
769|46|1994
769|1|1970
114|24|1982
770|25|1995
770|57|1974
771|57|1966
771|6|2000
772|1|1977
773|5|1969
774|18|1975
775|27|1993
776|18|1968
776|21|1999
777|32|1960
779|60|1975
780|59|1968
780|20|1994
781|19|1994
781|26|1969
783|57|1961
784|12|1967
786|62|1977
786|4|1989
787|39|1992
28|18|1964
788|40|1963
790|1|1992
791|59|1961
791|62|2001
791|23|1985
793|23|1975
793|26|1972
794|60|1996
795|43|2004
795|62|1979
711|11|1961
796|59|1975
796|55|1963
797|6|2004
799|4|1965
801|20|1984
801|45|2007
801|11|1993
803|24|1990
805|28|1963
805|39|1997
805|44|1976
805|22|1963
806|31|1996
807|23|2007
807|18|1997
809|55|1983
810|42|1973
811|62|1973
812|28|1970
812|42|1999
583|58|1996
813|0|1982
815|61|1974
816|55|2000
817|40|1978
817|25|2007
818|2|1965
818|43|1962
819|39|1962
820|36|1972
820|58|1998
821|60|1997
821|5|1970
823|39|1988
825|24|1967
825|4|1987
826|7|1979
827|59|1960
827|11|1962
827|3|1966
827|12|1986
827|6|1983
828|11|1970
829|24|1961
830|20|2006
832|0|1998
833|47|1979
834|28|1994
835|3|1973
835|29|1995
836|8|1965
836|9|1983
838|23|1961
840|0|1986
840|38|1971
841|19|1991
841|5|1979
842|58|2005
842|12|1975
843|32|1974
844|39|1995
844|24|1995
844|3|2002
846|22|1974
848|1|2002
849|58|1996
849|2|1960
850|21|1998
851|44|1984
856|12|1966
858|31|1960
858|25|1986
858|37|1963
860|21|1969
861|29|1977
862|33|1975
862|43|1979
866|14|2001
866|38|1977
18|16|1993
786|25|2007
866|10|1969
867|20|1974
867|2|1965
119|24|2007
868|24|1964
868|4|1965
869|14|1984
870|40|2001
870|46|1975
870|33|2003
871|36|1970
871|44|1986
872|38|1996
873|10|2002
873|29|1967
873|23|1994
874|43|1998
876|47|1980
876|21|1967
876|62|1994
878|23|1976
881|52|2003
881|1|1980
881|23|2003
881|20|2000
882|26|1993
883|26|1964
885|28|1966
885|60|1973
888|6|1962
889|11|1981
891|10|1992
892|56|2000
892|45|1978
893|62|1980
894|8|1998
895|18|1997
896|6|1960
896|25|1972
897|47|1995
897|42|2005
903|24|1986
904|56|1980
908|32|1987
909|10|2002
909|61|1981
910|29|1973
911|39|1987
912|56|2004
913|23|1985
914|56|1984
916|2|1978
917|21|1961
918|21|2007
919|27|1997
923|62|1970
924|33|1963
924|24|1986
924|21|1967
925|55|1991
926|27|1981
927|44|1979
927|14|1993
927|61|1997
928|48|1993
929|46|1993
930|20|1969
368|5|2007
931|21|1971
931|55|1969
932|60|1974
932|61|1991
933|29|1973
935|1|1986
133|48|2002
936|60|1981
936|6|1970
939|58|1978
724|47|1961
941|6|1985
942|22|1984
943|33|1994
944|25|2002
944|42|1970
946|55|1998
948|55|1975
949|19|1982
949|6|1985
949|57|1983
950|24|1979
950|21|1964
951|31|1990
951|10|1963
951|25|1991
954|27|2006
957|53|1961
957|45|1978
959|56|1965
959|36|1996
959|22|1996
960|18|1972
961|4|1966
962|14|1989
962|3|1985
964|48|1978
964|6|1980
965|35|1963
968|33|1989
971|52|1990
972|39|2004
972|37|1980
973|4|2001
974|0|1974
976|42|1990
976|12|1976
774|4|2006
976|46|1965
977|27|1988
977|48|1992
978|59|1975
979|8|1963
980|3|1970
981|9|1997
981|8|1969
981|25|1999
982|43|1986
984|42|1980
984|29|1980
985|32|1978
985|56|1994
986|6|1970
986|55|1961
987|21|1997
987|39|1985
987|11|2005
988|26|2006
989|24|1993
989|15|1991
990|7|1983
994|45|1972
996|4|1987
997|23|1979
998|29|1975
880|55|1962
1001|28|1960
1001|15|1960
931|0|2001
1002|24|1997
1003|20|1978
1003|32|2002
1009|40|1995
1009|15|1966
1010|20|1985
1011|32|1983
1011|36|1960
1012|15|1978
1013|10|1963
1017|56|1984
1017|26|2006
1018|3|1975
1018|19|1979
1019|46|1996
1020|15|2002
1023|29|1992
1025|43|1977
1026|23|1976
1027|42|1976
1031|35|1983
1032|34|1989
1033|36|1977
1033|37|1999
1033|2|2002
1034|46|2002
1034|38|1980
1035|42|1965
1036|44|1982
1037|13|1964
1037|62|1979
1037|60|2006
1038|19|2007
1038|13|2002
1039|14|2003
1043|4|1995
1045|57|1974
773|60|2004
1045|44|2007
1048|53|2001
1048|1|1990
252|31|1990
1048|9|1977
1048|58|1964
895|6|1978
1049|22|2003
1050|56|1976
1051|61|1995
1051|27|1970
1053|36|1975
1054|12|1982
1054|49|1987
1054|4|1991
1055|4|2005
1055|21|1994
1053|20|2007
1055|18|1964
565|27|1998
1057|55|1963
1057|22|1963
1057|42|1989
1057|11|1965
1058|52|2000
1058|32|1993
1059|12|1996
1059|56|1987
1060|42|1998
1063|38|1964
1063|0|1966
1064|39|1961
1064|38|1974
1065|38|1971
1067|59|1999
1067|10|1982
1068|4|1984
1070|13|2007
1071|13|1960
1072|6|1964
1072|5|2007
1008|58|1997
1072|38|1982
1075|8|1994
693|35|1968
1078|56|1980
1079|36|2004
1081|60|1981
1082|29|1997
1083|50|1980
1087|46|1989
1087|44|1967
1088|40|1965
1089|20|1971
1089|42|1990
1089|38|2000
1090|25|1984
1090|57|1998
1091|6|1968
1092|33|1966
1093|43|1979
1094|52|1965
1094|22|2004
1095|32|2003
1095|62|2007
1098|31|2001
1098|50|1971
1099|7|1989
1100|24|1969
1101|24|1964
1101|7|1980
1102|61|1970
1102|19|1978
1103|39|1976
1103|47|1973
1106|40|1969
1107|58|1999
1107|13|1973
1107|5|1971
1108|5|2002
1109|48|1987
1110|8|1968
1111|29|1972
1114|41|2003
1115|8|1980
1116|11|1966
1116|57|2002
1117|33|1962
1117|3|1984
1118|24|1982
1118|37|1998
1120|0|1978
1121|58|2005
1122|15|2005
1124|33|2007
1126|29|2006
1127|58|1972
1129|13|1963
1131|8|1985
1132|34|1960
1132|32|2000
1132|22|1981
766|32|1980
1135|15|2007
1136|25|2002
1136|24|1991
1137|27|1973
324|45|1978
1139|62|1977
1139|43|1972
1143|42|1977
1143|57|1963
1145|60|1975
1145|4|1973
1146|50|1988
1147|0|1960
1147|56|1967
1148|26|1980
1150|14|1978
1150|26|2001
1150|0|1996
1151|11|1980
1151|21|1994
1152|37|1980
1152|28|2001
1153|4|1999
1153|1|1996
1156|10|1967
1159|39|1975
1160|53|1982
1160|32|1964
1160|62|1993
1160|20|1961
1160|42|1998
1161|33|1997
1161|8|1994
1161|1|1998
1162|4|1975
1163|8|1991
1163|44|2004
1163|59|1975
1166|25|1984
1167|44|1998
1169|58|1962
1169|53|1984
1170|12|1986
1171|13|1985
794|0|2004
1172|0|1970
1172|5|1990
1172|24|1985
1173|47|1968
1175|31|1980
1176|18|1990
1177|37|1976
1177|25|1962
1178|4|1989
1179|14|1992
1183|29|2001
1184|62|1995
1184|13|1970
1184|48|1975
1185|23|1994
1185|44|1990
1185|37|1986
1186|49|1962
1186|43|1964
1186|34|1982
1187|62|2001
1190|57|1974
1190|14|1981
243|58|1987
1190|5|2007
1192|10|1998
607|52|1989
1192|53|1981
1193|43|1965
1193|34|1975
1194|7|1992
1196|0|1970
1196|37|1981
1196|38|1967
1196|3|1978
1198|15|2003
1200|55|1960
1201|35|1997
1204|34|1981
1204|11|2003
1205|0|1975
1205|23|1987
1206|15|1969
1207|49|1995
1207|50|1993
1207|60|1993
1208|7|1979
841|38|2002
906|23|1976
1209|20|1965
1211|28|1986
1213|22|2007
1217|29|1994
1218|49|1981
1218|7|2005
1219|1|2003
1220|45|2003
1221|57|1960
1222|22|1961
551|23|1995
1223|27|2005
1223|21|1987
117|12|1962
1223|34|1991
1224|36|1963
1224|19|1989
1224|10|2003
1224|14|1982
1225|62|2005
1226|61|1981
1226|0|2006
1226|55|1964
1227|41|1965
1227|20|1963
1228|42|2006
1229|11|1965
1229|45|1981
1231|6|1991
1231|12|1972
1232|51|1977
1233|34|1982
1233|40|1982
1234|2|1988
1234|39|1991
1237|59|1966
1238|61|1973
1238|51|2001
1238|46|1970
1238|52|1972
1239|1|1987
1241|8|1977
1241|24|1982
1243|53|1991
1243|60|1972
1243|44|1965
1243|5|1997
1243|40|1985
1245|17|2004
1245|46|1972
1246|27|1995
1246|44|1998
1246|43|1977
1246|18|1994
230|12|1986
1246|32|1988
1248|6|1986
1251|32|1961
1252|23|1982
1249|52|2003
1252|39|1967
1253|37|2003
1254|59|1995
1254|25|1976
1254|13|1966
1256|46|2007
1257|35|1966
1258|26|1973
1258|39|1999
1259|14|2005
1261|46|1997
1261|2|2003
1262|18|1984
1262|30|1990
1263|38|1979
1265|25|1997
1265|1|2005
1265|37|1980
1267|15|1983
1268|57|1969
1269|60|1990
604|61|1970
1269|2|1963
1270|33|1992
1271|3|1979
1271|18|1993
1273|53|1990
1273|39|1965
1273|61|1971
1274|5|1980
1275|35|1985
1278|60|1986
1278|53|1972
1278|9|2002
1279|38|1991
539|45|1978
1280|18|2001
1281|45|1999
1282|6|1974
1282|14|2005
1282|55|1978
1283|37|1970
1284|11|2007
1284|15|1993
1285|8|1999
1285|55|1986
1285|36|2000
1286|21|1983
1286|9|1967
1288|50|1973
1289|54|1995
584|21|1978
1289|44|1979
1291|33|1982
1294|32|1996
1295|18|1979
869|36|1987
1249|17|1961
1295|32|1965
1295|10|1984
1295|19|1998
1296|4|2003
1297|8|1969
1298|26|1977
451|60|1995
1299|31|1990
1299|44|1992
1299|15|1979
1300|60|1978
46|8|1961
1301|33|1968
1301|39|1998
1303|33|1994
1304|28|1984
1304|24|2007
1306|41|1965
1306|25|1989
1307|39|2001
1307|14|1998
1282|46|1963
1309|32|1974
1311|44|1979
1311|42|2005
1314|29|1974
1316|20|1964
1317|30|1983
1317|34|1990
1320|52|1972
1321|33|1987
1321|25|1966
1321|21|1960
1324|58|1980
1326|58|1994
1326|53|1987
1327|50|1997
535|22|1998
1327|14|1993
1328|6|1964
363|4|1991
1329|11|1985
1329|19|1991
1331|11|2003
1332|21|1980
1336|28|1995
1337|52|2006
1337|62|2000
1338|56|1966
1338|6|1983
184|24|1980
1339|40|1980
1340|44|1975
1341|13|1994
1341|43|1981
1342|0|1994
1045|14|1961
1343|35|1966
1345|58|1974
1345|32|1969
1346|59|1989
1346|58|1960
1346|62|1986
1347|5|2005
1347|19|2004
1347|26|1963
1348|34|1962
1348|35|1982
1349|5|1970
1350|51|1994
1351|38|1999
1352|28|1972
1353|2|1976
1353|22|2004
1353|33|1970
1354|45|1967
1354|22|1997
1354|30|1980
1355|38|2005
1357|48|1982
1359|0|2006
1360|35|1979
1363|55|1987
1363|9|2001
1363|39|1972
1363|48|2007
1364|49|1982
1364|45|2005
1364|14|1962
318|56|1961
1365|9|1988
988|10|1997
1367|9|1972
1367|49|1979
1370|29|1971
1372|56|1964
1063|50|1987
1372|49|1977
1372|51|1976
1373|6|1999
1375|30|2000
1376|42|1985
1376|27|2000
1376|55|1962
1376|26|1988
715|12|2004
1377|36|1993
180|58|1977
1378|8|2007
1379|50|1970
1379|24|1964
1382|0|1965
1382|40|1968
1383|12|2005
1383|43|1970
1383|52|1987
1384|3|1981
1386|57|1967
1388|34|1978
1388|40|1980
1388|45|1975
1389|4|1976
856|42|2006
1391|33|1971
1392|5|1987
1394|6|1964
1395|48|1969
1395|11|1969
1396|53|1975
1398|10|1961
1402|3|2000
1404|58|2006
1404|21|1990
1404|22|1986
1405|35|1981
1406|4|1962
172|48|1992
1406|42|2004
1407|55|1992
1407|25|1973
1408|50|1991
1408|23|1976
1411|44|1993
1412|35|1970
1413|32|1999
1414|51|1986
1415|62|1962
825|58|1980
1418|3|1994
1420|3|1989
1422|21|1972
1422|40|1990
1424|52|1963
1426|0|1961
1427|52|2000
1428|57|1971
1428|2|1975
1429|58|1964
524|60|1962
1430|53|1997
1431|50|1994
1431|23|1961
1433|40|1972
1434|5|1966
1435|27|1962
1435|23|1971
1435|20|1992
1435|19|1968
1269|14|1991
1436|62|1968
1436|42|1965
1439|60|1997
1439|30|1972
1439|8|1972
1439|6|1986
1439|57|1988
1439|11|2001
1440|51|1989
1442|31|1987
1444|50|2005
1445|56|1960
1446|58|1965
1447|53|1963
1448|6|1960
1448|1|1991
1449|50|1982
1449|55|1968
1449|60|1964
1450|51|1975
1451|11|1997
1452|35|1961
1453|37|2006
1415|45|1979
1455|2|1977
1455|38|1992
1457|56|1987
1457|32|1987
1459|44|1974
1460|23|2003
1462|45|1982
1462|47|2002
1462|52|1993
1462|30|1979
1463|54|1970
1464|43|2001
1465|38|1968
1465|40|1989
1465|13|2007
1466|19|1972
1469|29|1985
1469|11|1996
369|24|1980
1469|20|1982
1470|41|1980
1471|44|1967
1472|7|2005
1472|1|1978
1472|0|1965
1473|19|2006
1473|34|1965
1473|22|1991
1473|61|1995
1473|49|1983
1473|13|1978
1474|1|2000
1474|14|1971
1474|29|2003
1476|17|1973
1477|62|1983
1478|49|1973
1478|37|1969
221|52|1998
1479|11|1987
1479|55|1981
1479|60|1976
755|33|1991
1479|36|1983
1479|18|1969
1480|56|2007
1481|46|1995
1481|52|2003
1481|1|1991
1484|0|1988
1485|52|1972
1485|58|1983
1486|18|1977
1486|3|1993
1487|12|2002
1487|51|1972
1487|8|1997
1487|36|1967
1487|38|1983
994|22|1982
1488|33|1997
1489|61|1986
1489|42|1968
1489|5|1964
1490|57|2007
1490|0|1961
1492|36|2001
1495|25|2006
1495|59|1965
1495|11|1975
1495|33|1963
249|26|1976
1501|22|1970
1501|13|1981
313|6|1982
1501|58|1982
1407|38|1966
1503|51|2001
1503|17|1982
387|58|1964
1503|58|1985
1505|23|1988
1506|8|1983
1508|60|1962
1508|0|2005
1508|36|1972
1510|53|1999
1510|52|1982
1512|50|1994
1513|27|1983
1514|56|1960
1514|50|1968
1514|35|1992
1101|23|1972
1515|29|1982
1516|35|1982
1516|23|2007
1517|0|1967
1517|35|1967
1517|16|1972
1518|16|1969
1518|13|2006
518|12|1962
1519|23|1989
1521|23|1966
1521|22|2004
1524|20|1986
1525|16|1981
1525|36|1996
1525|40|1992
1526|10|1979
1528|56|1974
1528|11|1975
1528|20|1979
1529|47|2006
1484|29|1982
1529|5|1960
1530|33|1971
1530|32|1991
1530|27|1970
1530|61|1960
1530|55|2007
1530|16|1999
1533|47|2002
1533|6|1981
1534|43|1996
1534|6|1978
1535|6|1963
1536|54|1997
1538|5|1974
1540|62|2002
1540|7|1962
1542|61|1974
1542|6|1990
1543|59|1963
1544|37|1982
1544|51|1990
1546|6|1976
1546|51|1981
1546|10|1971
1547|53|1967
1549|19|1995
1549|7|1967
1550|59|1977
1554|49|1998
1554|55|1993
1555|45|1984
1555|31|1987
1559|11|1960
1560|47|1989
1561|60|2004
1561|5|1964
1561|45|1964
1563|31|1989
1219|36|1964
1565|17|1967
1568|13|1970
1569|33|1969
1570|20|2003
1570|57|2005
1572|12|2000
1574|42|1998
1574|17|1966
1575|53|1971
1575|47|2007
1578|54|1974
1580|46|1990
1580|3|1966
1580|51|1963
1581|13|1978
1582|21|1993
1583|61|2003
1584|22|1991
1584|48|1962
1584|35|1965
1587|47|1983
1588|22|1984
1589|26|1977
1589|12|2003
1589|37|1971
1589|47|1980
1590|53|1970
1590|23|1963
1590|10|1988
1590|41|1969
1591|12|1972
1591|26|1977
1591|37|2001
1592|57|2006
1593|15|1974
846|10|1987
1595|62|1992
1596|39|1960
918|2|1978
1597|25|1965
1598|62|1967
1598|8|1986
1599|35|1979
1599|15|1963
1599|51|1965
1599|33|2003
1601|29|2001
1603|53|1960
1604|10|1998
1604|6|1987
1607|10|2005
1608|26|1981
1608|34|1962
1609|11|1993
1201|13|1995
1612|53|1974
1612|28|1964
1612|30|1996
1613|50|1991
1614|53|1988
1614|59|1976
1616|58|1985
1616|1|2003
